,created_at,full_text
0,Mon Oct 26 18:40:02 +0000 2020,"Almost 25% of @UCF grads are Valencia grads. Today, Valencia’s @isisartzevega will join higher ed leaders at the Florida Summit on Accelerating Transfer Success to exchange ideas and highlight transfer student successes. Thank you @FLConsortium and @HeliosEdFnd for hosting."
1,Mon Oct 26 16:56:34 +0000 2020,@StaciwithaZ @UCF @UCFCartwright That sounds awesome
2,Mon Oct 26 16:28:41 +0000 2020,@UCF is without a doubt the worst college ever. :)
3,Mon Oct 26 16:19:23 +0000 2020,"West Coast Knights! We're hosting a virtual meeting with @UCFCartwright and First Lady Melinda Cartwright this Thursday, led by @UCF Foundation Board member, Dr. Gideon J. Lewis '00, an alumnus, renowned physician, surgeon, educator and entrepreneur. 

Join us:"
4,Mon Oct 26 13:43:54 +0000 2020,RT @codeofvets: @JD_FutUREPres @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Proud of you brother! We need to bring nationa…
5,Mon Oct 26 13:43:09 +0000 2020,"RT @JD_FutUREPres: @realhomerhickam @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Thanks, Homer! 🇺🇸"
6,Mon Oct 26 13:43:05 +0000 2020,RT @JD_FutUREPres: @Demosteria @cov_Gretchen @UCF @JessieJaneDuff @JoseGuapo @LucasJamesMack Thanks for the support! 🇺🇸
7,Mon Oct 26 12:59:07 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
8,Mon Oct 26 12:57:47 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
9,Mon Oct 26 12:53:34 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
10,Mon Oct 26 12:30:15 +0000 2020,"As of 10/25, at least 32,071 (+2,705 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 7,220
@FloridaAtlantic: 6,136
@UF: 4,849
@UCF: 4,378
@FloridaState: 3,655
@UWF: 2,853
@USouthFlorida: 1,848
@FAMU_1887: 1,132

#Election2020 #VoteEarly"
11,Mon Oct 26 10:54:29 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
12,Mon Oct 26 10:27:33 +0000 2020,Saw my first “ Q “ sticker on a truck with a @UCF license plate! Chilling. #conspiracytheories #QCrazies #LordHelpUs
13,Mon Oct 26 04:18:03 +0000 2020,@hinialliloveya @UCF THATS UCD
14,Mon Oct 26 04:17:46 +0000 2020,@99FLICKER @UCF WHO DID I TAG OMG THATS NOY YHEM HYE
15,Mon Oct 26 04:17:30 +0000 2020,@hinialliloveya @UCF IMAGINE THEY COME ON HERe
16,Mon Oct 26 04:16:54 +0000 2020,@hinialliloveya @UCF STOP PLS
17,Mon Oct 26 02:39:07 +0000 2020,@UCFCartwright @UCF Can students that live on campus but are registered in other counties vote there as well?
18,Mon Oct 26 02:33:20 +0000 2020,@UCF We never did get that update on his “comments” though...💁🏽‍♀️
19,Mon Oct 26 01:14:28 +0000 2020,@UCF get an interior architecure major challenge 😞
20,Mon Oct 26 01:00:53 +0000 2020,@sydsquidd @UCF Nurse School?
21,Sun Oct 25 23:38:11 +0000 2020,"@AnnaForFlorida @UCF Another ""New World Order"" conditioning Victory....just look at those masks.....total mind conditioning...... seriously, are you ready to have a chip (foreign object) placed inside you??? Not me......"
22,Sun Oct 25 23:13:12 +0000 2020,@UCFCartwright @UCF I'd be even more convenient  if we got rid of tenured racist professors like @charlesnegy
23,Sun Oct 25 21:38:45 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
24,Sun Oct 25 20:46:37 +0000 2020,@UCF Vote for @realDonaldTrump! #MAGA2020
25,Sun Oct 25 20:17:12 +0000 2020,"@MyNews13 @UCF Really you call yourself news.......give us a break. They want to change a word for no reason, and with that raise they will stop COLA......"
26,Sun Oct 25 19:28:42 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
27,Sun Oct 25 19:27:08 +0000 2020,@JD_FutUREPres @codeofvets @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Thank you for your service and praise God you feel His call and purpose in your life back at home. #GodBlessAmerica
28,Sun Oct 25 18:47:23 +0000 2020,@MyNews13 @UCF Citizenship is already required. Your statements are incorrect. The amendment changes one word and is totally unnecessary.
29,Sun Oct 25 18:42:04 +0000 2020,"RT @UCFALUMNI: If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selecti…"
30,Sun Oct 25 18:15:00 +0000 2020,"If you're an avid reader, then the @UCF Alumni Book Club is for you!

We've just begun discussions on our very first selection, so join the fun 👇"
31,Sun Oct 25 17:44:53 +0000 2020,Is @UCF going to mail me my diploma or what?
32,Sun Oct 25 17:43:19 +0000 2020,RT @realhomerhickam: @JD_FutUREPres @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Hope you sell lots of books. Write on!
33,Sun Oct 25 17:42:55 +0000 2020,@JD_FutUREPres @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Hope you sell lots of books. Write on!
34,Sun Oct 25 17:35:40 +0000 2020,@flynn51471846 @codeofvets @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Thanks for the support! 😉🇺🇸
35,Sun Oct 25 17:31:20 +0000 2020,RT @McCartneyNicki: @JD_FutUREPres @codeofvets @UCF @cov_Gretchen @JessieJaneDuff @JoseGuapo @LucasJamesMack Great job hero 🇺🇸🙏
