,created_at,full_text
0,Mon Oct 26 18:59:26 +0000 2020,"@slhzdh @brianportnoy @steelers @madeleine @UChicago @brianportnoy is all class - talented, supportive but also fierce in his advocacy of what’s right. Not sure about the @steelers affliction but nobody’s perfect."
1,Mon Oct 26 18:11:35 +0000 2020,"@seanpmurray111 @slhzdh @steelers @madeleine @UChicago That sketch is freaking me out, man"
2,Mon Oct 26 16:55:11 +0000 2020,RT @JoeSilverman7: @dirtytruckerhat We went to @UChicago so I was never a victim of that misconception.
3,Mon Oct 26 16:52:29 +0000 2020,RT @JoeSilverman7: @dirtytruckerhat We went to @UChicago so I was never a victim of that misconception.
4,Mon Oct 26 16:49:19 +0000 2020,@JoeSilverman7 @dirtytruckerhat @UChicago You should've heard oldest's comments after coming back from Air Assault at West Point.😳
5,Mon Oct 26 16:46:09 +0000 2020,@dirtytruckerhat We went to @UChicago so I was never a victim of that misconception.
6,Mon Oct 26 15:09:18 +0000 2020,"@K_Kinzler @UChicago @HMHCo Was great to talk to you, Katherine - thanks for speaking with me!"
7,Mon Oct 26 14:50:41 +0000 2020,"@slhzdh @brianportnoy @steelers @madeleine @UChicago He’s also an all-around great guy. Thanks for doing these, Kian! I always learn something about our FinTwit fam!"
8,Mon Oct 26 13:08:26 +0000 2020,@CuriousGayle @UChicago @HMHCo Thanks so much Gayle for the fascinating conversation!
9,Mon Oct 26 13:02:22 +0000 2020,@renexavier01 @K_Kinzler @UChicago @HMHCo It's a terrific book - think you'll enjoy it. Cheers!
10,Mon Oct 26 12:39:37 +0000 2020,@CuriousGayle @K_Kinzler @UChicago @HMHCo I'm looking forward to reading her book. I have it on order.
11,Mon Oct 26 11:57:50 +0000 2020,"@thecopperdoctor isosbestic points are beautiful!! Jack Halpern taught me of their beauty many, many years ago. @UChicago"
12,Mon Oct 26 06:00:42 +0000 2020,"RT @SanjoyRoyTWA: Most of my imagination has been shaped by people who are not me, whose culture isn't mine,be it in China or elsewhere I h…"
13,Mon Oct 26 05:43:10 +0000 2020,@__katrinarenee @UChicago @Microboone @Fermilab That sounds really awesome
