,created_at,full_text
0,Mon Oct 26 19:02:33 +0000 2020,"@uofcincyalumni You worked hard for that @uofcincy degree, show it off in style with a #diplomaframe that's custom-designed for @uofcincyalumni! #hardworkpaysoff"
1,Mon Oct 26 15:40:09 +0000 2020,@uofcincy @LindnerCollege Agreed! If only I hadn’t graduated in 2019. Would love to still be there 😍
2,Mon Oct 26 14:42:15 +0000 2020,@Cunningham_UC @GoBEARCATS @uofcincy Yes and now you announced no fans for the rest of the year. It’s totally 💯 ridiculous. You could allow say in the 4000-5000 range  and people could safely distance.
3,Mon Oct 26 13:43:21 +0000 2020,"Tuesday's @uofcincy Board of Trustees meeting will be virtual, as have the previous 3. Trustees have not met in person since Feb. 25 due to pandemic."
4,Mon Oct 26 11:12:32 +0000 2020,@uofcincy @LindnerCollege Lindner?!? I thought that was the Eiffel Tower #UCBeauty
5,Sun Oct 25 20:21:10 +0000 2020,"@uofcincy @UofCincymag @Prez_Pinto so a continuation of online learning in 1st semester 2020 with no tuition reduction! Yea, seems great having all classes virtual."
6,Sun Oct 25 18:19:41 +0000 2020,"@TaylorByas3 @uofcincy @FlypaperLit @LitMagLiveTweet My pleasure, Taylor. Thank you for sharing your writing gift with the world. 💖"
7,Sun Oct 25 18:12:02 +0000 2020,@TomGumbert @uofcincy @FlypaperLit @LitMagLiveTweet 😂❤️ thank you Tom!!
8,Sun Oct 25 13:22:35 +0000 2020,"It’s a great day to wake up a #UC #Bearcat 🔴⚫️🏈!!!
@GoBEARCATS @uofcincy @American_Conf @CFBPlayoff"
9,Sun Oct 25 04:04:54 +0000 2020,.@uofcincy sign Freeman to a billion.
10,Sat Oct 24 23:01:52 +0000 2020,RT @cincygreghoodin: ITS GAMEDAY @GoBearcatsFB in prime time 9pm @ESPNCFB 2 @GoBEARCATS @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRally…
11,Sat Oct 24 19:48:10 +0000 2020,@uofcincy @Kaitlyn_Kelly30 you should take this dinosaur class
12,Sat Oct 24 16:48:58 +0000 2020,RT @BlueOceanSolids: @cincy2030 @uofcincy @AEE Congratulations @uofcincy! Great to see fellow #2030members doing great things!
13,Sat Oct 24 15:11:42 +0000 2020,@uofcincy @GoBearcatsFB Even dogs dig our ‘Cats ! #Bearcats #BearcatDogs
14,Sat Oct 24 13:03:44 +0000 2020,Happy Bearcat Saturday to all my @GoBEARCATS @uofcincy brothers       and sisters out there! So happy to see almost all conferences back today. #SaturdayMorning #GameDay #Cincinnati #CollegeFootball #Top25
15,Sat Oct 24 11:30:30 +0000 2020,ITS GAMEDAY @GoBearcatsFB in prime time 9pm @ESPNCFB 2 @GoBEARCATS @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus @GoBearcatsCHEER @GoBearcatsDANCE @TUCBIDG @TheCincyBearcat #BearcatNation #BearcatFamily #BearcatForLife #WeAreUC #Lucille #Bearcats
16,Sat Oct 24 00:09:08 +0000 2020,@prakashneph @goyal1_pankaj @CharuThakar @UCKidney @uofcincy @ASNKidney Congratulations!
17,Fri Oct 23 21:49:02 +0000 2020,"RT @cincygreghoodin: With the #Bearcats playing at 9pm Saturday, what will be your game night dining choice ? @GoBEARCATS @GoBearcatsFB @uo…"
18,Fri Oct 23 20:21:57 +0000 2020,"Excited to welcome back next week one of the country’s preeminent speakers on the impact of implicit bias on the criminal justice system, Professor David Harris from @uofcincy, for our next SAO prosecutor training presentation. (1/2)"
19,Fri Oct 23 18:11:47 +0000 2020,@SaynaNorouzi @silvishah @womeninnephro Can’t agree more Sayna and we are so lucky to have her @uofcincy @UCKidney
20,Fri Oct 23 17:05:03 +0000 2020,Why the fuck is @uofcincy charging students for COVID tests during this unprecedented spike in Cincinnati? Texting students the “day-of” saying they can get tested for free if they have symptoms isn’t enough. Shouldn’t symptomatic people quarantine anyway??
21,Fri Oct 23 16:39:14 +0000 2020,@theCliftonAve @GoBEARCATS @GoBearcatsFB @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus Fair enough .
22,Fri Oct 23 16:38:09 +0000 2020,@cincygreghoodin @GoBEARCATS @GoBearcatsFB @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus I don’t eat after 6pm.  Another reason I don’t like the 9pm start.
23,Fri Oct 23 16:20:16 +0000 2020,@cpeltier007 @GoBEARCATS @GoBearcatsFB @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus Very solid combination !
24,Fri Oct 23 16:19:46 +0000 2020,@cincygreghoodin @GoBEARCATS @GoBearcatsFB @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus Wings for dinner then snacks for game
25,Fri Oct 23 16:18:26 +0000 2020,"With the #Bearcats playing at 9pm Saturday, what will be your game night dining choice ? @GoBEARCATS @GoBearcatsFB @uofcincy @uofcincyalumni @GoBearcatsUCATS @UCRallyCats @BearcatsRuckus #BearcatsNation #BearcatFamily if other, please reply with your choice."
26,Fri Oct 23 13:03:42 +0000 2020,RT @BlueOceanSolids: @cincy2030 @uofcincy @AEE Congratulations @uofcincy! Great to see fellow #2030members doing great things!
27,Fri Oct 23 12:32:55 +0000 2020,"@physorg_com @uofcincy In other news, surfaces exposed to water are less dry"
28,Fri Oct 23 12:26:40 +0000 2020,"@physorg_com @uofcincy And if had to be in reverse... (testosterone) it would be males?

#itsScienceStupid

You would think we have this male/female thing figured out in the year 2020...🤯"
29,Fri Oct 23 04:27:23 +0000 2020,@jenny_wohlfarth @uofcincy @NewsRecord_UC @AnneSimendinger @david_rees5 @Quinlan_Bentley @_salbish @TawneyBeans @khornstrauc @TheOlive_95 @1ogan1usk Thank you Jenny!!
