,created_at,full_text
0,Mon Oct 26 15:26:13 +0000 2020,Next up Andrew Monte of @CUAnschutz: The new PGRN
1,Sat Oct 24 18:53:40 +0000 2020,"@ColoradoSPH @CUAnschutz @CUDenver @ColoradoStateU Is this REALLY you last post on COVID?

July?

This is the best Colorado can throw at this?"
2,Sat Oct 24 04:33:20 +0000 2020,"@COpediatricEM @ChildrensColo @CUAnschutz Amazing, congratulations!!"
3,Sat Oct 24 04:11:41 +0000 2020,@COpediatricEM @CUAnschutz Congratulations!!
4,Fri Oct 23 19:25:57 +0000 2020,"@CUAnschutz @CUDenver U awards:

Lastely and importantly,
For a center grant, you're working with a lot of colleagues on this; make sure you have a healthy working relationship with them!

What are your thoughts about U grants?

(7/7)"
5,Fri Oct 23 19:22:56 +0000 2020,"@CUAnschutz @CUDenver U awards:

As with any grant, make it easy for the reviewer. Help them find the required info and review criteria (I’ll come back to this later when I talk about my R35)

(6/)"
6,Fri Oct 23 19:21:11 +0000 2020,"@CUAnschutz @CUDenver U awards: 

When I write a nontypical grant, I very carefully read and use language from the RFA.

For this RFA, the data analysis core was responsible for power, data management, and data analysis.  So aims were (1) study design, (2) data management, (3) data analysis  

(5/)"
7,Fri Oct 23 19:17:44 +0000 2020,"I recently submitted a U2C with amazing colleagues at @CUAnschutz @CUDenver 

This mechanism was for a center that included 4 cores. I was the Data Analysis Core PI. 

Overall application was huge!
-6 pages for each core
-6 pages for project
-12 pages for overall center

(4/)"
8,Thu Oct 22 18:29:39 +0000 2020,"RT @UnivColoradoAPP: Saturday, October 24 is #NationalDrugTakeBackDay.  Make a plan to safely get rid of unnecessary medications.  @DEAHQ @…"
9,Thu Oct 22 17:55:38 +0000 2020,"Saturday, October 24 is #NationalDrugTakeBackDay.  Make a plan to safely get rid of unnecessary medications.  @DEAHQ @CUAnschutz @uchealth @DenverHealthMed @VAECHCS @ChildrensColo #SafetyFirst"
10,Thu Oct 22 01:09:12 +0000 2020,"@COpediatricEM @CUAnschutz @KempeCenter Congrats to you, Denise! Such important work for children. Thank you!"
11,Wed Oct 21 18:20:17 +0000 2020,"@GreeneScientist @CUAnschutz @CUMedicalSchool Wow, big congratulations!!! Sad that you are leaving, though. Best of luck!"
12,Wed Oct 21 14:11:28 +0000 2020,@GreeneScientist @CUAnschutz @CUMedicalSchool CONGRATS! very exciting
13,Wed Oct 21 13:35:09 +0000 2020,@CleClinicMD Here. Considerations for #COVID19 Patients. @MayoClinic @JAMA_current @TheLancet @CedarsSinai @nyulangone @MassGenBrigham @BrighamWomens @choo_ek @drsanjaygupta @eugenegu @CUAnschutz Pass along.
14,Wed Oct 21 04:48:13 +0000 2020,@DanielVargasMD @COradsoc @futureradres @CURadiology @curadresidents @CUAnschutz Wow.  I guess I failed on proofreading that tweet...☝️
15,Wed Oct 21 04:18:39 +0000 2020,@DanielVargasMD @COradsoc @futureradres @CURadiology @curadresidents @CUAnschutz It’s hard to be that’s Colorado lifestyle.  Cheers!
16,Tue Oct 20 21:21:16 +0000 2020,@AnschutzHemeOnc @CUCancerCenter @uchealth @CUAnschutz congrats Craig!!
