,created_at,full_text
0,Mon Oct 26 16:30:57 +0000 2020,@CUMarkKennedy @CuBuffFollows @US_SpaceCom @CUBoulder @CUEngineering @UCCS Hopefully this total waste of money while there are kids in this country who don’t have enough to eat will be stopped or at least put on the shelf in 2021
1,Mon Oct 26 14:28:46 +0000 2020,"10/26 Dining Update: C4C, Village Center and Sewall are open regular hours. APG will open at 10 am when the UMC opens. VC Market open 10am-3pm today. UMC market closed today. Bakery will open at 9 am. The Alley at Farrand is TBD. @CUBoulder"
2,Mon Oct 26 12:04:46 +0000 2020,"Due to inclement weather, #CUBLibraries will not be open to the public until 10 a.m. This includes the Business Library, Gemmill Library and our Ask A Librarian service. 

Stay warm out there, @CUBoulder!"
3,Mon Oct 26 08:28:48 +0000 2020,@dontpunchansh @RideRTD @foxtheatreco @CUEngineering @CUBoulder @CUBoulderLife OH MY GOD HE LIKES THEM
4,Mon Oct 26 08:25:06 +0000 2020,@OmarOkaheel @RideRTD @foxtheatreco @CUEngineering @CUBoulder @CUBoulderLife wait what the hell these are fire
5,Mon Oct 26 01:42:39 +0000 2020,@CUBoulderTCP @northropgrumman @SVVSD @CUEngineering @CUBoulder computer lol beep
6,Sun Oct 25 22:46:23 +0000 2020,AND JUST COS IM MAD FUCK YALL TOO @CUBoulder
7,Sun Oct 25 16:44:57 +0000 2020,@TravisJBristol @BerkeleyGse @krisgu @CUBoulderAlumni @CUBoulder @GradDivision @prudencelcarter @cueducation Well deserved! Congrats @krisgu
8,Sun Oct 25 04:31:24 +0000 2020,@MatthewJMartin3 @paulkaps Thought for sure @CUBoulder was going to win this one. Glad to lose.
9,Sun Oct 25 03:30:10 +0000 2020,"I felt not only othered by the events of the linguistics seminar held by @CUBoulder and @LingSocAm today, but also felt forced into a discourse that I never would have consented to, and would not have attended the seminar had I been expecting."
10,Sat Oct 24 20:40:14 +0000 2020,"@dweinberger @rexparker Ah, this one doesn't work for me ... because Nichols Hall at @cuboulder was renamed Cheyenne-Arapaho Hall. Sometimes the right thing happens. :)"
11,Sat Oct 24 19:41:57 +0000 2020,I'm attending a @CUBoulder seminar on queer linguistics and the third panelist has gone off the rails b/c she's upset about the previous panelist's definition of sex vs gender and I'm exhausted. I just want one event where the queer community doesn't cannibalize itself.
12,Sat Oct 24 06:59:40 +0000 2020,"@TheHoopCentral @wojespn Wow the @NBA can give it’s players a 2 week break in the middle of their next season, but the @CUBoulder administration can’t give its students a spring break in their next semester."
13,Sat Oct 24 06:45:42 +0000 2020,"i'm not even in school at the moment, but i have friends who are. i don't even live in boulder, but i have friends who do. i do however work at one of, if not the busiest store in boulder. if any of my friends, coworkers, or myself get covid, i hold @CUBoulder completely at fault"
14,Sat Oct 24 05:29:03 +0000 2020,@CUArtsSciences @CUBoulder i feel overwhelmed entirely because of how poorly you guys have dealt with the virus and the mental health  aspect of this pandemic. taking away our thanksgiving break is very messed up especially because it’s a time to regain our mental health
15,Sat Oct 24 01:54:50 +0000 2020,@petervikesland @ShellyMBoulder @CUBoulder Thanks! 👍
