,created_at,full_text
0,Mon Oct 26 04:25:20 +0000 2020,"@AurariaCampus @CUDenver
Whats the deal for in-person classes tomorrow?"
1,Sun Oct 25 22:16:49 +0000 2020,"@AurariaCampus @CCDedu @msudenver @CUDenver Auraira owes it to students of color, [as well as queer and disabled students] to reinstate the CollegePass. This allows for low-income folks to wield a sense agency while they are preparing to become fully-realized professionals. 

It is unconscionable to take this from us."
2,Sat Oct 24 18:53:40 +0000 2020,"@ColoradoSPH @CUAnschutz @CUDenver @ColoradoStateU Is this REALLY you last post on COVID?

July?

This is the best Colorado can throw at this?"
3,Fri Oct 23 22:42:33 +0000 2020,had an hour long meeting w a grad school counselor for @CUDenver and now i am more excited than nervous for grad applications 🥺
4,Fri Oct 23 20:41:25 +0000 2020,"RT @CUDenver: We are thinking of everyone impacted by all the recent fires, in particular the #EastTroublesomeFire that has grown tremendou…"
5,Fri Oct 23 20:08:52 +0000 2020,@MarksMichelleA @CUDenver We have at least one faculty member who has done considerable work modeling forest fires.  Jan Mandel from Mathematical and Statistical Sciences.
6,Fri Oct 23 19:25:57 +0000 2020,"@CUAnschutz @CUDenver U awards:

Lastely and importantly,
For a center grant, you're working with a lot of colleagues on this; make sure you have a healthy working relationship with them!

What are your thoughts about U grants?

(7/7)"
7,Fri Oct 23 19:22:56 +0000 2020,"@CUAnschutz @CUDenver U awards:

As with any grant, make it easy for the reviewer. Help them find the required info and review criteria (I’ll come back to this later when I talk about my R35)

(6/)"
8,Fri Oct 23 19:21:11 +0000 2020,"@CUAnschutz @CUDenver U awards: 

When I write a nontypical grant, I very carefully read and use language from the RFA.

For this RFA, the data analysis core was responsible for power, data management, and data analysis.  So aims were (1) study design, (2) data management, (3) data analysis  

(5/)"
9,Fri Oct 23 19:17:44 +0000 2020,"I recently submitted a U2C with amazing colleagues at @CUAnschutz @CUDenver 

This mechanism was for a center that included 4 cores. I was the Data Analysis Core PI. 

Overall application was huge!
-6 pages for each core
-6 pages for project
-12 pages for overall center

(4/)"
10,Fri Oct 23 18:38:31 +0000 2020,"RT @CUDenver: We are thinking of everyone impacted by all the recent fires, in particular the #EastTroublesomeFire that has grown tremendou…"
11,Fri Oct 23 15:25:33 +0000 2020,"@johnron @Parisa_Vinzant @CUDenver @MarksMichelleA Can’t thank you enough, @johnron. Hope to live up to that!"
12,Fri Oct 23 14:53:53 +0000 2020,"RT @CUDenver: We are thinking of everyone impacted by all the recent fires, in particular the #EastTroublesomeFire that has grown tremendou…"
13,Fri Oct 23 14:40:58 +0000 2020,@sapellosun @CUDenver @AurariaCampus Thank you so much!!
14,Fri Oct 23 14:40:52 +0000 2020,"RT @sapellosun: @KaliMaFaja I bought and read Sabrina &amp; Corina when it first came out, but a few weeks ago, my fiction class @CUDenver read…"
15,Fri Oct 23 02:32:36 +0000 2020,@Parisa_Vinzant @stephaniepuello @CUDenver @MarksMichelleA That’s exactly why we ensured she’s on the team. I feel better knowing @stephaniepuello is involved.
16,Thu Oct 22 23:35:25 +0000 2020,"RT @povertyresearch: Featuring @zbleemer (@UCBerkeley ), @emburciaga (@CUDenver), @mkurlaender and Iwunze Ugo (@UCDavis), @mitchellatedf (@…"
17,Thu Oct 22 21:17:44 +0000 2020,"@KaliMaFaja I bought and read Sabrina &amp; Corina when it first came out, but a few weeks ago, my fiction class @CUDenver read “Remedies” and your essay “On Roots and Research.” I could tell it was everyone’s favorite reading of the semester. #proudtobefrom @AurariaCampus"
18,Wed Oct 21 21:09:58 +0000 2020,Thanks to @GeorgeMasonU and @CUDenver for hosting #P3EDU 2020. Another successful gathering of great minds to share insights on innovation and public-private partnerships in #highered.
19,Wed Oct 21 20:53:59 +0000 2020,"@CUDenver Yup!!!! I have previous degrees so I can’t get a scholarship,  however! Help me out..."
20,Wed Oct 21 16:08:06 +0000 2020,@CUDenverAlumni @themilkblossoms @Wildermiss @CUDenver stoked I love all these bands!!
21,Wed Oct 21 03:58:07 +0000 2020,@stephaniepuello @CUDenver @MarksMichelleA @johnron YOUR involvement in this effort speaks volumes about the genuineness of your school's intent in substantively tackling equity issues. I'lll be very interested to hear how your group's work progresses.
22,Tue Oct 20 20:51:33 +0000 2020,@CUDenver Nice grammar.
