,created_at,full_text
0,Mon Oct 26 18:38:03 +0000 2020,"RT @FullerProject: Valeria Popolizio, our new Business and Development Fellow, is a recent graduate of @UConn and is looking forward to hel…"
1,Mon Oct 26 18:05:44 +0000 2020,@roguedetection @UMaine @UConn @Cornell Thanks for sharing - especially during #NationalBatWeek
2,Mon Oct 26 17:44:06 +0000 2020,RT @RandyEdsall: @NFFNetwork @Fidelity @UConnFootball @BKeats304 @UConnHuskies @UConn @UConnHuskyAD Not a better representative for the NFF…
3,Mon Oct 26 17:40:57 +0000 2020,@NFFNetwork @Fidelity @UConnFootball @BKeats304 @UConnHuskies @UConn @UConnHuskyAD Not a better representative for the NFF Scholar-Athlete of the Day.
4,Mon Oct 26 15:49:46 +0000 2020,"Valeria Popolizio, our new Business and Development Fellow, is a recent graduate of @UConn and is looking forward to helping boost the impact of our reporting through research and analysis, and by connecting with supporters and donors."
5,Mon Oct 26 14:27:25 +0000 2020,“In 2007 I was at @UConn” - @MollyQerim LOL 😂 🤣😆❤️🙏 #FirstTake
6,Mon Oct 26 12:54:49 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball The ones with the husky in the shorts.
7,Mon Oct 26 11:42:01 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Blue!!
8,Mon Oct 26 10:38:35 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball The gray is sharp
9,Mon Oct 26 08:20:58 +0000 2020,"@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Navy blue, that’s 🔥🔥🔥🔥"
10,Mon Oct 26 04:28:20 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Where can I buy them
11,Mon Oct 26 03:24:36 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Gray
12,Mon Oct 26 02:58:16 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball white
13,Mon Oct 26 02:34:47 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball White
14,Mon Oct 26 02:32:06 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Home whites
15,Mon Oct 26 02:30:53 +0000 2020,@UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball White is crisp. Hoping one day the Georgetown gray is replaced with a throwback.
16,Mon Oct 26 02:23:24 +0000 2020,@T_Abbz @UConnMBB @UConnHuskies @UConn @BIGEAST @BIGEASTMBB @nikebasketball Yes indeed
