,created_at,full_text
0,Mon Oct 26 14:43:27 +0000 2020,@udhumanrights @PeteButtigieg @nanwhaley @univofdayton @UDaytonpol @UDaytonLaw @DaytonPrezSpina Looking forward to this conversation!!
1,Mon Oct 26 14:06:20 +0000 2020,"@udhumanrights @PeteButtigieg @nanwhaley @univofdayton @UDaytonpol @UDaytonLaw @DaytonPrezSpina Done and Thank You🙂

#TeamPete 🙂

#Vote 🐝🌅🇺🇸"
2,Mon Oct 26 13:57:51 +0000 2020,@udhumanrights @PeteButtigieg @nanwhaley @univofdayton @UDaytonpol @UDaytonLaw @DaytonPrezSpina Registered! 🙌
3,Mon Oct 26 11:12:12 +0000 2020,"@univofdayton making national news for the wrong reason this morning.  18 year old student dying of #COVID19. 

#WearADamnMask"
4,Mon Oct 26 02:31:19 +0000 2020,@UDaytonCAS @univofdayton @ud_hsi @UDaytonMusic @UDFlyerHistory @udpsychdept @jhess8100 Those new faculty members look awfully familiar
5,Sun Oct 25 15:29:15 +0000 2020,@univofdayton Vote Biden 2020! Thank You.
6,Sun Oct 25 12:51:41 +0000 2020,"@nickrodecap Can’t wait to introduce you to the @univofdayton! Some day soon, I hope!"
7,Sun Oct 25 00:15:17 +0000 2020,@DrDenaGrayson @univofdayton So very sad.  Prayers for his family and loved ones.
8,Sat Oct 24 22:52:29 +0000 2020,"RT @gailendavid: @DrDenaGrayson @univofdayton Trump says, “we’re rounding the corner,” at his super spreader rallies. We are about to pass…"
9,Sat Oct 24 20:03:34 +0000 2020,"RT @gailendavid: @DrDenaGrayson @univofdayton Trump says, “we’re rounding the corner,” at his super spreader rallies. We are about to pass…"
10,Sat Oct 24 18:52:30 +0000 2020,"@Jim_Jordan I give it another 2 weeks, then it will all come tumbling down due to COVID.  Will you still be thanking him them?  BTW a @univofdayton freshman died of COVID this week."
11,Sat Oct 24 18:13:04 +0000 2020,@DrDenaGrayson @univofdayton That is horrible. I hate those stats the anti-maskers use in their arguments. It affects young people sometimes.
