,created_at,full_text
0,Mon Oct 26 17:58:51 +0000 2020,"I don't see any advantage to the ""Pioneer"" nickname, and I do see harm. I'd love for @UofDenver to choose a mascot that highlights who and where we are, so students, staff, and alumni can all embrace that identity. #NoMorePios"
1,Mon Oct 26 15:37:11 +0000 2020,"RT @UofDenver: ⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations wi…"
2,Mon Oct 26 14:50:51 +0000 2020,"RT @UofDenver: ⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations wi…"
3,Mon Oct 26 13:16:56 +0000 2020,"RT @UofDenver: ⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations wi…"
4,Mon Oct 26 12:07:14 +0000 2020,"RT @UofDenver: ⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations wi…"
5,Mon Oct 26 11:49:20 +0000 2020,"RT @UofDenver: ⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations wi…"
6,Mon Oct 26 11:48:40 +0000 2020,"⚠️ DELAYED OPENING ⚠️
Due to snow accumulation, the @UofDenver will have a delayed start. Classes and academic operations will resume at 10:00 am today (Monday, 10/26)."
7,Mon Oct 26 04:51:22 +0000 2020,@jcgreenfield @UofDenver @rahr_du My High School mascot changed years after my graduation. My college mascot also changed (years before I attended). It’s ok. It’s good even.
8,Mon Oct 26 03:50:21 +0000 2020,@Micheliacs @UofDenver Not bad at all! I could follow the 🐺 pack :-)
9,Sun Oct 25 14:36:50 +0000 2020,"This quarter I am designing and teaching Virtual Communication for @UofDenver students and it has been a blast! We’ve already explored so many interesting topics including netiquette, intergenerational communication, accessibility, and plain language. 📚💻"
10,Sat Oct 24 18:37:06 +0000 2020,"@inthebluecrewdu @rahr_du @UofDenver So freaking sad! I wish the issue would go to bed, but I understand both sides!"
11,Sat Oct 24 18:29:39 +0000 2020,@sportsnbooks @rahr_du But that argument doesn’t land with the other side which says the way it was created for @UofDenver is poisoned from the start and just needs to go not be re-branded
12,Sat Oct 24 18:28:32 +0000 2020,@sportsnbooks @rahr_du I keep saying it - you have two @UofDenver factions with zero interest in engaging each other...one side says how is Pioneer a bad word if Kamala calls herself a Pioneer?...
13,Sat Oct 24 15:24:27 +0000 2020,@thetruedrdoom @UofDenver @Ketaczak @seattletimes Two great things!!
14,Sat Oct 24 15:01:54 +0000 2020,@thetruedrdoom @UofDenver @Ketaczak @seattletimes Would love to see any pics of a lounging corgi living his best life by the fire pit 😁😁😁
15,Sat Oct 24 14:36:10 +0000 2020,@andrealstanton @UofDenver @Ketaczak @seattletimes Thanks for sharing this list! We just bought a fire pit and it’s been amazing so far.
16,Sat Oct 24 06:41:09 +0000 2020,"@marieeberry @UofDenver As a South American woman that communication did make me kind of uncomfortable to be honest...and I was feeling kind of excited about Halloween...
#InterculturalDilemmas"
17,Sat Oct 24 05:58:59 +0000 2020,"@DenverElections @UofDenver Matthew 22:29.
And no wonder. 
2 #Cor. 11:14.
Revelation 3:16."
18,Sat Oct 24 01:37:21 +0000 2020,@gwenatu @UofDenver Awesome
19,Sat Oct 24 01:24:22 +0000 2020,@marieeberry @UofDenver Did you hear? Denver's South High School is dropping its Rebels mascot to become the Ravens because of connections with the confederacy. Interesting.
20,Sat Oct 24 00:20:30 +0000 2020,@poliscisara @UofDenver Your child is the cutest! Such a lovely family moment!
21,Sat Oct 24 00:13:06 +0000 2020,@andrealstanton @UofDenver We just finished!
22,Sat Oct 24 00:00:08 +0000 2020,"Hey @UofDenver great message about how not to be shitty and racist during Halloween but also we literally STILL HAVE THE PIONEER as our mascot so what the actual fuck 🤬 

#NoMorePios"
23,Fri Oct 23 22:02:41 +0000 2020,"@UofDenver @SturmCOL DU is better than to begin a Tweet with “President Trump says.....”, particularly when his own medical experts have already refuted his lie."
24,Fri Oct 23 17:03:09 +0000 2020,"RT @BoiseStateCJ: 4/Working w/federal courts, in 2017/2018, Dr. Lee partnered with @UMSL_CCJ Dr. Marisa Omori (@MarisaOmori) &amp; @UofDenver S…"
25,Fri Oct 23 14:06:02 +0000 2020,"@SmurphLab @UofDenver Well, it’s virtual so basically the kids and I will just go out for a walk and count it - but you can register and count your time :)"
26,Fri Oct 23 14:03:19 +0000 2020,@andrealstanton @UofDenver Wait what? This is the first I heard it was happening!
27,Fri Oct 23 12:43:43 +0000 2020,@andrealstanton @UofDenver of course you are up!! 😜
28,Fri Oct 23 01:57:16 +0000 2020,RT @SJenks352: The @UofDenver continues to disappoint RE: rebranding. You can't use positive associations of a word to cover up the history…
29,Fri Oct 23 00:06:01 +0000 2020,@Micheliacs @UofDenver Tell me 😞
30,Thu Oct 22 23:58:06 +0000 2020,"Hey @UofDenver, can I get a refund on two hours of parking? I paid before I found out alum aren't welcome on campus. #NoWelcomeWagon #CovidSucks"
31,Thu Oct 22 23:16:12 +0000 2020,RT @SJenks352: The @UofDenver continues to disappoint RE: rebranding. You can't use positive associations of a word to cover up the history…
32,Thu Oct 22 23:10:57 +0000 2020,RT @SJenks352: The @UofDenver continues to disappoint RE: rebranding. You can't use positive associations of a word to cover up the history…
33,Thu Oct 22 22:47:49 +0000 2020,"The @UofDenver continues to disappoint RE: rebranding. You can't use positive associations of a word to cover up the history and harm the negative associations hold. Another case of valuing donors with ""passionate"" views about something over doing the right thing. #NoMorePios"
34,Thu Oct 22 22:24:40 +0000 2020,"4/Working w/federal courts, in 2017/2018, Dr. Lee partnered with @UMSL_CCJ Dr. Marisa Omori (@MarisaOmori) &amp; @UofDenver Sociology &amp; Criminology Dr. Rachel Lautenschlager (@RachelLaut) on two outcome evals for the Court Assisted Re-Entry Program (CARES)."
35,Thu Oct 22 17:11:23 +0000 2020,@chasesquires @UofDenver @PCLConstruction Lol what is bad about saying fuck white supremacy?
36,Thu Oct 22 16:50:23 +0000 2020,"@UofDenver Hi, the contact tracing app won't let me log in today, says PW is wrong. Is this a me problem or is there an outage?"
37,Thu Oct 22 15:39:21 +0000 2020,@derigansilver @UofDenver @ToddRinehart Oh man this makes me feel a little old. The closest thing we had was the Russian hot dog guy (who RIP was infinitely better than any robot)
38,Thu Oct 22 14:06:38 +0000 2020,@kcrowe @UofDenver You and @SarahEWatamura.
39,Thu Oct 22 14:00:45 +0000 2020,@kcrowe @UofDenver Oh yes. I miss being there. 😊
40,Thu Oct 22 13:59:49 +0000 2020,@s_gknight @UofDenver I know you know :)
41,Thu Oct 22 13:59:24 +0000 2020,@kcrowe @UofDenver Perfectly good excuse.
42,Thu Oct 22 13:58:51 +0000 2020,@kcrowe @UofDenver A worthy service.
43,Thu Oct 22 13:56:54 +0000 2020,I think the main reason I offer to staff the info desk at the @UofDenver library is for the excuse to wear cute shoes and get Kaladi coffee.
44,Thu Oct 22 11:45:59 +0000 2020,"RT @buffsblg: @lynn_bartels @UofDenver @realDonaldTrump Like all @cologop Wadhams is fine with open racism and xenophobia, with literally t…"
45,Thu Oct 22 05:35:18 +0000 2020,@lynn_bartels @UofDenver @realDonaldTrump Hi Lynn! Are the tax cuts for all but the richest still scheduled to sunset?
46,Thu Oct 22 03:46:49 +0000 2020,RT @lynn_bartels: Democrat consultant Sheila MacDonald on @UofDenver panel: @Hickenlooper is Colorado. Agrees Trump has harmed @SenCoryGard…
47,Thu Oct 22 03:44:20 +0000 2020,@nickschifrin @NewsHour @HudsonInstitute @mikepillsbury @JoeBiden @UofDenver @ambchrishill I enjoyed this discussion but wouldn’t a question about the TTP have been interesting for Mr. Pillsbury to answer?
48,Thu Oct 22 03:42:43 +0000 2020,@lynn_bartels @UofDenver @realDonaldTrump What's an unhinged racist kidnapping kids to be bothered about if it means more change in my pockets?
49,Thu Oct 22 03:34:07 +0000 2020,@nickschifrin @NewsHour @HudsonInstitute @mikepillsbury @JoeBiden @UofDenver @ambchrishill I dislike listening to these awful both sides debates. Shed light than heat: get EXPERTS to tell us what is going on.
50,Thu Oct 22 02:14:44 +0000 2020,"@lynn_bartels @UofDenver @realDonaldTrump I've never heard of this person until today, and have now seen 3 tweets by her.

How does she go away?"
51,Thu Oct 22 02:03:46 +0000 2020,"@mike_littwin @lynn_bartels @UofDenver @realDonaldTrump Wadhams became a GOP wonder boy after winning, what, one election 20 years ago in which his candidate was the underdog? And then moved out of state after failing repeatedly to replicate the feat."
52,Thu Oct 22 02:02:44 +0000 2020,"RT @mike_littwin: @lynn_bartels @UofDenver @realDonaldTrump Dick, tell it to the tens of thousands who have died unnecessarily because of p…"
53,Thu Oct 22 01:51:29 +0000 2020,@lynn_bartels @UofDenver @realDonaldTrump How can anyone like what Trump has done unless you're one of the wealthy who benefit from the Republicans' tax cut?
54,Thu Oct 22 01:49:39 +0000 2020,@JonBoeckenstedt @derigansilver @UofDenver Nice!!
