,created_at,full_text
0,Mon Oct 26 18:58:14 +0000 2020,"@SociologistRay @universityofga This is such an excellent and, as always, edifying experience.  This is a huge and dreadful problem.  But every big problem must be addressed with both smaller and big actions.  What @SociologistRay is suggesting is both!"
1,Mon Oct 26 18:56:15 +0000 2020,"@Politics_Polls @universityofga @ajc #FourMoreYears Trump MUST win to SAVE America from these LEFT Democrats. DO NOT ALLOW Democrats to turn the USA into a socialist country! 
#TrumpNowMoreThanEver2020
#CrookedJoeBiden"
2,Mon Oct 26 18:20:15 +0000 2020,@uwgenetics @zhonglab @universityofga I am interested in the talk. When is it?
3,Mon Oct 26 18:02:33 +0000 2020,RT @864511320VOTE: @Politics_Polls @universityofga @ajc Who ultimately wins the whole thing?
4,Mon Oct 26 17:58:14 +0000 2020,RT @864511320VOTE: @Politics_Polls @universityofga @ajc Who ultimately wins the whole thing?
5,Mon Oct 26 17:46:50 +0000 2020,"@Politics_Polls @universityofga @ajc If the process of voting is

...EXCRUCIATING

how many people will vote in a run off?

#RegisterToVote #EveryoneVotes2020 

No more #ConservaVirus"
6,Mon Oct 26 17:17:28 +0000 2020,"My grandmother has had Alzheimer's for nearly 12 years and is still alive (really long for patients with it). She is 91. Granddad is 93.

They met in the late 1940's while students at @universityofga, after my grandad returned home from serving in the Pacific during WWII."
7,Mon Oct 26 17:06:08 +0000 2020,"Go Dawgs!
@universityofga"
8,Mon Oct 26 17:00:58 +0000 2020,@RJohnson69 @nicholecatala @Nuggetguy99 @864511320VOTE @Politics_Polls @universityofga @ajc @RemindMe_OfThis in 9 days
9,Mon Oct 26 16:57:35 +0000 2020,"@SeaPeoples_Stan @nicholecatala @Nuggetguy99 @864511320VOTE @Politics_Polls @universityofga @ajc Please show evidence of this. Otherwise your just spouting partisan BS.

(To be clear I acknowledge that polling errors are possible but I have not seen any actual evidence of major polling errors either way.)"
10,Mon Oct 26 16:55:38 +0000 2020,@SeaPeoples_Stan @nicholecatala @Nuggetguy99 @864511320VOTE @Politics_Polls @universityofga @ajc Everyone has bias. Being aware of that bias and adjusting for it is both possible and works fairly well.
11,Mon Oct 26 16:50:38 +0000 2020,@universityofga Is that a golden orb weaver?
12,Mon Oct 26 16:47:05 +0000 2020,"@dj_davefelmer @Politics_Polls @universityofga @ajc My point is there will be 50%. 
It's the other race that's going to a runoff."
13,Mon Oct 26 16:41:31 +0000 2020,@nickbrownmusic @Hoyt888 @thebitwphenom @Politics_Polls @universityofga @ajc She outperformed the Texas average as well.
14,Mon Oct 26 16:40:23 +0000 2020,@universityofga @UGAStudent Better than being DawgAnxious which is what I am 99% of the time
15,Mon Oct 26 16:35:19 +0000 2020,@Politics_Polls @universityofga @ajc @ReverendWarnock let’s gooooooo!!!!!
