,created_at,full_text
0,Mon Oct 26 05:20:05 +0000 2020,RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov @HonoluluClub @SCOTUSblog count on either my persistence (yes belief in America'…
1,Mon Oct 26 05:19:55 +0000 2020,"RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov @HonoluluClub @SCOTUSblog Definitely, Hawaii, which I loved and where I was a co…"
2,Mon Oct 26 05:11:30 +0000 2020,RT @subyroy: Yes @VABVOX @TulsiPress I know much more than I wished about the 50th State...  @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov…
3,Mon Oct 26 05:11:15 +0000 2020,"RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov @HonoluluClub Instead the Hawaii AG, in his determination to bring down/be rid o…"
4,Mon Oct 26 05:11:09 +0000 2020,RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov @HonoluluClub That's a jury trial demanded on uhhmm 15 Feb 1990... what's the da…
5,Mon Oct 26 05:10:53 +0000 2020,"RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov the head then sucked up to the Dean, made him a member of his @HonoluluClub, the…"
6,Mon Oct 26 05:10:39 +0000 2020,"RT @subyroy: @kenaviba @uhmanoa @HawaiiGovOffice @AtghIgov Tragically, much more devious... a plot (quickly exposed) to defame me anonymous…"
7,Mon Oct 26 05:10:32 +0000 2020,"RT @subyroy: Milton is looking at me, for some unfortunate reason I ended up at the head of the table @kenaviba @uhmanoa @HawaiiGovOffice @…"
8,Sun Oct 25 01:02:40 +0000 2020,"@StarAdvertiser @HawaiiFootball @FresnoStateFB @uhmanoa is incapable of managing a football season or their team during a pandemic, just like @GovHawaii and @MayorKirkHNL couldn’t manage tourists, masks, unemployment insurance, beaches and social distancing, yoga classes, or the health department."
9,Sat Oct 24 22:07:48 +0000 2020,"@pal_legal @SFSU @uhmanoa @nyuniversity @zoom_us Please provide actual documentation. What event was scheduled in each location? Who invited whom, how did Zoom announce the cancellation, why didn't organizers switch to another platform? There's no information in the story, no way to research further."
10,Sat Oct 24 20:46:42 +0000 2020,Congrats to Maveric Abella of @uhmanoa for your student presentation award in Geology and Environmental Sciences! #SACNAS2020
11,Sat Oct 24 18:27:04 +0000 2020,@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us At least I am not coward hiding my picture...
12,Sat Oct 24 16:25:43 +0000 2020,@uhmanoa @HawaiiFootball @HawaiiAthletics @UHManoaMath @UHMPublicHealth Go Bows 🌈🤙
13,Sat Oct 24 16:17:10 +0000 2020,"@nujaidyy @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us you looked too much in the mirror, sorry for you."
14,Sat Oct 24 16:13:26 +0000 2020,"@cocoroc83197272 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us there is no coexistence possible with apartheid, fool."
15,Sat Oct 24 16:06:22 +0000 2020,"@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us The world knows who the creminals are, the one with highesr atrocities on record and UN condemnation, even if you wear suite and tie and pretend to be civilized, the child killers, jailers, land and water  thieves, oppressor and occupier.

you are even not true semitic jews..."
16,Sat Oct 24 15:59:31 +0000 2020,"@pal_legal @SFSU @uhmanoa @nyuniversity @zoom_us So these Zoom I/O errors over Palestine spell it out...

ZIOOM"
17,Sat Oct 24 15:20:25 +0000 2020,"@nujaidyy @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us the  pseudo ""Palestinians"", actually invaders from Egypt Trans-Jordan, Syria are the robbers, terrorists, colonial foreign  invaders, and with diplom. every time that you go through security check in the airport remember who caused it, the criminal palestinian terrorists"
18,Sat Oct 24 14:46:16 +0000 2020,"@pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us Peace is spreading through the Middle East. It’s time for the Palestinians to get on board, to give up on their effort to destroy Israel, and to pursue peaceful coexistence."
19,Sat Oct 24 13:28:27 +0000 2020,@pal_legal @Mondoweiss @SFSU @uhmanoa @nyuniversity @zoom_us Why are you still using Zoom? So many much better alternatives out there.
20,Sat Oct 24 13:08:12 +0000 2020,@shru777 @pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us you are literally describing the zionist occupier and oppressor state...as there is no country called Israel.
21,Sat Oct 24 12:49:26 +0000 2020,"@pal_legal @4noura @SFSU @uhmanoa @nyuniversity @zoom_us no place for palestinian terrorists in Zoom. absolutely correct zoom politic.
You can call your terrorists, murdering civilians, women, children, babies as ""resistance"" or ""freedom fighters"". your lies are too transparent.
summary: Palestine as Arab state never existed"
22,Sat Oct 24 08:15:01 +0000 2020,"So #Hawaii @uhmanoa @GovHawaii @MayorKirkHNL, I’ll bet $$$, lots and lots of $$$, that if contact tracing identifies @UHfootball as the cause of a #Covid_19 outbreak in two weeks, you will cover it up and let football continue. It’s about MONEY!"
23,Sat Oct 24 08:02:04 +0000 2020,@FerdLewis @StarAdvertiser @HawaiiFB @FresnoStateFB @MountainWest COVID COVID COVID!  We’ve been on lockdown for months. @uhmanoa is gonna kill us all because of their need for money from football. COVID COVID COVID!
24,Sat Oct 24 03:47:29 +0000 2020,"@uhmanoa @himb_soest This would be helpful in the Marianas, too"
25,Sat Oct 24 02:07:13 +0000 2020,I've never been so happy to be in a (socially distanced and hyper sanitized) gym. Thanks @uhmanoa! 🏋️
26,Fri Oct 23 22:48:58 +0000 2020,@StarAdvertiser @uhmanoa And...who gives a shit
27,Fri Oct 23 20:57:48 +0000 2020,@pal_legal @SFSU @uhmanoa @nyuniversity @zoom_us @fatichapatis show your professor this
28,Fri Oct 23 20:26:24 +0000 2020,@HZoneOnline @uhmanoa Ya gotta add that link!
29,Fri Oct 23 17:50:53 +0000 2020,@TaizoBraden @NickRolovich @UW_Football @uhmanoa This tweet is all over the place.
30,Fri Oct 23 16:08:42 +0000 2020,@ARCSFoundation @uhmanoa thanks for the feature! Could you please re-post this with my name correct- you've got my first and last names mixed up.
31,Fri Oct 23 11:55:42 +0000 2020,RT @subyroy: At 31 I'd led the @uhmanoa perestroika project for India (and added the Paks too as a  favour to their #aamadmi); at 35 I'd st…
32,Fri Oct 23 09:53:16 +0000 2020,@dr_hawaii @uhmanoa @uhmics ✋All of them?
