,created_at,full_text
0,Mon Oct 26 18:43:20 +0000 2020,"@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern Blacks must be blocked at TSU... surely it must be road blocks to cause such a low number. They are so oppressed. Hey Sly... you never answer my question. How many times have you, Senator Borris and Commissioner Rodney voted so far?"
1,Mon Oct 26 18:30:19 +0000 2020,@need2burn @MJDubs73 @Politics_Polls @YouGovAmerica @UHouston Oh so shouldn't you be in jail for having generational wealth from slavery like tv says?
2,Mon Oct 26 18:29:58 +0000 2020,"@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern Will you allow the fraud being committed against the citizens by insurance companies to continue? Denying claims based on ""out of network"" providers when in fact ""in network"" providers are non existent. Out of pocket caps when no cap actually exist. Where is the accountability?"
3,Mon Oct 26 18:20:55 +0000 2020,"@Wolf8Wolf @Politics_Polls @YouGovAmerica @UHouston This isn't our fault, it's voter suppression and the Democrats not investing in this state for 50+ years"
4,Mon Oct 26 18:15:17 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Texas polling is all over the place. Wonder if it has something to do with it being the first time as a battleground and the likely voter model is difficult to figure out.
5,Mon Oct 26 18:09:03 +0000 2020,@J_Bnimble @Politics_Polls @YouGovAmerica @UHouston Okay
6,Mon Oct 26 18:04:43 +0000 2020,@OpenMindIsKing @Politics_Polls @YouGovAmerica @UHouston I have a better chance of winning Michigan than Donald Trump does.
7,Mon Oct 26 18:04:06 +0000 2020,@alexis_hc2016 @jddoesntknow @hackinjeebs @Politics_Polls @YouGovAmerica @UHouston Please just stop with this “they hate her cause she’s a women” bullshit. She’s a mediocre candidate and Christina Tzintzun Ramirez would actually have a shot at winning unlike MJ
8,Mon Oct 26 18:03:58 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston This is my exact prediction
9,Mon Oct 26 18:01:27 +0000 2020,@SylvesterTurner @RiceUniversity @UHouston @TexasSouthern And Rice has the lowest number of students.  By far!
10,Mon Oct 26 18:00:34 +0000 2020,"@J_Bnimble @Politics_Polls @YouGovAmerica @UHouston Per the current analytics and not polls Biden don’t have enough vote to win Texas. Trump will win by a few points.

The current battle are in GA, NC, WI, MI &amp; MN"
11,Mon Oct 26 17:57:59 +0000 2020,"@rct305 @UHouston @HISD2College @HISD_Wraparound @HoustonCCR @HISDFACE @HISD_ACC @HISDChoice @HoustonISD There needs to be more programs like these. Make college available to everyone, regardless of socioeconomic status."
12,Mon Oct 26 17:47:45 +0000 2020,@Foles41Brady33 @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Sweet so you wont be whining at 6500 then cuz youre well aware
13,Mon Oct 26 17:46:34 +0000 2020,@hackinjeebs @Politics_Polls @YouGovAmerica @UHouston bidens not runnin for senate bud. oh wait is he? haha
14,Mon Oct 26 17:44:04 +0000 2020,@need2burn @MJDubs73 @Politics_Polls @YouGovAmerica @UHouston No lmfao
15,Mon Oct 26 17:42:43 +0000 2020,"@OpenMindIsKing @Politics_Polls @YouGovAmerica @UHouston But polls showing them tied most certainly could be.  This election is going to be determined by turnout.  Too many people look at 2016 and not 2018, where the Democrats won House seats in the Dallas and Houston suburbs they hadn't held since the 90's.  Watch the RGV also."
16,Mon Oct 26 17:39:13 +0000 2020,@need2burn @MJDubs73 @Politics_Polls @YouGovAmerica @UHouston They are not americans they are economic leeches
17,Mon Oct 26 17:38:03 +0000 2020,"@CharacterSum @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston I’ve never seen the Dow before, thanks for posting"
18,Mon Oct 26 17:37:23 +0000 2020,@JoeDubyk @electoralpolls @Politics_Polls @YouGovAmerica @UHouston @DataProgress @YouGov Biden has a 1/4 chance to win it. I'd say that's a toss up.
19,Mon Oct 26 17:35:53 +0000 2020,"@exspencve @MJDubs73 @Politics_Polls @YouGovAmerica @UHouston LMAOOOOO. If they can vote, they'd now be Americans, xenophobe."
20,Mon Oct 26 17:34:23 +0000 2020,"@OpenMindIsKing @J_Bnimble @Politics_Polls @YouGovAmerica @UHouston lol again, your expectations."
21,Mon Oct 26 17:24:21 +0000 2020,"@MJDubs73 @Politics_Polls @YouGovAmerica @UHouston we just want texas because trumpers would lose thier shit, maybe it's best for it not to turn blue..."
22,Mon Oct 26 17:23:32 +0000 2020,@J_Bnimble @Politics_Polls @YouGovAmerica @UHouston Nah other polls that show biden up by 5 or 3 in Texas are not realistic..
23,Mon Oct 26 17:23:05 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston That poll is ancient history.
24,Mon Oct 26 17:20:13 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston I figured it would be close but looks like Trump will hang on to win TX by about 3-5 points.
25,Mon Oct 26 17:14:26 +0000 2020,@UHhousing @UHouston My favorite in the Loop yet!
26,Mon Oct 26 17:13:36 +0000 2020,@Foles41Brady33 @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Vote for a 3 decade depression tho
27,Mon Oct 26 17:11:19 +0000 2020,@CharacterSum @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Vote for the green new deal tho
28,Mon Oct 26 17:10:20 +0000 2020,"@DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Best case scenario translates to a 500K vote loss. Very cool! Totally worth worrying about TX vs. FL, PA, etc. You aren’t being gaslit at all"
29,Mon Oct 26 17:08:55 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Pre-debate numbers are ancient in this business.
30,Mon Oct 26 17:07:27 +0000 2020,"@Foles41Brady33 @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston They are on government welfare. Feds been propping them up since Aug then be ""publicly"" purchasing securities since March. Also got rid of fractional reserve banking which is the final straw for a fiat currency. If I were you I'd take profits while theres still a chance"
31,Mon Oct 26 17:05:32 +0000 2020,"@Foles41Brady33 @Politics_Polls @YouGovAmerica @UHouston I don’t think he will, either. I don’t think his chances are zero, though. My point is: it will be closer and most likely be decided by under 5%."
32,Mon Oct 26 17:04:52 +0000 2020,@CharacterSum @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston My stocks are doing great. Sorry you’re getting hammered out there
33,Mon Oct 26 17:03:30 +0000 2020,@Foles41Brady33 @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Hate to break it to you but the stock market was going to hell way back in Aug/Sept only being propped up with welfare. Trump nationalist economic policies are similar to Hoovers and we all know how that turned out. You can thank him for the dow below 10k
34,Mon Oct 26 17:02:49 +0000 2020,"@DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Narrator: ""but it wouldn't be close."""
35,Mon Oct 26 17:01:54 +0000 2020,@OpenMindIsKing @Politics_Polls @YouGovAmerica @UHouston Why?  Because it fits your expectations?
36,Mon Oct 26 17:01:30 +0000 2020,"@DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Ds only shot in TX is an off-cycle election where Rs are completely asleep at the wheel. I get the narrative here is to depress broader R enthusiasm, but there is no reality-based argument for Biden winning TX"
37,Mon Oct 26 17:01:05 +0000 2020,@alexis_hc2016 @jddoesntknow @hackinjeebs @Politics_Polls @YouGovAmerica @UHouston Ann Richards and Kay Bailey Hutchinson for two might disagree
38,Mon Oct 26 16:59:28 +0000 2020,"@Foles41Brady33 @Politics_Polls @YouGovAmerica @UHouston Tell yourself whatever you have to. The fact is, the Dallas &amp; Houston areas will continue to trend away from the GOP this election, as they have the last couple of elections. That will make for a close race in Texas."
39,Mon Oct 26 16:59:00 +0000 2020,@jddoesntknow @hackinjeebs @Politics_Polls @YouGovAmerica @UHouston MJ is a GREAT candidate. Her only fault is that she has a vagina. Let’s face it. People from Texas ain’t ready for that unfortunately.
40,Mon Oct 26 16:58:15 +0000 2020,"@gvravel @Politics_Polls @YouGovAmerica @UHouston The average of 5 and 3 is 4. I'm not sure that's a toss up. Biden may be better of devoting resources to make sure he wins WI, MI, and PA. Without those, he won't win."
41,Mon Oct 26 16:57:06 +0000 2020,@DelnegroJack @Shiniestknight @Politics_Polls @YouGovAmerica @UHouston There is no scenario Biden wins TX. Just stop 😂
42,Mon Oct 26 16:56:44 +0000 2020,@hackinjeebs @Politics_Polls @YouGovAmerica @UHouston Hegar is a bad candidate
43,Mon Oct 26 16:56:39 +0000 2020,"@BuilJulien @Politics_Polls @YouGovAmerica @UHouston Damn. Bot has 657 more followers than you.

Gg I guess."
44,Mon Oct 26 16:55:15 +0000 2020,"@DelnegroJack @Politics_Polls @YouGovAmerica @UHouston Yes - suburbanites are well-known to love lockdowns, riots, and school closures. They also hate when their 401K is on fire. Great point"
45,Mon Oct 26 16:54:22 +0000 2020,"@Foles41Brady33 @Shiniestknight @Politics_Polls @YouGovAmerica @UHouston No, it’s not. Trump will lose both VA and NM by over 10. If Biden wins Texas, he wins very narrowly. If Trump wins, he will win by under 5."
46,Mon Oct 26 16:53:46 +0000 2020,@Politics_Polls @RonColeman @YouGovAmerica @UHouston Did anyone really think Texas was in play?
47,Mon Oct 26 16:53:16 +0000 2020,@FFBPH @Politics_Polls @YouGovAmerica @UHouston After what Biden said about the oil business and the very real corruption accusations do you really think that number will be better for Biden?
48,Mon Oct 26 16:53:10 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston Here come cry babies of ""but this poll"" 😂😂"
49,Mon Oct 26 16:52:32 +0000 2020,"@hackinjeebs @Politics_Polls @YouGovAmerica @UHouston Biden is significantly outperforming Hegar. She's really not that great a candidate, I would bet that she runs behind Betos performance and loses even if Biden wins TX."
50,Mon Oct 26 16:52:06 +0000 2020,@Shiniestknight @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston That is like saying Trump will win Virginia or New Mexico. Completely clueless
51,Mon Oct 26 16:51:39 +0000 2020,@SammysWorld2 @Politics_Polls @YouGovAmerica @UHouston Yougov favorable to trump?
52,Mon Oct 26 16:51:32 +0000 2020,@electoralpolls @Politics_Polls @YouGovAmerica @UHouston @DataProgress @YouGov It odd why so many blue folks would move to Texas from their nirvana in Cali.
53,Mon Oct 26 16:51:23 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Texas?
54,Mon Oct 26 16:51:01 +0000 2020,"@edwardharris251 @gvravel @Politics_Polls @YouGovAmerica @UHouston It works however you want to manipulate the data and the averaging method you use. Age of polls, quality of polling outfit, etc. all point to it being tied."
55,Mon Oct 26 16:50:45 +0000 2020,@MJDubs73 @Politics_Polls @YouGovAmerica @UHouston yes that's what happens when you import tens of millions of Mexicans to replace the population
56,Mon Oct 26 16:49:59 +0000 2020,@BardiyaSeyfi @Politics_Polls @YouGovAmerica @UHouston It's terrible news for the GOP if you're celebrating a small Trump lead in Texas.
57,Mon Oct 26 16:49:28 +0000 2020,@Politics_Polls @Surabees @YouGovAmerica @UHouston STOP. Trump is winning Texas by 8-10.
58,Mon Oct 26 16:49:09 +0000 2020,@Foles41Brady33 @Politics_Polls @YouGovAmerica @UHouston It’ll be under 5% with the suburban shifts away from the GOP.
59,Mon Oct 26 16:49:08 +0000 2020,"@J2807W @Politics_Polls @YouGovAmerica @UHouston Biden can still win it. If not, it will turn blue in 2022"
60,Mon Oct 26 16:49:06 +0000 2020,"@electoralpolls @Politics_Polls @YouGovAmerica @UHouston @DataProgress @YouGov Yes, GOP will likely fare worse than they would like, but a lot of people are getting way too ahead of themselves in thinking it's a swing state now"
61,Mon Oct 26 16:49:03 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston No change from YouGov's last visit to Texas, although the previous 2% for Hawkins (lol) is now undecided"
62,Mon Oct 26 16:48:40 +0000 2020,"@cdivakaruni @UHouston @uhcwp Thank you, Chitra!!!"
63,Mon Oct 26 16:48:39 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Texas was always a pipe dream.  But this is also about future elections.  Texas is trending blue.
64,Mon Oct 26 16:48:37 +0000 2020,@Foles41Brady33 @DelnegroJack @Politics_Polls @YouGovAmerica @UHouston He'll win by about 2%
65,Mon Oct 26 16:48:07 +0000 2020,@hackinjeebs @Politics_Polls @YouGovAmerica @UHouston Biden isn't running for senate.
66,Mon Oct 26 16:48:06 +0000 2020,@gvravel @Politics_Polls @YouGovAmerica @UHouston You don’t average outliers
67,Mon Oct 26 16:48:05 +0000 2020,@JAPITTER @Politics_Polls @YouGovAmerica @UHouston deal with it
68,Mon Oct 26 16:48:03 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Here come the Magats celebrating Trump barely winning in a state he should be winning easily.
69,Mon Oct 26 16:47:58 +0000 2020,@J2807W @chrisjohn992 @Politics_Polls @YouGovAmerica @UHouston Texas has been transitioning to clean energy for over a decade so yea...
70,Mon Oct 26 16:47:51 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Week old sample...
71,Mon Oct 26 16:47:44 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Dow tumbles 800 points today. Million lose money in their 401k and trump does nothing. The stock market understandably doesn’t like to hear that the President of the United States is giving up on Covid.
72,Mon Oct 26 16:47:41 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston About right
73,Mon Oct 26 16:47:39 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Lies!
74,Mon Oct 26 16:47:29 +0000 2020,@SammysWorld2 @Politics_Polls @YouGovAmerica @UHouston oh gosh you democrats bots never get tired
75,Mon Oct 26 16:47:26 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston This result is probable.
76,Mon Oct 26 16:47:26 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Again...through 10/20. Old! Texas may end up the Rust Belt for T in 2016! TX basically or not so basically IS the entire Rust Belt Elec. Votes LOL. FL/PA become instantly a non factor if Texas comes through. IF it does T and Trumpism instantly fumigated.
77,Mon Oct 26 16:47:24 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston So, you have one poll that shows Biden up by 3 and this one with Trump up by 5.  Let's take the average and declare it pretty much a toss up."
78,Mon Oct 26 16:47:22 +0000 2020,@J2807W @Politics_Polls @YouGovAmerica @UHouston You think Trump being only up 5 in Texas is a good thing for him lmao
79,Mon Oct 26 16:47:17 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston poll somewhat outdated. 10/13-20. 

The more recent polls show Biden +1."
80,Mon Oct 26 16:47:16 +0000 2020,"@NYMFTW @Politics_Polls @YouGovAmerica @UHouston No, but it’s still not great news for Trump to barely be outside the MoE in one Texas poll."
81,Mon Oct 26 16:47:13 +0000 2020,"@EmpathyCapable @Politics_Polls @YouGovAmerica @UHouston Like anti-psychotics?

😉 kidding"
82,Mon Oct 26 16:46:23 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston fake polls accrording to democrats cultists !
83,Mon Oct 26 16:46:22 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Texas will stay red but Biden will win the election
84,Mon Oct 26 16:46:10 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston This is the most realistic poll
85,Mon Oct 26 16:46:09 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston This is likely voters. Meaning election day voters. Biden's early vote bank doesn't help Trump.
86,Mon Oct 26 16:46:09 +0000 2020,"@DelnegroJack @Politics_Polls @YouGovAmerica @UHouston If something like 5-10% or 750K votes is your definition of close, sure"
87,Mon Oct 26 16:46:06 +0000 2020,@J2807W @Politics_Polls @YouGovAmerica @UHouston Go back and look how much Beto over performed polls on the 2018 senate race
88,Mon Oct 26 16:45:59 +0000 2020,@legalobserver1 @Politics_Polls @YouGovAmerica @UHouston Cope with trump winning Texas? Sure I will
89,Mon Oct 26 16:45:58 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston YouGov has been extremely favorable to Trump this cycle in TX.

When the aggregate was Trump+1.5 they showed him being ahead by 7 points (!)"
90,Mon Oct 26 16:45:42 +0000 2020,@chrisjohn992 @Politics_Polls @YouGovAmerica @UHouston Fracking policy*
91,Mon Oct 26 16:45:26 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Damn😔😔
92,Mon Oct 26 16:45:25 +0000 2020,@chrisjohn992 @Politics_Polls @YouGovAmerica @UHouston Yes I’m sure biden’s policy will age like a fine wine in Texas
93,Mon Oct 26 16:45:11 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston It’ll be close, but Trump will win Texas."
94,Mon Oct 26 16:44:58 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston democrats bots say it's a fahe poll ahahahahah
95,Mon Oct 26 16:44:44 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston Is YouGov trash now because Trump is ahead?
96,Mon Oct 26 16:44:39 +0000 2020,@J2807W @Politics_Polls @YouGovAmerica @UHouston Won Texas by 9 last time.  It’s a 1 point race book it
97,Mon Oct 26 16:44:37 +0000 2020,"@Politics_Polls @YouGovAmerica @UHouston Gotta get real guys, vote vote vote, no complacency"
98,Mon Oct 26 16:44:21 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston It all comes down to Fracking
99,Mon Oct 26 16:44:01 +0000 2020,@Politics_Polls @YouGovAmerica @UHouston That’s more like it. These polls showing Biden ahead are ludicrous
100,Mon Oct 26 16:40:21 +0000 2020,we are not friends @UHouston i am sending terrible emergy your way @UHouston
101,Mon Oct 26 15:58:42 +0000 2020,"Today on 1951, visual artist &amp; filmmaker @JulianSchnabel, who attended @UHouston, is born."
102,Mon Oct 26 15:15:45 +0000 2020,"@realspencergray @YouGov @UHouston Why is YouGov so favorable to Trump this cycle in TX?

Similar to Landmark communications in GA."
103,Mon Oct 26 14:24:50 +0000 2020,"RT @ShearCreativity: @OwnEveryPiece @MCGenesisBlu Hey, @UHouston, @RiceUniversity, @TexasSouthern—would love for your students to know this…"
104,Mon Oct 26 03:34:58 +0000 2020,@JBoatwright_1 @UHouston Is this what we’re doing now? 🤔
105,Mon Oct 26 01:59:10 +0000 2020,@ARVOinfo @UHouston Thank you for sharing!
106,Mon Oct 26 01:58:31 +0000 2020,@BM4573r @ARVOinfo @UHouston Thank you for the kind words!
107,Sun Oct 25 18:44:35 +0000 2020,RT @CoogReeg: @CoachHugheyUH @UHCougarWBB @UHCougars @UHouston I cant wait!!!!
108,Sun Oct 25 18:39:25 +0000 2020,@CoachHugheyUH @UHCougarWBB @UHCougars @UHouston I cant wait!!!!
