,created_at,full_text
0,Mon Oct 26 02:34:08 +0000 2020,"RT @uidahoextension: @uidaho has received a $199,974 grant from @USDA_NIFA for a new study to investigate the links between pollutant conce…"
1,Sun Oct 25 11:53:37 +0000 2020,@uidaho We are READY! Go-VANDALS-Go! 👍🇺🇸🙏🏀🏀🌹☕️🤠
2,Thu Oct 22 00:44:00 +0000 2020,"@uidaho has received a $199,974 grant from @USDA_NIFA for a new study to investigate the links between pollutant concentrations and agricultural practices. The goal is to provide incentives that improve environmental health without placing undue burden on farmers. #NIFAimpacts"
3,Wed Oct 21 02:47:41 +0000 2020,"@tanner_prescott @uidaho @NewburyParkHS @NPPanthersONE @VandalFootball It’s because you put your head down and do the work. You are creating your opportunities, son,  and we couldn’t be prouder of you. 💙"
4,Tue Oct 20 18:51:11 +0000 2020,"@BrennaJCassidy @HebblewhiteLab @uidaho Thank you @BrennaJCassidy! I've only skimmed the paper so far, but it looks really interesting!! 🤩"
5,Tue Oct 20 18:34:38 +0000 2020,@HebblewhiteLab @uidaho @bthomaskuzilik you'll probably be interested in this!!
6,Tue Oct 20 17:59:10 +0000 2020,".@uidaho has devoted large efforts to hold in-person classes this fall. “We understand the concern of some students,” President Scott Green said. “But we hope our success this fall will increase confidence in students across the state.” 2/2"
7,Tue Oct 20 14:49:35 +0000 2020,"How one Idaho student faced pandemic in 1918: masks, social distancing and...  'chewing their food thoroughly and avoiding tight clothing' Great read! clothinghttps://www.idahostatesman.com/news/northwest/idaho/history/article246555253.html @uidaho"
8,Tue Oct 20 03:49:29 +0000 2020,"@pfannyyy @BetsyZRussell @uidaho @ThePostRegister @Report4America Total Trump country too, not a coincidence"
9,Mon Oct 19 23:25:17 +0000 2020,"@pfannyyy @NateBrownNews @uidaho @ThePostRegister @Report4America Can it still be called a plan when you “overhaul” your approach and remove most of the restrictions (“the only restrictions left in place … were mask mandates and slight event restrictions”).  

I didn’t know they gave out public health degrees for “doing nothing.”"
10,Mon Oct 19 22:58:27 +0000 2020,Kinda bullshit that professors give the second exam when the first exam grades are still not in yet @uidaho
11,Mon Oct 19 22:38:19 +0000 2020,@McJavaJunky @mlcarmel @uidaho @ThePostRegister @Report4America Of course!
12,Mon Oct 19 22:37:45 +0000 2020,@pfannyyy @mlcarmel @uidaho @ThePostRegister @Report4America Thanks!
13,Mon Oct 19 22:33:19 +0000 2020,@pfannyyy @mlcarmel @uidaho @ThePostRegister @Report4America Is there a link to a journal article in your story. Will read later or in print tomorrow.
14,Mon Oct 19 21:57:07 +0000 2020,"“While we continue to see cases of COVID-19 climb in other areas of the region, we are pleased that our retest of all students and limited surveillance testing of faculty and staff show a decrease in our community,” @uidaho President Scott Green said in a campus note today. 2/2"
15,Mon Oct 19 19:54:24 +0000 2020,@nicoleMfoy @uidaho @BoiseState Oh awesome! @uiargonaut @arbiteronline @NICSentinel @byuiscroll
16,Mon Oct 19 19:49:54 +0000 2020,@nicoleMfoy @uidaho @BoiseState @alex_brizee check this out!
17,Mon Oct 19 03:27:26 +0000 2020,@JoshCrewsReally Black Happy no opening act SUB on campus at @uidaho.
