,created_at,full_text
0,Sun Oct 25 19:17:49 +0000 2020,@UIC_BVIS @thisisUIC This is exactly what I would have wanted as an undergrad
1,Sun Oct 25 18:04:19 +0000 2020,"@AgnesCallard Hey @UChicagoPress, @thisisUIC is this your rep causally throwing around the world “tribalism” while being a non indigenous person in a god awful apologist take?"
2,Sun Oct 25 04:21:00 +0000 2020,@flyfoot100 @jarebearishere @GerardWayST Magritte covered the faces in his paintings bc as a young child he found his mother in the pond in their back yard after she killed herself &amp; her nightgown had come up over her head. He had a period in his art where white cloth covered all faces- If I recall correctly @thisisUIC
3,Sun Oct 25 00:07:52 +0000 2020,RT @iamn0tthe1: @UICnursing @Dr_Whomever @GLMA_Nsg @thisisUIC @UICnews Well deserved my friend @Dr_Whomever. @UICnursing you know what else…
4,Sat Oct 24 21:43:36 +0000 2020,@doothirty @thisisUIC Good for you! ☑️🇺🇲
5,Sat Oct 24 17:49:54 +0000 2020,RT @iamn0tthe1: @UICnursing @Dr_Whomever @GLMA_Nsg @thisisUIC @UICnews Well deserved my friend @Dr_Whomever. @UICnursing you know what else…
6,Sat Oct 24 17:27:16 +0000 2020,RT @iamn0tthe1: @UICnursing @Dr_Whomever @GLMA_Nsg @thisisUIC @UICnews Well deserved my friend @Dr_Whomever. @UICnursing you know what else…
7,Sat Oct 24 16:41:33 +0000 2020,"RT @UICnursing: A big congrats! to assistant professor Em Rabelais, PhD, RN, who, along with their co-organizing colleagues, received the 2…"
8,Sat Oct 24 16:41:11 +0000 2020,"@UICnursing @Dr_Whomever @GLMA_Nsg @thisisUIC @UICnews Well deserved my friend @Dr_Whomever. @UICnursing you know what else would be nice and not performative? An acknowledgment of the knowingly hostile workplace they exist in, an apology, discipline against their abusers and commitment to creatin a safe environment for them to work."
9,Sat Oct 24 16:24:46 +0000 2020,"@jdillardwright @drannamvaldez @Dr_Whomever @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @marionleary @ClairePVW @mclemoremr @AMMoraitis So proud to know you Jess, rooting for your big event on Thursday, well deserved &amp; hard-earned. Your footprint is as grand as your future as a nurse scholar historian."
10,Sat Oct 24 15:45:02 +0000 2020,"@jdillardwright @drannamvaldez @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @RobinCogan @marionleary @ClairePVW @mclemoremr @AMMoraitis Jess--your words are always good, and they're going to take us wonderful places on Thursday! Your radical, abolitionist imaginings of futurities of what we call nursing is inspiration."
11,Sat Oct 24 15:41:23 +0000 2020,@drannamvaldez @Dr_Whomever @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @RobinCogan @marionleary @ClairePVW @mclemoremr @AMMoraitis i don't have good words right now but love y'all so much. for both concrete and finite reasons and for the abstract and radical space for imagination. xoxo
12,Sat Oct 24 15:16:30 +0000 2020,"@mclemoremr @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @drannamvaldez @jdillardwright @RobinCogan @marionleary @ClairePVW @AMMoraitis Monica, it's been such an honor to interact with, learn from/with you--both during and pre-pandemic. Tremendously appreciate you 💜"
13,Sat Oct 24 15:13:49 +0000 2020,@Dr_Whomever @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @drannamvaldez @jdillardwright @RobinCogan @marionleary @ClairePVW @AMMoraitis Such an honor 🙏🏿
14,Sat Oct 24 15:09:22 +0000 2020,@Dr_Whomever @UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @jdillardwright @RobinCogan @marionleary @ClairePVW @mclemoremr @AMMoraitis It has been such a gift to be a part of the @NrsgMutualAid collective. You are all amazing.
15,Sat Oct 24 15:03:20 +0000 2020,"@UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid @UMassWalker @Montalvo501 @BGlickstein @drannamvaldez @jdillardwright @RobinCogan @marionleary @ClairePVW @mclemoremr @AMMoraitis Text accompanying the award: ""2020 Global Hero Award in recognition of your innovative, fearless and tireless dedication to amplifying the voices of nurses and fighting for social justice, including racial justice, queer justice, environmental justice and economic justice."""
16,Sat Oct 24 15:02:57 +0000 2020,"@UICnursing @GLMA_Nsg @thisisUIC @UICnews @NrsgMutualAid also includes:
@UMassWalker
@Montalvo501
@BGlickstein
@drannamvaldez
@jdillardwright
@RobinCogan
@marionleary
@ClairePVW
@mclemoremr
@AMMoraitis 
Jan Oosting Kaminsky"
17,Fri Oct 23 21:04:58 +0000 2020,"A big congrats! to assistant professor Em Rabelais, PhD, RN, who, along with their co-organizing colleagues, received the 2020 Global Hero Award from GLMA Nursing: Nurses Advancing LGBTQ Health Equality. @Dr_Whomever @GLMA_Nsg @thisisUIC @UICnews"
18,Fri Oct 23 19:56:39 +0000 2020,"I so wanted to do the Ethics Training for @thisisUIC this afternoon, but I can barely stay awake."
19,Fri Oct 23 00:58:58 +0000 2020,"In the last 36 hours, I have had the privilege to be able to talk about   voting and our community with public policy students at @thisisUIC, law students at @DePaulLaw and doctors at @UChicagoMed.

The future looks bright y'all."
20,Wed Oct 21 23:00:29 +0000 2020,@HopesPsychology @thisisUIC Ohh! How'd it go??
21,Wed Oct 21 19:19:59 +0000 2020,@HopesPsychology @thisisUIC I was just shouting you out in a department talk that I gave today
22,Wed Oct 21 19:02:16 +0000 2020,"Today at 5:00 PM CST, Brad joins UIC Undergraduate Women's Network virtual panel discussion about what a CPA does, how you get the certification and what it can do for you #UIC #accounting #CPA @thisisUIC"
23,Wed Oct 21 16:50:19 +0000 2020,@bfloodUIC @thisisUIC @GMA @commuic appreciate you sharing Brian!
24,Tue Oct 20 22:58:10 +0000 2020,@thisisUIC This is the future!
