,created_at,full_text
0,Mon Oct 26 17:28:21 +0000 2020,@giesbusiness @UofIFS @Illinois_Alma @Illinois_Alumni Love the Pumpkin! 🎃
1,Mon Oct 26 15:17:38 +0000 2020,@Illinois_Alma Why have the flags by Krannert been flying at half-mast for the whole semester? 😒🧐🤨
2,Mon Oct 26 13:36:02 +0000 2020,RT @heniek_d3: @EWoodhouse7 @EthicalSkeptic @Illinois_Alma Get the Herd used to control of their private lives. That's why this goes down a…
3,Mon Oct 26 12:45:51 +0000 2020,"@a_kasten @IlliniUnion @Illinois_Alma Hello,,,are you a student?"
4,Mon Oct 26 11:56:03 +0000 2020,"In the words of the Marching Illini: Hi! Ho! Here we go! 

#MondayMood 

@Illinois_Alma @MarchingIllini"
5,Mon Oct 26 08:13:03 +0000 2020,@EWoodhouse7 @EthicalSkeptic @Illinois_Alma Get the Herd used to control of their private lives. That's why this goes down all the way to kindergarten. Conditioning !!!
6,Mon Oct 26 06:52:54 +0000 2020,@ronpearson56 @RadioFreeTom @Illinois_Alma FAR as a freshman here. 🔶🔷
7,Mon Oct 26 03:23:29 +0000 2020,"RT @ILCitizen: @RodneyDavis @Illinois_Alma Assist, how? Where's the money to expand the testing to the community/schools? Region 6 is spira…"
8,Sun Oct 25 20:04:32 +0000 2020,@Illinois_Alma Cases up this week after last week's lows. 7-day average up from 10/day (70/week) at the start of the week to 17/day today.
9,Sun Oct 25 17:28:58 +0000 2020,@Drewmosko @KirkHerbstreit @ClemsonFB @AlabamaFTBL @OhioStateFB @GeorgiaFootball @NDFootball @CowboyFB @Illinois_Alma Yes sir!
10,Sun Oct 25 17:22:38 +0000 2020,"@kostal_16 @KirkHerbstreit @ClemsonFB @AlabamaFTBL @OhioStateFB @GeorgiaFootball @NDFootball @CowboyFB I'd love that, bro! My brother and his two sons are golden domers (I'm the black sheep @Illinois_Alma 😉) and I've been an ND fan since I was a kid, but it would take the Irish beating Clemson. I'm not ot optimistic but hopeful for some luck of the Irish."
11,Sun Oct 25 16:30:11 +0000 2020,@sciencegoddess @Illinois_Alma Hope he recovers quickly!
12,Sun Oct 25 16:23:59 +0000 2020,@sciencegoddess @Illinois_Alma So important for Americans to vote… and to contract trace. I hope for both. Most importantly I hope he gets well and doesn’t succumb to the “long haul” route of the disease. Take care.
13,Sun Oct 25 16:09:57 +0000 2020,@Illinois_Alma I want a refund for this online shit
14,Sun Oct 25 15:49:51 +0000 2020,RT @jsheltino: @RodneyDavis @Illinois_Alma In the absence of any coherent federal response U of I and the state of IL have had to front a l…
15,Sun Oct 25 15:48:46 +0000 2020,"RT @ILCitizen: @RodneyDavis @Illinois_Alma Assist, how? Where's the money to expand the testing to the community/schools? Region 6 is spira…"
16,Sun Oct 25 15:34:20 +0000 2020,In-person office hours and counseling should be available. Virtual is not doing it. @Illinois_Alma
17,Sun Oct 25 14:30:11 +0000 2020,"RT @ILCitizen: @RodneyDavis @Illinois_Alma Assist, how? Where's the money to expand the testing to the community/schools? Region 6 is spira…"
18,Sun Oct 25 13:57:44 +0000 2020,"@RodneyDavis @Illinois_Alma Assist, how? Where's the money to expand the testing to the community/schools? Region 6 is spiraling and you're absent in all of the ways that matter."
19,Sun Oct 25 12:01:17 +0000 2020,"We need to replicate, across the country, what the @NWSL and the @WNBA and the @NBA did and what @Illinois_Alma is doing to keep people safe from, and to stop the spread of, the coronavirus."
20,Sun Oct 25 08:22:59 +0000 2020,"@MatthewPennMSU @BrexitMania @rich_goldberg @Illinois_Alma @GovPritzker @IBHETweets Why do you keep making this ridiculous straw man argument conflating “criticism of Israel” with virulent hate, harrassment, threats, intimidation, and vandalism?"
21,Sun Oct 25 03:07:27 +0000 2020,"@paulmromer @Samoshil @CT_Bergstrom @Illinois_Alma 0.2% “positivity” isn’t estimate of population infection rate if samples aren’t independent. &gt;10% of undergrads tested positive this term. 20 per day add to total incidence %.  massive testing means it’s better here than elsewhere, but still not great."
22,Sun Oct 25 02:57:44 +0000 2020,"@paulmromer @Samoshil @CT_Bergstrom @Illinois_Alma It’s definitely much better than at the start of term and better than anyplace with minimal testing. But 20 new cases/day is still ongoing spread &amp; worse than at other schools with similar twice weekly testing, eg, Cornell.  positivity also has diff meaning when everyone tested."
23,Sun Oct 25 02:14:10 +0000 2020,@UWMadison @BeckyBlank @Illinois_Alma @ASlavitt and get a grip on what we need to do to make sure Dane county isn’t a disaster zone before the start of next semester.
24,Sun Oct 25 02:13:18 +0000 2020,"@UWMadison @BeckyBlank @Illinois_Alma @ASlavitt to test students an a (2x) weekly basis but not starting until next semester. Maybe instead of saying DeTAils ArEn’t quITe rIGht, you have somebody reach out to @ASlavitt ..."
25,Sun Oct 25 02:12:56 +0000 2020,"@UWMadison @BeckyBlank The 3500 references positive on-campus cases whereas BU only has  150. Congrats on 8k tests a week. Our friends down at @Illinois_Alma are doing 8-10k A DAY.  We, unlike many universities, do not require student testing and only recently announced a plan... @ASlavitt"
26,Sun Oct 25 01:05:53 +0000 2020,@sciencegoddess @Illinois_Alma Glad to hear he's ok. My best wishes for his speedy recovery.
27,Sun Oct 25 00:58:09 +0000 2020,"RT @RyanMcCoy_12: U of I reporting they did 10,000 of their rapid saliva COVID tests on Monday. That’s 1.3% of all tests done across the US…"
28,Sat Oct 24 23:17:23 +0000 2020,"@JGreenblattADL @Illinois_Alma @ADLMidwest So says Jews who support apartheid and racism towards Ethiopian Jews. Don't throw stones, hypocrites. And btw, if Americans want to support BDS we will, it's an individual choice and part of our freedom of speech. It's not racism so kick rocks with your whining."
