,created_at,full_text
0,Mon Oct 26 18:34:43 +0000 2020,"@phdgprotein86 @NRMNET @PStrengthen @dr_ohsopretty @NIH @CommOfScholars @ROOTSMentoring @Princeton @uiowa @WSSUNews @WssuFam This is excellent! Will definitely pass onto students, thanks!"
1,Mon Oct 26 18:27:14 +0000 2020,@KCC_LSAMP @uiowa Yay!! We’re very excited @UIowaHHP to be joining your students!
2,Mon Oct 26 16:37:10 +0000 2020,@uiowa @UIowaDance See you Saterday. Let’s go!
3,Mon Oct 26 16:36:17 +0000 2020,"@lyzl @IAGovernor @uiowa Notably, while I have found a number of virologists, epidemiologists and even corporate administrators @UIowa who have diverged from the governor's COVID-19 policies, J. Brooks Jackson has been an intermittent supporter but largely quiet on the subject of her pandemic response."
4,Mon Oct 26 16:30:09 +0000 2020,@Dan_Higgins @uiowa 🤣 The first troll.
5,Mon Oct 26 16:23:33 +0000 2020,"RT @LauraRBelin: @Ditchwalk @uiowa Even after there is a reasonably effective vaccine, it won't be widely available for months. 
I think sh…"
6,Mon Oct 26 16:00:24 +0000 2020,"@LauraRBelin @uiowa I agree.

But...there aren't any other major public research universities breaking the news that a COVID-19 vaccine is only weeks away, and J. Brooks Jackson just did that @UIowa.

So it's worth asking why he believes that, and why he's saying that one week before the election."
7,Mon Oct 26 15:56:28 +0000 2020,@LauraRBelin @Ditchwalk @uiowa Does not want Covid to be main topic of election
8,Mon Oct 26 15:51:10 +0000 2020,"@Ditchwalk @uiowa Even after there is a reasonably effective vaccine, it won't be widely available for months. 
I think she is trying desperately to keep up appearances until after the election."
9,Mon Oct 26 15:38:17 +0000 2020,@uiowa It's Gary Barta!
10,Mon Oct 26 15:30:42 +0000 2020,@uiowa may i please have instant access to the schedule builder please 🥺
11,Mon Oct 26 13:26:12 +0000 2020,@crafterev @uiowa via whatever the IM thing was. It was The Koran. And it jammed up the whole system for a while.
12,Mon Oct 26 13:25:52 +0000 2020,"@crafterev @uiowa I was at Kent State at don't remember anything so fancy. However, a friend at the Univ. of Rochester (NY) explained to me then that through their IM system, someone annoyed or wronged someone else. So the aggrieved party found the biggest text file on their computer and sent it.."
13,Mon Oct 26 13:06:36 +0000 2020,"@Dan_Higgins We had a BBS at @uiowa called PARTI; through it we could send instant messages called “now messages,” because that’s what you had to type. 
Now Dan &lt;enter&gt;
Now Dan &lt;1 line message&gt; 

I was using this system in 1988, I believe. Black screen, green letters. 

It also had email."
14,Mon Oct 26 08:47:47 +0000 2020,"Maybe also a good time for everyone to double-check and make sure that @Uiowa, @uihealthcare, and none of the administrative or government leaders in charge of the COVID-19 response in Iowa -- or their family members -- stand to profit from approval of any specific vaccine."
15,Mon Oct 26 02:54:06 +0000 2020,@bellavolfson @uiowa I’d donate it back to @KRUI. Man of my word
16,Mon Oct 26 02:53:19 +0000 2020,@jnash1027 @uiowa But student gov wants to cut KRUIs funding 🥴 make it make sense!
17,Mon Oct 26 01:35:52 +0000 2020,"@uiowa True, times a million!"
18,Mon Oct 26 01:33:41 +0000 2020,@uiowa Heartbreaking! NBH! Let’s go please. Thanks for making this possible.
19,Mon Oct 26 01:33:15 +0000 2020,@uiowa ayo that's me
20,Mon Oct 26 01:00:50 +0000 2020,@uiowa @NIH Let’s get out of here. Hello Germany!! :)
21,Mon Oct 26 00:48:52 +0000 2020,@uiowa @NIH Your Quarterback. The black hole. NBH. Let’s go.
22,Mon Oct 26 00:46:12 +0000 2020,@jnash1027 @Caroo1211 @uiowa You’re a legend
23,Mon Oct 26 00:41:38 +0000 2020,@uiowa Who is the Trump@ your town. Let’s get the f out of here!
24,Sun Oct 25 22:14:44 +0000 2020,@uiowa This is one of the reasons why I want to go here 🥺
25,Sun Oct 25 21:01:36 +0000 2020,"@freep In May 2019, tight end TJ Hockenson signs a 4yr deal with the @Lions worth $19.8M that included a $12.4M signing bonus. On Oct. 25, 2020, the former #Iowa Hawkeye carries his team to a stunning victory at @MercedesBenz Stadium. @freepsports @uiowa @HawkeyeFootball @TheeHOCK8 🥂"
26,Sun Oct 25 19:45:44 +0000 2020,@uiowa @uihealthcare Sorry It didn’t work out. Let’s go Paris.
27,Sun Oct 25 19:23:10 +0000 2020,@jnash1027 @uiowa Can’t believe i know a celebrity
28,Sun Oct 25 17:04:37 +0000 2020,"Can’t wait to see our team participate in the GI Jeopardy competition at #ACG2020 tonight. Tune in to support the team @uiowa  @YZAH85, Divya Ashat..!!"
29,Sun Oct 25 16:53:55 +0000 2020,@NFLonCBS Block Release Catch Spike...love it! Especially from the land of @nrfant and @uiowa #TightEndU
30,Sun Oct 25 13:54:01 +0000 2020,"Gratitude Journal Day 225: I’m #grateful I went to a public university at a time in history when it was affordable; I graduated without student loan debt, due to having a scholarship. @uiowa #iowa #iamold #GenX #privilege"
31,Sun Oct 25 06:53:24 +0000 2020,"@BigTenNetwork Showed two commercials, one featured an Iowa men’s tennis player and one featured an Iowa men’s diver. Both sports were cut by @uiowa #BigTenIsBack #iowaswimminganddiving #iowamenstennis #wtf"
32,Sun Oct 25 06:42:29 +0000 2020,if @uiowa didn’t actively bar me from starting an organization for queer grad students I would have 15 husbands by now probably // what r ur thoughts  @HawkeyeFootball ?????
33,Sun Oct 25 04:20:04 +0000 2020,"@CopperCanyonPrs @Prairie_Lights @uiowa Marvin Bell—poet, sage, mentor for the ages—he shared this Yiddish wisdom with me just when I needed it most: “If you can’t get up, get down. If you can’t get across, get across.” Todah rabah, dear Marvin."
34,Sun Oct 25 02:54:00 +0000 2020,"@uiowa So much not seen; where you come up with this ""Best"" rating?"
35,Sun Oct 25 02:50:11 +0000 2020,@uiowa Beautiful school!
36,Sun Oct 25 02:45:29 +0000 2020,@Hogshead3Au @TheIntercollege @uiowa @JillZwag That’s all true. And many women athletes don’t have their sense of identity wrapped around taking verbal abuse from coaches to prove their masculinity. Women athletes are demanding higher standards &amp; for ADs to enable abusive coaches of men’s sport is to uphold no standard at all
37,Sun Oct 25 02:36:38 +0000 2020,"@TheIntercollege AD could ignore women athletes, but it’s not my general experience. 
More typically, the AD wants to spend as little emotional energy as possible on the Women’s programs, and is trigger-happy. See e.g., @uiowa @JillZwag"
38,Sun Oct 25 02:14:43 +0000 2020,@uiowa @Forbes Sure if you are in the athletic clique favorited by an out of touch ivory tower topheavy administrative wardrobe comparing club/cult
39,Sun Oct 25 01:30:57 +0000 2020,@uiowa I’m depressed
40,Sun Oct 25 01:26:25 +0000 2020,"@mimendenhall @BPenisten @HawkeyeFootball @uiowa Feel you, brother"
41,Sun Oct 25 01:26:01 +0000 2020,@RoryDiamond @BPenisten @HawkeyeFootball @uiowa Wishing you a better Big 10 opener that us #GoHawks!
42,Sat Oct 24 23:57:15 +0000 2020,"A decent 1st time out of the gate for the new @UIowa QB. The offense will, naturally, need to figure out how to post more than a FG in the 2nd half.

Petras 22-39 265 yds 3 carr 0 yds

#GoHawks"
43,Sat Oct 24 22:28:12 +0000 2020,@HawkeyeFootball is back - finally! 🙌🏼 which means the season for me yelling at my TV has also begun.🤬 @BigTenNetwork @uiowa @TheIowaHawkeyes
44,Sat Oct 24 22:20:25 +0000 2020,@freyguy21 @kevbot88 @abroderick8 @uiowa @ValleyOfFireLV @TravelNevada @CanonUSAimaging Nah I’ve been there. Maybe Lake Red Rock north of Knoxville?
45,Sat Oct 24 22:17:54 +0000 2020,@footiusmaximus @uiowa Fucking hates it. Will probably keep it on her for a few days because she’ll be such a bitch about taking it off.
46,Sat Oct 24 22:15:08 +0000 2020,@kevbot88 @MPalsgrove @abroderick8 @uiowa @ValleyOfFireLV @TravelNevada @CanonUSAimaging That looks like it's near Ottumwa
47,Sat Oct 24 22:11:30 +0000 2020,@IAmAStone @uiowa Poor Joy🤣🤣
48,Sat Oct 24 21:55:15 +0000 2020,"@abroderick8 @kevbot88 @uiowa @ValleyOfFireLV @TravelNevada @CanonUSAimaging @kevbot88 never been to that part of Iowa, where’s that? 🧐"
49,Sat Oct 24 20:30:50 +0000 2020,"@CoachFerentz u know doctor’s say gators like u  r wearing at purdue game don’t protect u or others from COVID.  U keep pulling it down.  Stop trying to look macho.  get a proper mask, show u care about players +others and set a good example @HawkeyeFootball @uiowa @uihealthcare"
50,Sat Oct 24 20:21:56 +0000 2020,@ashleyalong @uiowa @TheIowaHawkeyes Big hi’s and hugs to all! GO HAWKS!! 💛🖤
51,Sat Oct 24 20:17:11 +0000 2020,@ashleyalong @uiowa @TheIowaHawkeyes Hey y’all! 🤗
52,Sat Oct 24 19:44:28 +0000 2020,"@bigten @BigTenNetwork @B1Gfootball @BoilerFootball @HawkeyeFootball @TheIowaHawkeyes @uiowa #CollegeFootball @NCAAFootball @NCAA #NCAAF 
#BigTenFootball is back 
Lets go #Iowa beat #Purdue 🏈"
53,Sat Oct 24 19:11:59 +0000 2020,@UIowa_Surgery @uiowa @uihealthcare Thanks very much! Proud to be Transplant Surgery fellow from 2000 to 2002 at UIHC. Cheers from Veracruz Mexico
54,Sat Oct 24 18:45:57 +0000 2020,"@gmtzmier @uiowa @uihealthcare ¡Felicitaciones! Estamos orgullosos de todo lo que ha logrado.

We are proud of you Dr. Martinez Mier for all that you have accomplished including this well-deserved honor."
55,Sat Oct 24 18:31:40 +0000 2020,@FourSchissel @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Yay! Glad you enjoyed it! 🖤💛🖤
56,Sat Oct 24 18:22:37 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB That was FANTASTIC!! Thank you Ms. Hawkeye!!
57,Sat Oct 24 18:03:51 +0000 2020,RT @4_starter: @uiowa and @HawkeyeFootball needs to put a statue of @lucy_rohden outside Kinnick. She’s a national treasure and Iowa legend…
58,Sat Oct 24 18:01:17 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Awesome as always #gohawks
59,Sat Oct 24 17:22:11 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB When
60,Sat Oct 24 17:21:54 +0000 2020,@uiowa @uihealthcare @UIowa_Surgery Thanks!
61,Sat Oct 24 17:18:39 +0000 2020,RT @4_starter: @uiowa and @HawkeyeFootball needs to put a statue of @lucy_rohden outside Kinnick. She’s a national treasure and Iowa legend…
62,Sat Oct 24 17:07:50 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Outstanding young lady!!!
63,Sat Oct 24 17:06:25 +0000 2020,@LisaDondlinger @HeavensFX @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Great job!!
64,Sat Oct 24 16:52:01 +0000 2020,RT @4_starter: @uiowa and @HawkeyeFootball needs to put a statue of @lucy_rohden outside Kinnick. She’s a national treasure and Iowa legend…
65,Sat Oct 24 16:49:28 +0000 2020,@uiowa and @HawkeyeFootball needs to put a statue of @lucy_rohden outside Kinnick. She’s a national treasure and Iowa legend in the making. 🐐
66,Sat Oct 24 16:43:17 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB That was outstanding! Love that song! GO HAWKS!💛🖤
67,Sat Oct 24 16:40:00 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Thank you Lisa. We REALLY appreciate your talent and love it that you share with us!! Go Hawks!!!
68,Sat Oct 24 16:35:45 +0000 2020,"President supported by .@SBAList said this about the &gt; 200000 lives lost due to #Covid19
“It is what it is”
“We are learning to live with it”
“It’s a hoax”

#vote2020 #vote #prolife .@uiowa .@IowaStateU .@DMRegister .@DesMoinesGov"
69,Sat Oct 24 16:35:19 +0000 2020,RT @KinnickTower: @LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB This has become my…
70,Sat Oct 24 16:35:15 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Your music is a gift to us all...especially in times like this. Thank you.
71,Sat Oct 24 16:24:46 +0000 2020,"@uiowa That's that cutest thing on the internet!
#Hawkeyes #GoHawks #FightForIowa 
🖤💛🏈💛🖤"
72,Sat Oct 24 15:51:15 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB This is fantastic!
73,Sat Oct 24 15:38:04 +0000 2020,@TJWalkerRadio @KySportsRadio @justthecatradio @RoushKSR @ryanlemond @DrewFranklinKSR @ShannonTheDude @universityofky @uiowa @UKMitchBarnhart @UKFootball @HawkeyeFootball gotta dream big right! #GoHawks #GoCats
74,Sat Oct 24 15:29:39 +0000 2020,@HawkeyeWeirdAl @raycoletv @jaybyers @frankgarza57 @uiowa @IowaHoops @bobbynalean @HawkeyeFootball @TheREALHerky @alyankovic @hederjon @BigTenNetwork You are too kind. Glad you are doing what you are doing.
75,Sat Oct 24 15:23:06 +0000 2020,@raycoletv @jaybyers @HawkeyeElvis @frankgarza57 @uiowa @IowaHoops @bobbynalean @HawkeyeFootball @TheREALHerky @alyankovic @hederjon @BigTenNetwork It all started thanks to inspiration from The King. Eternally grateful to @HawkeyeElvis! 👊 Wigged fandom is just plain fun! 😂
76,Sat Oct 24 15:17:41 +0000 2020,@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB Love it!
77,Sat Oct 24 15:15:06 +0000 2020,@jaybyers @HawkeyeElvis @HawkeyeWeirdAl @frankgarza57 @uiowa @IowaHoops @bobbynalean @HawkeyeFootball @TheREALHerky @alyankovic @hederjon @BigTenNetwork Lord have mercy... 😂
78,Sat Oct 24 15:10:25 +0000 2020,"@LisaDondlinger @HawkeyeFootball @uiowa @UIAdvancement @TheIowaHawkeyes @IowaOnBTN @CFBONFOX @ESPNCFB This has become my favorite pregame tradition if I’m honest. Thank you for sharing these each week. 🖤💛🖤💛

“Art is how we decorate space. Music is how we decorate time.” - Jean-Michel Basquiat"
79,Sat Oct 24 04:39:03 +0000 2020,"RT @AustinJRoberts: This is me, once again, petitioning to let @uiowa lets seniors get another year of @HawkeyeFootball student tickets."
80,Sat Oct 24 04:30:14 +0000 2020,"This is me, once again, petitioning to let @uiowa lets seniors get another year of @HawkeyeFootball student tickets."
81,Sat Oct 24 03:43:20 +0000 2020,@uiowa @ZakPeterson9 you should get one of these shirts for Nora
82,Sat Oct 24 03:00:05 +0000 2020,"@siyamali @uiowa @UICareerCenter Back when I taught a large lecture class @uiowa, Holstein and I were both nominated for a teaching award that he won. After the ceremony, I congratulated him and said he was a role model for me. He said I needed to pick better role models!"
83,Sat Oct 24 01:45:49 +0000 2020,"The bars are packed with people, no social distancing, no one is wearing masks, and @HawkeyeFootball 's season starts tomorrow. @bigten @uiowa when the cases spike and the deaths mount up will the money be worth it?"
84,Sat Oct 24 01:29:20 +0000 2020,"@HawkeyeFootball @TheIowaHawkeyes @uiowa 
Is there an emoji of #Herky ? If so where?  If not can you make one?"
