,created_at,full_text
0,Fri Oct 23 18:29:32 +0000 2020,@KUCollege @KUIndigenous @sarahdeer @KUSPAA @kuwgss @KUnews Where can I find this podcast episode?
1,Fri Oct 23 16:56:16 +0000 2020,@physorg_com @KUnews @AAS_Office Protected by a strong magnetic field around the planet emanating from the core.
2,Fri Oct 23 16:53:04 +0000 2020,@physorg_com @KUnews @AAS_Office is neptune far from us 260 light years?
3,Thu Oct 22 16:57:57 +0000 2020,"You've brought the best and brightest, #SACNAS2020! Attendees: If you think #museums be your future career, stop by @KUnews booth tomorrow morning or email bernzen at ku dot edu to schedule a meeting outside of the conference. ❤️#BeAJayhawk 💙"
4,Thu Oct 22 16:16:08 +0000 2020,"#SACNAS2020 attendees, you've blown us away! If you're interested in pursuing Indigenous Studies in #GradSchool, please stop by @KUnews booth or email bernzen at ku dot edu to schedule a meeting outside of the conference. ❤️#BeAJayhawk 💙"
5,Wed Oct 21 12:23:28 +0000 2020,@KUnews AMERICA is a FREE SPEECH ZONE! as TAX Payer in Kansas I am ASHAMED of KU!
6,Tue Oct 20 16:02:32 +0000 2020,"RT @KUIndigenous: We're back at it again today, #SACNAS2020 attendees! Drop by the @KUnews booth today from 1 p.m.-3 p.m. CT to talk #Indig…"
7,Tue Oct 20 15:34:29 +0000 2020,"We're back at it again today, #SACNAS2020 attendees! Drop by the @KUnews booth today from 1 p.m.-3 p.m. CT to talk #IndigenousStudies. Or, email us at bernzen at ku dot edu to set up a separate time to chat. We can't wait to see you! #BeAJayhawk"
8,Tue Oct 20 15:33:35 +0000 2020,"We're back at it again today, #SACNAS2020 attendees! Drop by the @KUnews booth today from 1 p.m.-3 p.m. CT to talk MUSE. Or, email us at bernzen at ku dot edu to set up a separate time to chat. We can't wait to see you! #BeAJayhawk"
9,Mon Oct 19 15:55:53 +0000 2020,RT @KUMuseumStudies: #SACNAS2020 attendees: We can't wait to talk to you about the awesome careers awaiting you in natural science museums!…
10,Mon Oct 19 15:55:39 +0000 2020,"RT @KUIndigenous: #SACNAS2020 attendees: Looking for a flexible, interdisciplinary and student-focused master's program in Indigenous Studi…"
11,Mon Oct 19 13:34:52 +0000 2020,#SACNAS2020 attendees: We can't wait to talk to you about the awesome careers awaiting you in natural science museums! Come to @KUNews booth this week to chat or email us at bernzen at ku dot edu. #BeAJayhawk
12,Mon Oct 19 13:34:05 +0000 2020,"RT @KUIndigenous: #SACNAS2020 attendees: Looking for a flexible, interdisciplinary and student-focused master's program in Indigenous Studi…"
13,Mon Oct 19 13:31:43 +0000 2020,"#SACNAS2020 attendees: Looking for a flexible, interdisciplinary and student-focused master's program in Indigenous Studies? Then stop by the @KUnews booth this week to chat. We can't wait to meet you! #BeAJayhawk"
