,created_at,full_text
0,Mon Oct 26 15:45:12 +0000 2020,"@UKYGSC  @UKYcounseling @universityofky I keep getting emails about mental health awareness week. That's a good start, but as a graduate student at UK the thing that would help my mental health the most is getting paid a living wage."
1,Mon Oct 26 01:37:32 +0000 2020,@UKYpres @universityofky #VOTE regardless of your party affiliation. Times are critical and in need of all to weigh in.
2,Sun Oct 25 14:28:08 +0000 2020,"@UKBaseball @universityofky Yes, an incredibly beautiful campus!"
3,Sun Oct 25 02:00:11 +0000 2020,@MsMischief4 @UKCoachCalipari @UKYpres @universityofky @GovAndyBeshear Close it down now!!!
4,Sat Oct 24 21:29:07 +0000 2020,@MichaelRay6 @KentuckyCheer @UKFootball @UKAthletics @universityofky @SEC It’s common 🤣
5,Sat Oct 24 19:03:54 +0000 2020,@UKYpres @universityofky Does your vote not count if you don't post it on social media
6,Sat Oct 24 19:03:41 +0000 2020,"@MichaelRay6 @KentuckyCheer @UKFootball @UKAthletics @universityofky @SEC 💪🏼 thanks, Mike!"
7,Sat Oct 24 19:02:36 +0000 2020,@TanyaGutierrez5 @pulte @universityofky Can your engineering department help create a prosthetic?
8,Sat Oct 24 15:38:04 +0000 2020,@TJWalkerRadio @KySportsRadio @justthecatradio @RoushKSR @ryanlemond @DrewFranklinKSR @ShannonTheDude @universityofky @uiowa @UKMitchBarnhart @UKFootball @HawkeyeFootball gotta dream big right! #GoHawks #GoCats
9,Sat Oct 24 14:57:15 +0000 2020,@TheRealMelanson @universityofky I’m hoping he’ll give me an inside track on those rolls...
10,Sat Oct 24 02:46:02 +0000 2020,@requiredreadin @UCWKentucky @universityofky I don't really want to use the opiate of the masses metaphor here but I mean
11,Sat Oct 24 02:45:05 +0000 2020,"@lecagle @UCWKentucky @universityofky Yes thank you! My general antipathy towards institutions of many kinds is transcending what I can or want to put in my tweets, and this mental health awareness email was... But this is an important point!"
12,Sat Oct 24 01:45:21 +0000 2020,@AlessandraaBD @UCWKentucky @universityofky But you might get a free food or beverage coupon code!
13,Sat Oct 24 01:40:38 +0000 2020,"@AlessandraaBD @UCWKentucky @universityofky OneNote, if I may: The union is for all the UK workers, including grad students, staff, facilities, and faculty!"
14,Sat Oct 24 01:40:05 +0000 2020,@AlessandraaBD @UCWKentucky @universityofky Omggggff
15,Fri Oct 23 23:35:20 +0000 2020,RT @ukyiede: Our new podcast is live this morning! Navigating Difficult Conversations Around Racial Inequity on 'Behind the Blue' with Dr.…
16,Fri Oct 23 23:20:43 +0000 2020,@TheRealMelanson @UK_COP @UKStaffSenate @universityofky At least they didn’t let you have your lab back ;)
17,Fri Oct 23 19:53:19 +0000 2020,RT @ukyiede: Our new podcast is live this morning! Navigating Difficult Conversations Around Racial Inequity on 'Behind the Blue' with Dr.…
18,Fri Oct 23 18:24:51 +0000 2020,@WalkMontgomery @universityofky How sweet either way!
19,Fri Oct 23 16:26:48 +0000 2020,@marceilschmitt @GOPSenate @LibertyU @LibertyUAlum @NotreDame @BYU @BostonCollege @UAAlumniAssoc @UofAlabama @TheCrimsonWhite @IowaStateU @WDMCHAMBER @DMRegister @umontana @missoulian @kpaxnews @helenaironline @universityofky @Owensboro1937 Vote Blue!
20,Fri Oct 23 14:58:59 +0000 2020,RT @ukyiede: Our new podcast is live this morning! Navigating Difficult Conversations Around Racial Inequity on 'Behind the Blue' with Dr.…
21,Fri Oct 23 14:35:13 +0000 2020,RT @ukyiede: Our new podcast is live this morning! Navigating Difficult Conversations Around Racial Inequity on 'Behind the Blue' with Dr.…
22,Fri Oct 23 13:35:59 +0000 2020,Our new podcast is live this morning! Navigating Difficult Conversations Around Racial Inequity on 'Behind the Blue' with Dr. Nicole Martin and @Dr_RaeA. #inclusiveexcellence #ukyiede @UKCGPDI @UKWomensForum @CHET_UKY @UK_CARES @UKAgDiversity @universityofky
23,Fri Oct 23 01:00:47 +0000 2020,@laurencampbelle @universityofky @KyKernel Good get!!
24,Thu Oct 22 16:34:55 +0000 2020,@UKWRD @UKAdvisingConf @UKarts_sciences @universityofky wait I want to be a @UKWRD major again
25,Thu Oct 22 13:12:39 +0000 2020,@DrJayMiller1 @universityofky @KatieCardarelli @ErikaWendt @NASW_Kentucky @nasw @SJSworks @newsocialworker @socworkpodcast @OfficialMacroSW @karenzgoda @abbie_fran @Tasha_MSW @Travel_MSW @MacMunter @JoyAnnReid @chefjoseandres And why I developed a new model on the cycle of collective occupational trauma for my upcoming book. We must be attentive to this reality!
26,Thu Oct 22 10:30:37 +0000 2020,"@IC_Escobar @ukyengineering @universityofky @KY_NSF_EPSCoR Interesting work. No doubt, this project won. 😊"
27,Thu Oct 22 08:02:53 +0000 2020,Today's thank you goes out to a @universityofky for their awesome raid yesterday. Thank you for trusting us with your community I am very grateful.  🥰🥰🎩
28,Thu Oct 22 01:54:22 +0000 2020,just spelled “unnecessary” right on the first try. @universityofky where’s my full-ride
