,created_at,full_text
0,Mon Oct 26 19:04:43 +0000 2020,@NeonUpdatesHQ @ULLafayette Good Luck Everyone!
1,Mon Oct 26 19:00:44 +0000 2020,@NeonUpdatesHQ @JenkM8 @ULLafayette Let's goooo!
2,Mon Oct 26 19:00:19 +0000 2020,@NeonUpdatesHQ @ULLafayette Good luck lads!👀
3,Mon Oct 26 18:50:09 +0000 2020,"@xo_gh0st @ULLafayette Right?? Especially when every dollar she makes is from US, her students"
4,Mon Oct 26 18:33:12 +0000 2020,"@lilyjuulzivert @ULLafayette I don’t mind going back to school, but this teacher wanna put your life in jeopardy so she can get mad and storm out😂"
5,Mon Oct 26 18:26:44 +0000 2020,RT @lilyjuulzivert: Very difficult to learn anything in a class where my teacher walks out 7 minutes in. Why? Because someone walked in 7 m…
6,Mon Oct 26 18:23:44 +0000 2020,"Very difficult to learn anything in a class where my teacher walks out 7 minutes in. Why? Because someone walked in 7 minutes late. WE PAY YOUR SALARY MA’AM. @ULLafayette be more professional, especially if in- person classes are still being held."
7,Mon Oct 26 16:31:17 +0000 2020,So @ULLafayette shortened spring break but didn’t shorten the semester?? 🤷🏻‍♂️ What kind of trade off is that??
8,Mon Oct 26 15:28:51 +0000 2020,@elopezri @ULLafayette Thank you @elopezri!! It was a great experience and we learned a lot! #WCIIUL20 @ULLafayette
9,Mon Oct 26 14:28:01 +0000 2020,"@drridpath @ULLafayette I will never be the most famous alum of UL, Marshall, or Mercer nor will I ever win alumni awards, but I know how those schools prepared me can never be taken away"
10,Mon Oct 26 14:18:20 +0000 2020,@ChrisYandle @ULLafayette Three public school degrees for me and I say the same!
11,Mon Oct 26 14:05:35 +0000 2020,@mamoralesf @ULLafayette Really good threads! Your students did a great job.
12,Mon Oct 26 13:20:34 +0000 2020,@Yesthatgirl @anniefdowns @Macys @ULLafayette Oh wow! I knew I recognized you...that’s very very cool.
13,Mon Oct 26 13:16:51 +0000 2020,@anniefdowns @EdwardorEddie I actually marched in the @Macys Thanksgiving Day parade with the @ULLafayette Marching Band many years ago!
14,Mon Oct 26 11:35:22 +0000 2020,RT @mamoralesf: HIST 102 students @ULLafayette wrote Twitter threads for their second midterm. You can help us disseminate their work by sh…
15,Mon Oct 26 11:28:49 +0000 2020,RT @mamoralesf: HIST 102 students @ULLafayette wrote Twitter threads for their second midterm. You can help us disseminate their work by sh…
16,Sun Oct 25 19:36:15 +0000 2020,HIST 102 students @ULLafayette wrote Twitter threads for their second midterm. You can help us disseminate their work by sharing #WCIIUL20 or just liking what they did! Big kudos to my friend and colleague @elopezri for helping me put together this assignment #twitterhistorians
17,Sun Oct 25 13:22:31 +0000 2020,Why are some Trees on campus wrapped with yellow ribbon? @ULLafayette
18,Sun Oct 25 10:25:22 +0000 2020,Just up thinking when they go notice 99 a man @HailStateFB @ULLafayette @LATech
19,Sat Oct 24 15:36:12 +0000 2020,@JohannaMellis @DavidMora One of the positives of living in south Louisiana. My late grandfather was a horticulturist and planted a cluster of live oaks on @ULLafayette campus
20,Sat Oct 24 04:39:27 +0000 2020,RT @cynthia_walson: @nprfreshair @ericclaptonisgo @EricClaptonNews @KLFY @BBCScotland @scotgov @AstraZeneca @APFactCheck @dailymaverick @ma…
21,Sat Oct 24 04:39:19 +0000 2020,RT @cynthia_walson: @nprfreshair @ericclaptonisgo @EricClaptonNews @KLFY @BBCScotland @scotgov @AstraZeneca @APFactCheck @dailymaverick @ma…
