,created_at,full_text
0,Mon Oct 26 18:45:15 +0000 2020,"@uofl And unlike most of the experimental learning our new students do, you don’t have to deal with the morning after awkwardness"
1,Mon Oct 26 15:55:38 +0000 2020,@uofl @UofLAlum You’re trippin if you think that’s all it’ll take to get rid of the ghosts
2,Mon Oct 26 13:36:35 +0000 2020,@BrownJersey421 @kyoag @KYHouseGOP @KYSenateGOP @KYGOP @FEC The Universities &amp; prisons are contributing as well. I heard @uofl did mandatory testing last week so I'm sure he is going to dump them on us this week.
3,Mon Oct 26 12:06:34 +0000 2020,@king502ky @jackharlow @UofLBasketball @uofl “Going to keep using” my guy if you can find me two songs of his named after a basketball player I won’t think of you as a clown 🤡
4,Sun Oct 25 19:01:51 +0000 2020,"@NotHoodlum That what happens when you mess up creating a Horcrux. 

#BBN @BBN @WKYT @WYMT @uofl @eku @bereacollege 

#VoteHimOut #Vote"
5,Sun Oct 25 15:43:47 +0000 2020,"@uofl please give the class of 2020 a REAL commencement ceremony. We all worked incredibly hard. 3,4,5,6 years and our friends and family don’t get to see us walk. Reconsider your decision and show your appreciate and support for 2020 grads🤞🏽"
6,Sun Oct 25 01:31:47 +0000 2020,@DrBKellyPryor @LouisvilleUL @limebike @uofl The team did it all. Thank you for the support. ❤
7,Sat Oct 24 23:42:40 +0000 2020,@SadiqaReynolds @LouisvilleUL @limebike @uofl Such a testament to how partnerships and collaborations can heal communities! Thank you for all you and @LouisvilleUL are doing!!
8,Sat Oct 24 10:23:19 +0000 2020,@RogerAb25136661 @SocialSecurity @uofl @collegedemswa @UW I can be your sugar baby
9,Sat Oct 24 02:39:01 +0000 2020,@UofLAlum @uofl Were they fully unveiled today?
10,Sat Oct 24 01:44:25 +0000 2020,"@uofl hello! Is campus closed for elections? Have heard from some it is, and have heard from others it isn’t."
11,Sat Oct 24 01:30:56 +0000 2020,@uofl is campus closed for elections? Heard from some students it is but from other students it isn’t.
12,Fri Oct 23 23:37:18 +0000 2020,@UofLAlum @uofl @UofLPresNeeli Such wonderful alumni! Congratulations to all!
13,Fri Oct 23 23:14:59 +0000 2020,"got accepted into my dream school, @uofl !!!! #GoCards ❤️❤️❤️"
14,Fri Oct 23 20:01:32 +0000 2020,@shannon1_putman @WhoDat40047 @UofLPresNeeli @DrKrisWilliams @cpepres @LtGovColeman @JCPSSuper @UofL_EdLeader @uofl @JCPSKY @vreducation @thevrara @JCPSDigIn Excited!
15,Fri Oct 23 19:39:50 +0000 2020,"@asyaajoi @uofl @UofLPresNeeli @UofLSGA Absolutely, I’ll pass that along to admin and see if we can get better alerts sent out to prepare students. Thanks for bringing it to our attention."
16,Fri Oct 23 19:39:08 +0000 2020,@slcollins99 @uofl @UofLPresNeeli @UofLSGA I understand that but I wish there was a way to warn students..
17,Fri Oct 23 19:03:30 +0000 2020,"@asyaajoi @uofl @UofLPresNeeli @UofLSGA I really wish there was more the university could do, but this is considered free, protected speech by law 😕"
18,Fri Oct 23 18:25:22 +0000 2020,@deeayezhuh @uofl @UofLPresNeeli Apparently there’s nothing that can do because we’re a public university
19,Fri Oct 23 15:33:13 +0000 2020,@shannon1_putman @WhoDat40047 @UofLPresNeeli @deep_rifter @DrKrisWilliams @cpepres @LtGovColeman @JCPSSuper @UofL_EdLeader @uofl @JCPSKY @vreducation @thevrara @JCPSDigIn This is awesome Shannon!! Congrats!!!!
20,Fri Oct 23 15:31:14 +0000 2020,@abisfab_ @uofl I understand the stress of having to get the flu shot. I wasn’t meaning to seem like I was saying that it’s not odd that the university is doing that. I’m just saying it makes since from a virology perspective. I think it just shows theyll probably require COVID vax when it comes
21,Fri Oct 23 15:27:43 +0000 2020,@chalpelphrey @uofl That part
