,created_at,full_text
0,Mon Oct 26 18:05:44 +0000 2020,@roguedetection @UMaine @UConn @Cornell Thanks for sharing - especially during #NationalBatWeek
1,Mon Oct 26 15:30:47 +0000 2020,"@SDinPraxis @JacquelynGill @jacquelinelaine @HelenOC_FCDO @RebeccaCarrotte Thank you, indeed, @JacquelynGill! Lots of smart people at @UMaine (my dad worked there for years!)!"
2,Mon Oct 26 13:10:07 +0000 2020,@realDonaldTrump My son is coming home from @UMaine to personally cast his Trump vote!! 🇺🇸🇺🇸🇺🇸🇺🇸❤️💙❤️💙🙏🏻🙏🏻🙏🏻
3,Sun Oct 25 12:44:27 +0000 2020,"This week's college rep virtual visits includes: 
@Northeastern @UnionCollege @UMaine @Suffolk_U @CurryAdmission @CCUChanticleers @SaintJosephsME @UNewHaven  Visits scheduled for 3pm or 7pm - zoom links in Scoir."
4,Sun Oct 25 00:17:53 +0000 2020,@ab_bello_ @saadina91 @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Right! 🙃
5,Sun Oct 25 00:04:06 +0000 2020,"@Bready_Kreuger @sindhumanjesh @UMaine @MichaelSocolow Thank you, friend!"
6,Sun Oct 25 00:01:22 +0000 2020,@ninamahaleris @sindhumanjesh @UMaine @MichaelSocolow Proud of you buddy!!
7,Sat Oct 24 23:34:41 +0000 2020,@sindhumanjesh @UMaine @MichaelSocolow Thank you so much!
8,Sat Oct 24 23:29:13 +0000 2020,"#MainePressAssociation announced its annual journalism excellence awards tonight. @ninamahaleris, a star alumna of @UMaine rounded off the night with three awards. She just graduated last Spring. Our journalism is in good hands going forward. @MichaelSocolow Three Cheers Nina!"
9,Sat Oct 24 15:23:07 +0000 2020,@ab_bello_ @kwankah_taka @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Dey there lol
10,Sat Oct 24 15:22:49 +0000 2020,@ab_bello_ @kwankah_taka @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets *Figured
11,Sat Oct 24 15:22:48 +0000 2020,@saadina91 @kwankah_taka @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets He’s just tryna follow in your footsteps sir
12,Sat Oct 24 15:22:17 +0000 2020,"@ab_bello_ @kwankah_taka @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Haha , I thought I was the only who figures that out"
13,Sat Oct 24 15:21:55 +0000 2020,@kwankah_taka @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Lol you need help
14,Sat Oct 24 14:51:08 +0000 2020,@kwankah_taka @saadina91 @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Man wants to get married soon 😂😂
15,Sat Oct 24 14:26:25 +0000 2020,"@saadina91 @MeredithNiles1 @Zuby215 @NSF @UMaine @DoctorNarine @LHDnets Actually a good program. Yes I read and considered it! But I don’t 4 years to give like that. I’m sorry, I could have been a great PhD student 🙃"
16,Sat Oct 24 10:53:38 +0000 2020,"@LemRandall @gaulin_tyler @MaineIceHockey @BerwickBHKY That is SO COOL, Coach Randall! What a compliment to both @gaulin_tyler and @BerwickBHKY! (Spending a little time in the @NAHLHockey didn't hurt any, either. 😉)  #ColeGreeley and our family are looking forward to seeing him on the ice at @UMaine @MaineIceHockey.)"
17,Sat Oct 24 05:22:25 +0000 2020,"@MeredithNiles1 @NSF @UMaine @DoctorNarine @LHDnets Wonderful research areas....
@speakerengine"
18,Sat Oct 24 03:42:26 +0000 2020,@MeredithNiles1 @NSF @UMaine @DoctorNarine @LHDnets I am very interested.  Sent an email
