,created_at,full_text
0,Mon Oct 26 18:06:15 +0000 2020,@matbesancon @ILjubic @MarinaLealP @UMBaltimore The latter
1,Mon Oct 26 18:02:40 +0000 2020,@schmaidt @ILjubic @MarinaLealP @UMBaltimore Are they not convinced because of the more complex model or because it doesn't fit the modelling frameworks they are used to?
2,Mon Oct 26 18:00:36 +0000 2020,@ILjubic @MarinaLealP @UMBaltimore Thanks! I’m glad you liked it. Although the economists are not all convinced yet I really think that these problems should be studied!
3,Mon Oct 26 17:57:25 +0000 2020,"@MarinaLealP @schmaidt @UMBaltimore Very inspiring talk, thanks @schmaidt"
4,Mon Oct 26 17:36:46 +0000 2020,@MarinaLealP @UMBaltimore Thanks 🙏
5,Mon Oct 26 15:20:50 +0000 2020,"@ProfDipanjanPan @UMBaltimore @YouTube Thank you @ProfDipanjanPan. It is all because of your guidance, help and support."
6,Mon Oct 26 15:10:24 +0000 2020,@ProfDipanjanPan @MoitraParikshit @UMBaltimore @YouTube Congratulations @MoitraParikshit!
7,Sun Oct 25 15:21:33 +0000 2020,@Scientifica_Int @UMBaltimore Thanks for the update 👍 Team
8,Sun Oct 25 11:11:26 +0000 2020,@ILjubic @UMBaltimore I will ask Steve
9,Sun Oct 25 10:59:57 +0000 2020,"@schmaidt @UMBaltimore Yes, DM me the zoom link please, I want to share it with PhD students, merci !"
10,Sun Oct 25 03:48:52 +0000 2020,Take the next step! Learn about the exciting graduate degree programs offered at @UatShadyGrove by our academic partners @UMBC @umdglobalcampus @UMBaltimore @TowsonU @BowieState @UofMaryland
11,Sat Oct 24 14:40:46 +0000 2020,@JayPerman @UMBaltimore @MDBiz @UMmedschool @mdsocialwork @UMSOD_Dentistry @UMBC Such great news!
12,Fri Oct 23 20:10:04 +0000 2020,@promiseheights @CouncilPresBMS @UMBaltimore @SafeStreetsBalt @newshiloh_2100 @UMBSSWIDEA @UMB_CampusLife @UMBGradSchool Thank you for sharing @promiseheights!
13,Fri Oct 23 02:04:35 +0000 2020,@ashleemattingly @umsop @AACPharmacy @a4pcrx @pccarx @US_FDA @UMBaltimore @pharmacists Do you all get carpal tunnel syndrome? Those were all amazing. Get that guy some pork!
14,Fri Oct 23 01:31:32 +0000 2020,@ashleemattingly @umsop @AACPharmacy @a4pcrx @pccarx @US_FDA @UMBaltimore @pharmacists Nice job!
15,Fri Oct 23 00:37:45 +0000 2020,RT @DocRobPhD23: @SFreedenthal @JodiJFrey @DrAmandaMcGough @mfktherapy @UMBaltimore Would be interested to hear more about the course. We'v…
16,Fri Oct 23 00:35:56 +0000 2020,@SFreedenthal @JodiJFrey @DrAmandaMcGough @mfktherapy @UMBaltimore Would be interested to hear more about the course. We've recently revised my old course for a @WHO interprofessional education training format. So much work needed in that domain! #ElevateTheConvo
17,Fri Oct 23 00:28:50 +0000 2020,"RT @JodiJFrey: @SFreedenthal @DrAmandaMcGough @mfktherapy @UMBaltimore It is the best book - so user friendly for clinicians in ED, inpatie…"
18,Fri Oct 23 00:24:11 +0000 2020,"@SFreedenthal @DrAmandaMcGough @mfktherapy @UMBaltimore It is the best book - so user friendly for clinicians in ED, inpatient, outpatient and other settings - truly the best! #ElevateTheConvo"
19,Fri Oct 23 00:13:16 +0000 2020,"RT @SFreedenthal: @JodiJFrey @DrAmandaMcGough @mfktherapy @UMBaltimore I love hearing that, too, @JodiJFrey -- both that you use my book an…"
20,Fri Oct 23 00:12:43 +0000 2020,"@JodiJFrey @DrAmandaMcGough @mfktherapy @UMBaltimore I love hearing that, too, @JodiJFrey -- both that you use my book and that you teach a course for social workers and nurses on helping suicidal people.

#ElevateTheConvo"
21,Fri Oct 23 00:09:35 +0000 2020,"RT @JodiJFrey: @DrAmandaMcGough @mfktherapy @SFreedenthal Yes, I use it as required reading in a graduate course I teach for social workers…"
22,Fri Oct 23 00:09:30 +0000 2020,"RT @JodiJFrey: @DrAmandaMcGough @mfktherapy @SFreedenthal Yes, I use it as required reading in a graduate course I teach for social workers…"
23,Fri Oct 23 00:07:13 +0000 2020,"@DrAmandaMcGough @mfktherapy @SFreedenthal Yes, I use it as required reading in a graduate course I teach for social workers and nurses at @UMBaltimore #ElevateTheConvo"
24,Thu Oct 22 23:12:09 +0000 2020,@ashleemattingly @umsop @AACPharmacy @a4pcrx @pccarx @US_FDA @UMBaltimore @pharmacists These are AMAZING. Love it.
25,Thu Oct 22 22:30:02 +0000 2020,@tmpbrock @ashleemattingly @umsop @AACPharmacy @a4pcrx @pccarx @US_FDA @UMBaltimore @pharmacists @enna_zus @kcnomics A big congratulations for getting this off the ground - a stellar effort!
26,Thu Oct 22 22:22:54 +0000 2020,@ashleemattingly @umsop @AACPharmacy @a4pcrx @pccarx @US_FDA @UMBaltimore @pharmacists Big WOW! Thanks to you &amp; Esther for sharing. @JoeNicolazzo @enna_zus @kcnomics and I are clapping from Australia &amp; Malaysia!
27,Thu Oct 22 21:47:07 +0000 2020,"@RoyFilmDPT @UMBaltimore @DrBruceJarrell 😆😆
“Do you think the Maryland somethingorothers will go all the way this year??”"
28,Thu Oct 22 20:23:57 +0000 2020,"My university ranks 4th on Forbes list of top universities according to alumni rankings. If we had a mascot I'd yell ""Go somethingorothers!"" @UMBaltimore @DrBruceJarrell"
29,Thu Oct 22 19:28:15 +0000 2020,"@DrBruceJarrell @UMBaltimore So nice to see UMB is ranked 4th in an alumni survey along with Princeton, Yale, and MIT. Thank you Dr. Jarrell for all your hard work! as part of USGA, I really enjoyed working/interacting with you! Congratulations!!!"
30,Thu Oct 22 12:45:39 +0000 2020,@TheBaleLab @UMBaltimore Thank you!
31,Thu Oct 22 11:47:47 +0000 2020,@shivadas29 @PMJ_BMJ @bmj_latest @UMInternalMed @UW @UCLA @RutgersU @UNC @UMNews @UMBaltimore @MayoClinic @nyuniversity @gnioannou Thank you @shivadas29
32,Thu Oct 22 02:09:50 +0000 2020,@Dr_R_Walker @UMBaltimore Good luck on the grant!
33,Thu Oct 22 01:54:22 +0000 2020,@NajdatBazarbas1 @PMJ_BMJ @bmj_latest @UMInternalMed @UW @UCLA @RutgersU @UNC @UMNews @UMBaltimore @MayoClinic @nyuniversity @gnioannou Congrats!!
34,Tue Oct 20 18:31:18 +0000 2020,RT @ProfDipanjanPan: Kudos to my team @BIOENGatIL Grad student @Mahaalafeef @UMBC_CBEE Res fellow @DigheKetan and @UMBaltimore Res Scientis…
35,Tue Oct 20 18:08:25 +0000 2020,RT @ProfDipanjanPan: Kudos to my team @BIOENGatIL Grad student @Mahaalafeef @UMBC_CBEE Res fellow @DigheKetan and @UMBaltimore Res Scientis…
36,Tue Oct 20 17:48:34 +0000 2020,"Kudos to my team @BIOENGatIL Grad student @Mahaalafeef @UMBC_CBEE Res fellow @DigheKetan
 and @UMBaltimore Res Scientist @MoitraParikshit for their dedication in the lab!!! Thanks to @NIBIBgov for the funding support!!"
37,Tue Oct 20 17:45:17 +0000 2020,Kudos to my team @BIOENGatIL Grad student @Mahaalafeef @UMBC_CBEE Res fellow @DigheKetan and @UMBaltimore Res Scientist for their dedication in the lab!!! Thanks to @NIBIBgov for the funding support!!
38,Tue Oct 20 15:49:21 +0000 2020,RT @UMBaltimore: UMB Alert - ALL CLEAR: Officials have completed their investigation of the unknown package in Pharmacy Hall. No further ac…
39,Tue Oct 20 15:18:11 +0000 2020,@RadNucPhD @UMBaltimore Looking forward to good science and translational research.
40,Mon Oct 19 19:01:30 +0000 2020,"@kathleen_neuzil @UMCVD @UMBaltimore @UMmedschool @PreventTyphoid Congratulations Kathy!  You are an incredible scientist and leader and, congratulations on your induction into @theNAMedicine"
41,Mon Oct 19 15:17:57 +0000 2020,@DrBruceJarrell @UMBaltimore @kathleen_neuzil @UMCVD @UMmedschool @baltimoresun congratulations @kathleen_neuzil - you are such an inspiration on our campus!
42,Mon Oct 19 00:37:21 +0000 2020,RT @ProfDipanjanPan: Thanks @UMBC @UMBaltimore @KarlSteiner11 @keithjbowman and @UMBC_CBEE for all the help with the administrative process…
43,Mon Oct 19 00:36:42 +0000 2020,"@ProfDipanjanPan @UMBC @UMBaltimore @KarlSteiner11 @keithjbowman @UMBC_CBEE @BIOENGatIL @MoitraParikshit Thank you, Prof. Pan. All the credits go back to you."
44,Mon Oct 19 00:08:49 +0000 2020,@ProfDipanjanPan @UMBC @UMBaltimore @KarlSteiner11 @keithjbowman @UMBC_CBEE @BIOENGatIL @Mahaalafeef Many thanks to @ProfDipanjanPan for your eminent guidance which had helped us to achieve this.
45,Sun Oct 18 22:59:42 +0000 2020,"Thanks @UMBC @UMBaltimore @KarlSteiner11 @keithjbowman and @UMBC_CBEE for all the help with the administrative processing. 

Also big thanks to my @BIOENGatIL grad student @Mahaalafeef and @UMBaltimore res scientist @MoitraParikshit for their hard work!!"
46,Sat Oct 17 23:13:56 +0000 2020,It feels terrific to hear from an undergrad student of #UMScholars that our summer research project encouraged her to pursue further graduate education to study #biochemistry #GPCR #pharmacology #cancer @UMBaltimore @UMBGradSchool @UMmedschool
