,created_at,full_text
0,Mon Oct 26 18:53:05 +0000 2020,"In all seriousness, the lunar water news is a long-awaited confirmation for scientists.

“I’m very grateful that they did the work,"" says @UofMaryland's Jessica Sunshine, who was part of two teams that detected hints of water announced back in 2009."
1,Mon Oct 26 14:57:56 +0000 2020,@tiwarylab @nicoleyh11 @JointQuICS @JQInews @NIST @UofMaryland @umiacs Also Alexey Gorshkov + Chris Monroe! Must visit!!!
2,Mon Oct 26 14:37:53 +0000 2020,@StCharles_sga @StCharlesHS @UofMaryland What! Mr. Conley took a selfie?!👀 This has to be a first!🙌🏾
3,Mon Oct 26 14:21:08 +0000 2020,RT @veggieviola: @ABC7News @ABC7John @UofMaryland Just remember that @GovLarryHogan could have approved universal mail-in voting for #Maryl…
4,Mon Oct 26 14:21:01 +0000 2020,"@veggieviola @ABC7News @ABC7John @UofMaryland @GovLarryHogan But he can’t stop US!
Just look at the line at the Xfinity Center. Love it!!!
#VoteThemAllOut 
#VoteBlueDownBallot"
5,Mon Oct 26 14:11:29 +0000 2020,RT @Jrwriter1523: @veggieviola @ABC7News @ABC7John @UofMaryland @GovLarryHogan The mail in process was the same standard as absentee in Md.…
6,Mon Oct 26 13:29:56 +0000 2020,@imbenbeal @UofMaryland @UofMaryland this lofi legend deserves his piece of paper
7,Mon Oct 26 12:22:38 +0000 2020,RT @Jrwriter1523: @veggieviola @ABC7News @ABC7John @UofMaryland @GovLarryHogan The mail in process was the same standard as absentee in Md.…
8,Mon Oct 26 12:08:23 +0000 2020,"@veggieviola @ABC7News @ABC7John @UofMaryland @GovLarryHogan The mail in process was the same standard as absentee in Md. It was easy, safe and secure. There was no nightmare. Anybody could have done it."
9,Mon Oct 26 11:56:31 +0000 2020,"@shaunmmaguire @nicoleyh11 @JointQuICS @JQInews @NIST @UofMaryland @umiacs yes, you have double (or triple if we count Megan?) reasons to visit MD when life renormalizes, shaun"
10,Mon Oct 26 11:50:37 +0000 2020,"RT @morganweaver_: Early voting in Maryland starts today. In addition to locations in each county, local stadiums are being used to help wi…"
11,Mon Oct 26 11:36:54 +0000 2020,"Early voting in Maryland starts today. In addition to locations in each county, local stadiums are being used to help with social distancing, including the XFinity Center at the @UofMaryland and Oriole Park at Camden Yards in Baltimore. Wear a mask."
12,Mon Oct 26 11:32:36 +0000 2020,"@ABC7News @ABC7John @UofMaryland Just remember that @GovLarryHogan could have approved universal mail-in voting for #Maryland, as we did for the spring primaries, and he refused.#VoterSuppression #VoteEarly #VoteHimOut2020 #VoteThemAllOut #VoteBlueToEndThisNightmare #VoteBlueDownBallot #BidenHarris2020"
13,Mon Oct 26 04:29:51 +0000 2020,Honestly super amazing that campus WiFi @UofMaryland was down all Sunday while we're all supposed to be doing work virtually and the library is inaccessible!
14,Mon Oct 26 03:11:07 +0000 2020,@nicoleyh11 @JointQuICS @JQInews @NIST @UofMaryland @umiacs Congrats Nicole! It’ll be a lovely time for you!
15,Mon Oct 26 01:51:05 +0000 2020,"RT @imbenbeal: hey, @UofMaryland, send me my degree, its been literally 7 months."
16,Mon Oct 26 01:28:44 +0000 2020,"RT @imbenbeal: hey, @UofMaryland, send me my degree, its been literally 7 months."
17,Mon Oct 26 01:28:40 +0000 2020,@SPCEGNG @imbenbeal @UofMaryland We trynna keep it thumbsy. And publicly..
18,Mon Oct 26 01:21:41 +0000 2020,@imbenbeal @UofMaryland give my man his tangible before we get handsy
19,Mon Oct 26 01:18:18 +0000 2020,"hey, @UofMaryland, send me my degree, its been literally 7 months."
20,Mon Oct 26 00:13:17 +0000 2020,"@gravity_levity @JointQuICS @JQInews @NIST @UofMaryland @umiacs Thanks, Brian!"
21,Mon Oct 26 00:12:56 +0000 2020,@nicoleyh11 @JointQuICS @JQInews @NIST @UofMaryland @umiacs I hadn't heard the news. Congratulations!!
22,Sun Oct 25 23:40:30 +0000 2020,"I wonder when @UofMaryland and Darryl Pines are going to treat this university as a Top 10 college and get reliable WIFI for their students in a pandemic. 
Don’t worry guys we can still pay the school for the classes we can’t join when the wifi is down."
23,Sun Oct 25 22:17:18 +0000 2020,"There are many colleges that are ramping up their testing program to include that of asymptomatic people: @GeorgeMasonU is completing hundreds of random sampling tests of students per week. @UofMaryland is testing all students that arrive, &amp; targeted groups moving forward."
24,Sun Oct 25 19:44:16 +0000 2020,@CRNC @UofMaryland @MDFCRs @umdrepublicans #TrumpYachtBoys care nothing about Americans. It all about what is in it for them.
25,Sun Oct 25 13:50:04 +0000 2020,"Sigh...

I was a journalism major at @UofMaryland ...

I practically wrote my wedding vows by @APStylebook rules

And...still... I've stopped using periods in texts and on social media

No idea why but now I find myself actually deleting them

(Ellipses are ok apparently)"
26,Sun Oct 25 04:27:02 +0000 2020,@UofMaryland @TerpsFootball Messages are good—- people don’t listen until u win tho. Just sayin!
27,Sun Oct 25 04:04:38 +0000 2020,@UofMaryland How many likes for a pass/fail option?
28,Sun Oct 25 03:48:52 +0000 2020,Take the next step! Learn about the exciting graduate degree programs offered at @UatShadyGrove by our academic partners @UMBC @umdglobalcampus @UMBaltimore @TowsonU @BowieState @UofMaryland
29,Sun Oct 25 00:30:38 +0000 2020,"@_colm_ @UofMaryland That’s a great question! Based on our research, the youngest was Stephen Smith, who graduated in the ‘90s."
30,Sat Oct 24 14:31:42 +0000 2020,@UofMaryland @LaurelPark Please Allow pass/fail as an option for students. A petition has been gaining momentum with the request.
31,Sat Oct 24 00:30:56 +0000 2020,@aprodrig77 @President_Pines @UofMaryland I’m relieved to see these cuts/furloughs only apply to union members making over $150k per year and not our most vulnerable colleagues
32,Fri Oct 23 22:55:10 +0000 2020,@patlseed @UofMaryland @umterps Proud of my son. BFF
33,Fri Oct 23 19:53:42 +0000 2020,@UofMaryland Who was youngest?
34,Fri Oct 23 14:45:39 +0000 2020,@BlackJDPhD @Philip_W3 @PeraltaDesign @Ifesinachi_ @kdedner @Est96_SHLIM @smithcollege @UofMaryland Good uncle!
35,Fri Oct 23 14:40:28 +0000 2020,@Philip_W3 @PeraltaDesign @Ifesinachi_ @kdedner @Est96_SHLIM My two nieces--one who just graduated with her M.S.W. from @smithcollege and the other finishing her B.S. from @UofMaryland
36,Fri Oct 23 13:59:25 +0000 2020,@umterps @UofMaryland @TerpsFootball “Just Win Baby”
37,Fri Oct 23 12:32:46 +0000 2020,On the Big Bad Morning Show NOW: @UofMaryland Athletic Director Damon Evans joins the show ahead of tomorrow night’s @TerpsFootball season opener at Northwestern.
