,created_at,full_text
0,Mon Oct 26 17:48:34 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/28
@PitzerCollege-2:45p

10/29
@UMassAmherst-8:00a
@MarymountU-2:45p

Sign up on Naviance…"
1,Mon Oct 26 16:46:17 +0000 2020,@jeffphowe @mlocapo @UMassAmherst Fauci has nothing on Jeff Howe
2,Mon Oct 26 16:42:02 +0000 2020,@mlocapo @UMassAmherst Probably worried they can't afford me.
3,Mon Oct 26 16:41:06 +0000 2020,@jeffphowe I’m shocked that @UMassAmherst hasn’t had you speak at commencement yet.
4,Mon Oct 26 15:51:22 +0000 2020,RT @stevejfox: Many thanks to rock star @UMassJournalism alum @ByAlFrancisco for taking time out of her day to chat with #UmassSportsJourna…
5,Mon Oct 26 15:46:07 +0000 2020,Many thanks to rock star @UMassJournalism alum @ByAlFrancisco for taking time out of her day to chat with #UmassSportsJournalism students today! @NESN @SBS_UMass @UMassAmherst
6,Mon Oct 26 12:13:58 +0000 2020,@UMassWalker @UMassAmherst Amazing Rachel ....will be working but it looks like an amazing Lineup .... Break a keg ( not literally) :)
7,Mon Oct 26 01:21:02 +0000 2020,"RT @QOHSCounseling: College Visit this week:

10/28
@PitzerCollege-2:45p

10/29
@UMassAmherst-8:00a
@MarymountU-2:45p

Sign up on Naviance…"
8,Mon Oct 26 00:35:33 +0000 2020,"College Visit this week:

10/28
@PitzerCollege-2:45p

10/29
@UMassAmherst-8:00a
@MarymountU-2:45p

Sign up on Naviance

@Qohs2021 @Qohs2022 @QuinceOrchardHS @QOHSPrin_Thomas"
9,Mon Oct 26 00:23:43 +0000 2020,"""I also believe that higher education institutions have an obligation to show leadership on moral issues facing our society and, because of the impact on future generations, climate change is such an issue"" -Marty Meehan @UMass  @UMassAmherst @UMassBoston @UMassD"
10,Sun Oct 25 21:40:19 +0000 2020,Watching the @Patriots today reminds me of @UMassAmherst football
11,Sun Oct 25 13:51:49 +0000 2020,@Dan_Leibovitz_ btw.... your colleague Tiffany Daniels is my people— she was one of my BRILLIANT Woman classmate &amp; study partner at the #1 grad school in Sport Management @UMassAmherst :)
12,Sun Oct 25 13:50:23 +0000 2020,When I was an undergrad at @UMassAmherst I had the very great privilege of attending a seminar at @AmherstCollege where I heard Dr. Gerald Fink give a game-changing lecture on the importance of GMOs. (1/2)
13,Sun Oct 25 05:26:13 +0000 2020,@AJoulfayan @UUtah @UMassAmherst @MittRomney please save your state U from more scandal.
14,Sun Oct 25 05:21:40 +0000 2020,@JonsMarketingLA @UUtah @UMassAmherst @UUtah this is embarrassing
15,Sun Oct 25 03:25:00 +0000 2020,"@escapetosaturn @narmenian @UUtah @UMassAmherst @stop_armenian Awww thank you for your kind words. The Armenian Genocide isn’t propaganda you brainwashed freak but please, do go on. Also, the Armenian diaspora isn’t an organization, as an Armenian living in the diaspora, I’m automatically part of the Armenian diaspora"
16,Sun Oct 25 02:27:14 +0000 2020,"RT @rachel_spates: Many thanks to @NefWalker for presenting to the @AlumniUMass Board of Directors this morning on Diversity, Equality and…"
17,Sun Oct 25 02:20:35 +0000 2020,RT @anushiik_: @AJoulfayan @UUtah @UMassAmherst @UUtah Disgusting to see a university spread misinformation like so. The #ArmenianGenocide…
18,Sun Oct 25 02:20:26 +0000 2020,"RT @romela__azizyan: @AJoulfayan @sipandro @UUtah @UMassAmherst To add to this, I learned that years ago Armenian students of the Universit…"
19,Sun Oct 25 01:53:04 +0000 2020,RT @anushiik_: @AJoulfayan @UUtah @UMassAmherst @UUtah Disgusting to see a university spread misinformation like so. The #ArmenianGenocide…
20,Sun Oct 25 01:52:52 +0000 2020,RT @lilit_xo: @AJoulfayan @UUtah @UMassAmherst @UUtah @UMassAmherst You cannot teach revisionist history simply because the truth is not co…
21,Sun Oct 25 01:52:16 +0000 2020,"@AJoulfayan @UUtah @UMassAmherst Yup, I see now. Justin McCarthy...this goes way back to the 80s. Maybe you could find a reporter who could write an article about this and start putting on media pressure?"
22,Sun Oct 25 01:51:44 +0000 2020,"@narmenian @UUtah @UMassAmherst Correction, his name is Hakan Yavuz"
23,Sun Oct 25 01:49:33 +0000 2020,@narmenian @AJoulfayan @UUtah @UMassAmherst 2006 i believe says in the wiki
24,Sun Oct 25 01:46:04 +0000 2020,@AJoulfayan @UUtah @UMassAmherst nvm I see it says 2006. How do we go after these publishers and Universities?
25,Sun Oct 25 01:44:34 +0000 2020,@AJoulfayan @UUtah @UMassAmherst How recent are these published books?
26,Sun Oct 25 01:40:41 +0000 2020,@AJoulfayan @UUtah @UMassAmherst I smell protests
27,Sun Oct 25 00:55:41 +0000 2020,"RT @romela__azizyan: @AJoulfayan @sipandro @UUtah @UMassAmherst To add to this, I learned that years ago Armenian students of the Universit…"
28,Sun Oct 25 00:55:36 +0000 2020,RT @romela__azizyan: @AJoulfayan @sipandro @UUtah @UMassAmherst U of U’s political science department has genocide denial all over the plac…
29,Sun Oct 25 00:55:08 +0000 2020,"@AJoulfayan @sipandro @UUtah @UMassAmherst To add to this, I learned that years ago Armenian students of the University of Utah tried to shed light on this but the university ignored them."
30,Sun Oct 25 00:54:45 +0000 2020,"@AJoulfayan @sipandro @UUtah @UMassAmherst U of U’s political science department has genocide denial all over the place. When I learned about this a couple of days ago I was shocked. A university, in a state which has recognized the Armenian Genocide and has welcomed it’s Armenian Community, is denying the genocide."
31,Sun Oct 25 00:53:10 +0000 2020,@AJoulfayan @sipandro @UUtah @UMassAmherst WTF. How can they be allowed to call themselves a university 🤦🏻‍♀️
32,Sun Oct 25 00:52:01 +0000 2020,"@UMassAfroAm ❤️ Always! An incredible few days of reflection and visualization, and throughout the program, the past, present, and future brilliance of #UMassAfroAm was on display.  - 50yrs of #BlackStudies @UMassAmherst."
33,Sun Oct 25 00:47:18 +0000 2020,RT @anushiik_: @AJoulfayan @UUtah @UMassAmherst @UUtah Disgusting to see a university spread misinformation like so. The #ArmenianGenocide…
34,Sun Oct 25 00:45:29 +0000 2020,@AJoulfayan @UUtah @UMassAmherst @UUtah Disgusting to see a university spread misinformation like so. The #ArmenianGenocide happened in 1915 and it is NOW on it’s way to happen AGAIN in 2020. #SanctionTurkey #1915NeverAgain #StopErdogan
35,Sun Oct 25 00:40:04 +0000 2020,RT @zzbreezyy: @AJoulfayan @UUtah @UMassAmherst @UUtah what is this?!?!?!
36,Sun Oct 25 00:37:36 +0000 2020,@AJoulfayan @UUtah @UMassAmherst @UUtah what is this?!?!?!
37,Sun Oct 25 00:05:51 +0000 2020,RT @lilit_xo: @AJoulfayan @UUtah @UMassAmherst @UUtah @UMassAmherst You cannot teach revisionist history simply because the truth is not co…
38,Sun Oct 25 00:05:36 +0000 2020,@AJoulfayan @UUtah @UMassAmherst @UUtah @UMassAmherst You cannot teach revisionist history simply because the truth is not convenient. Fabricating history and spreading false narratives is exactly why the Armenian people are facing genocide again today. This is disgusting.
39,Sat Oct 24 23:56:49 +0000 2020,@ianmnoone @boonerang @UMassAmherst when alma doesn't mater
40,Sat Oct 24 22:46:28 +0000 2020,@Megston8 @CNS_UMass @UMassAmherst @UMassBMB If you don’t have to deal with the leaves in your backyard.....yes
41,Sat Oct 24 21:22:05 +0000 2020,"@mccormack_kerry @UMassAmherst Sure! Apple picking at UMass Cold Spring Orchard in Belchertown, Quabbin Reservoir, Mike’s Maze in Sunderland. And the beautiful UMass campus, of course 😊"
42,Sat Oct 24 21:04:28 +0000 2020,@DebTobar @UMassAmherst Do you mind me asking where in Amherst you are. My daughter attends and looking to check out where you visited. So beautiful!
43,Sat Oct 24 19:49:58 +0000 2020,@Eddie_B_cool @UMassAmherst You know it!
