,created_at,full_text
0,Mon Oct 26 00:23:43 +0000 2020,"""I also believe that higher education institutions have an obligation to show leadership on moral issues facing our society and, because of the impact on future generations, climate change is such an issue"" -Marty Meehan @UMass  @UMassAmherst @UMassBoston @UMassD"
1,Sun Oct 25 16:09:11 +0000 2020,"@lornariveraphd @liz_roemer @UMassBoston I'd love to share this widely - do you happen to have more info that is not on Linked In? I'm not a member, so I can't see the details for the posting :("
2,Sat Oct 24 16:51:18 +0000 2020,sent first three EA applications to @FordhamNYC @UMassBoston @FairfieldU 😀😀
3,Sat Oct 24 05:08:19 +0000 2020,@UMassBoston the recording of one of your psychology teachers is extremely alarming. I hope it is addressed immediately without a biased view. The classroom is not a place to pass along your political view points. Especially without factual data and no relevant content.
4,Fri Oct 23 18:10:33 +0000 2020,"@cehumphries @alanwiig @UMassBoston Thanks for confirming Courtney (and we subsequently DID find your email - apologies for the multiple messages!). Cheers, UC Press Publicity"
5,Fri Oct 23 17:57:17 +0000 2020,"@ucpress Thanks, I have it! @alanwiig and I are using it in a class this semester at @UMassBoston, Social Justice and the City. A really useful perspective on familiar sites in the Boston area."
6,Fri Oct 23 16:15:40 +0000 2020,"(2/2) Congratulations to the organizations receiving grants, and thank you all for your important work! @MAssCreative, @BFITinvolved, @bhccboston, @NorthernEssex, @SeeRCC, @UMassBoston, @BECMAinc, @SkillWorks_MA, @EmeraldCities, @eforallhq, @icicorg (...)"
7,Thu Oct 22 14:39:50 +0000 2020,"We’re making opportunities happen at @UMassBoston with the deployment of solar + storage and EV charging stations at their campus, fostering sustainability, efficiency, and grid resiliency. #EnelX"
8,Thu Oct 22 14:03:58 +0000 2020,@nurse_waddell @JonasImpact @jadvnursing @UMassBoston @GwPolicy This is fantastic—will be using this in my class in the future!
9,Thu Oct 22 12:13:39 +0000 2020,@marty_walsh @PruCenter @HelloGreenway @UMassBoston No one can pander and virtue signal like you Baby Huey 🤡
10,Thu Oct 22 04:34:54 +0000 2020,"RT @jmlarkin: Now it goes to Lorna Rivera of @UMassBoston and @GastonInstitute. Rivera says ""many of us received hundreds of emails in oppo…"
11,Thu Oct 22 04:33:11 +0000 2020,"RT @jmlarkin: Now it goes to Lorna Rivera of @UMassBoston and @GastonInstitute. Rivera says ""many of us received hundreds of emails in oppo…"
12,Thu Oct 22 04:32:12 +0000 2020,"RT @jmlarkin: Now it goes to Lorna Rivera of @UMassBoston and @GastonInstitute. Rivera says ""many of us received hundreds of emails in oppo…"
13,Thu Oct 22 04:31:25 +0000 2020,"Now it goes to Lorna Rivera of @UMassBoston and @GastonInstitute. Rivera says ""many of us received hundreds of emails in opposition,"" along with many in support. 

She read many of those emails — often coming from West Roxbury/Charlestown — as ""disturbing racialized discourse."""
14,Wed Oct 21 22:50:36 +0000 2020,@AtomicZest @jebyrnes @UMassBoston When did you get your phd? 🧐
15,Wed Oct 21 20:32:24 +0000 2020,"A @UMassBoston @AARPMA report from Sept. 2020 on building social connections in  community suggests having students ride with seniors. The intergenerational community is one of the things we love about Lexpress! (But, keep those #facemasks on!)"
16,Wed Oct 21 20:10:03 +0000 2020,RT @EdVestors: Excited to partner w/ @BostonSchools @BHCCBoston @UMassBoston @BostonPIC @bostonfdn @OWDBoston + @MassEducation to provide m…
17,Wed Oct 21 20:04:19 +0000 2020,"@Consortium_GSHR @UMassBoston Amazing! It was an extraordinary symposium, congratulations and thank you so much for organising it"
18,Wed Oct 21 17:18:48 +0000 2020,"@jebyrnes @UMassBoston If I could do this job remotely, hmmm"
19,Wed Oct 21 17:11:18 +0000 2020,RT @EdVestors: Excited to partner w/ @BostonSchools @BHCCBoston @UMassBoston @BostonPIC @bostonfdn @OWDBoston + @MassEducation to provide m…
20,Wed Oct 21 11:04:29 +0000 2020,@PhilipCarver @juliaforboston @Kim_Janey @BOSCityCouncil @BostonSchools @UMassBoston Thank you Phil
