,created_at,full_text
0,Mon Oct 26 18:19:36 +0000 2020,"RT @thefaylab: Happy Monday! Our newest lab member is Olivia Aguiar @viaaguiar, a junior undergraduate student at @UMassD. Olivia is workin…"
1,Mon Oct 26 17:14:41 +0000 2020,"Happy Monday! Our newest lab member is Olivia Aguiar @viaaguiar, a junior undergraduate student at @UMassD. Olivia is working on a seafood systems project in collaboration with @EatingEcosystem and the lab. So excited to have you join the team Olivia! 🐟🦞🍴"
2,Mon Oct 26 00:23:43 +0000 2020,"""I also believe that higher education institutions have an obligation to show leadership on moral issues facing our society and, because of the impact on future generations, climate change is such an issue"" -Marty Meehan @UMass  @UMassAmherst @UMassBoston @UMassD"
3,Sat Oct 24 13:30:07 +0000 2020,@martin_manson3 @FocusMilledge @PlattPantherFB @UMassDAthletics @CorsairFootball @UMassD Coach just sent you a DM! Always looking for great student athletes.
4,Sat Oct 24 12:20:26 +0000 2020,@UMASSDCoachMcC @FocusMilledge @PlattPantherFB @UMassDAthletics @CorsairFootball @UMassD Coach I have a few guys for you to check out.
5,Sat Oct 24 11:19:58 +0000 2020,@PlattPantherFB @UMassDAthletics @CorsairFootball @UMassD Coach thank you for having me! Lots of great prospects! Very very well done safety protocols and great football product on the field.
6,Sat Oct 24 02:55:12 +0000 2020,@UMASSDCoachMcC @UMassDAthletics @CorsairFootball @UMassD Thank you for coming to see our guys play in the Independent League #thewestsiders
7,Fri Oct 23 23:38:23 +0000 2020,@UMassDAthletics @UMassD @UMassD_Alumni @SC_Varsity @LittleEastConf @CoSIDAnews @NCAADIII Another old friend gone too soon.
8,Thu Oct 22 13:11:00 +0000 2020,"@reillyadam @skoczela @slnoonanj @UMassD @JenniferNassour @GBHNews this was a great story, but I wish the candidates you mention would tell us why they’ve gone that route rather than following Baker’s lead"
9,Wed Oct 21 21:40:21 +0000 2020,@UMassD @tammylsilva @gavin_fay @UMassD_SMAST Congratulations!!
10,Wed Oct 21 17:46:42 +0000 2020,"@PrezBristol @BristolCC @CONNECTSEMASS @BridgeStateU @UMassD @MMAAdmissions @CapeCodComCol @MassasoitTweets Excellent, Laura. Great stuff."
11,Tue Oct 20 20:12:45 +0000 2020,@UMassDAthletics @CorsairFootball @mascacsports @UMassD @UMassD_Alumni @d3football @D3FBHuddle I miss this sport more than anything and i miss my coaches too
