,created_at,full_text
0,Mon Oct 26 16:24:54 +0000 2020,"RT @EH_4_ALL: ""A racial justice priority is necessary to accomplish a just and healthy #COVID19 recovery and build the foundation for healt…"
1,Mon Oct 26 15:41:15 +0000 2020,"RT @EH_4_ALL: ""A racial justice priority is necessary to accomplish a just and healthy #COVID19 recovery and build the foundation for healt…"
2,Mon Oct 26 15:38:51 +0000 2020,"""A racial justice priority is necessary to accomplish a just and healthy #COVID19 recovery and build the foundation for healthy living in the decades to come"" says Craig Slatin of @UMassLowell
#APHA2020"
3,Mon Oct 26 11:30:11 +0000 2020,"@980wcap @UMassLowell @bkhumberd Man that would be great if they brought it back with original Michael, Dwight and Jim. Pam and Kelly were funny too for all you feminists. I can’t wait to hear about the future of the office."
4,Mon Oct 26 11:06:22 +0000 2020,"RT @980wcap: On-air now: @UMassLowell Business Prof. @bkhumberd discussing the pandemic's effects on work and family, plus the future of th…"
5,Mon Oct 26 11:05:08 +0000 2020,"On-air now: @UMassLowell Business Prof. @bkhumberd discussing the pandemic's effects on work and family, plus the future of the office"
6,Sun Oct 25 11:12:29 +0000 2020,@mv_magazine @UMassLowell Go @RepLoriTrahan Go! When she’s not working on help with federal funding she’s walking the walk for local projects like the @MethuenYouth Center and personally contributing to local causes. Thanks for your generous support of our youth Lori! 💕💯
7,Sat Oct 24 21:50:37 +0000 2020,"@UMass @UMassLowell CUSTOMER SERVICE AND PAYROLL CLERK POSITION
URGENTLY NEEDED!!
Company Name : Merrill Llynch
Pay $50per hour
Temporary and Permanent Positions Available.
No Experience Needed!
We Train
Bonuses
Paid Weekly via Direct Deposit
Message me formoreinfo @CityOfBoston @UMass @CityBrockton"
8,Fri Oct 23 19:16:33 +0000 2020,@petrelharp I’m currently watching a talk for univ in Massachusetts (@UMassLowell ) by Irene Salinas about lungfish immunology. Ability to see a seminar at other places and invite people from very far away is nice!
9,Fri Oct 23 19:12:55 +0000 2020,"RT @thelilynews: @mayasugarman We spoke with six women experts: @EmoryUniversity's @AndraGillespie, @UMassLowell's @MonaKleinberg, @Brennan…"
10,Fri Oct 23 16:09:44 +0000 2020,"@mayasugarman We spoke with six women experts: @EmoryUniversity's @AndraGillespie, @UMassLowell's @MonaKleinberg, @BrennanCenter's @jekavanagh, @TuftsUniversity's  @NooryaWaqaas and @ADL's Sherasa Thomas."
11,Thu Oct 22 19:41:35 +0000 2020,@JohnCluverius @UMassLowell Can you ask “who stands like an actual person?” Thanks I look forward to seeing the results
