,created_at,full_text
0,Mon Oct 26 18:30:39 +0000 2020,@UMassMedical @MohonaGupta00 @GSBS_UMassMed @KhannaLab Love this Mohana!  Good luck with your thesis research! 😁💚🌻🍀
1,Mon Oct 26 18:07:58 +0000 2020,"@m_simonephd @UMassMedical @GSBS_UMassMed @NIH @arielbeccia Congratulations, @arielbeccia!!!"
2,Mon Oct 26 14:13:47 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Congratulations @arielbeccia you are KILLING IT!
3,Mon Oct 26 13:32:26 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Congratulations!!!
4,Mon Oct 26 13:13:51 +0000 2020,"@sumanambwani @UMassMedical @GSBS_UMassMed @NIH thank you Suman, and thank you so much for your support and help on the proposal! 😊"
5,Mon Oct 26 12:53:18 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Brilliant news @arielbeccia! Congratulations 🙌🏼
6,Mon Oct 26 11:52:20 +0000 2020,"@UMassMedical @GSBS_UMassMed @NIH YES, YOU GO GIRL THIS IS AMAZING!!!"
7,Mon Oct 26 11:48:24 +0000 2020,@LianFolger @UMassMedical @GSBS_UMassMed @NIH ah thank you Lian!! 💖
8,Mon Oct 26 03:07:44 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH So needed- congrats @arielbeccia &amp; thank you for spearheading this work! Love the public health &amp; ED intersection!
9,Mon Oct 26 03:03:25 +0000 2020,@m_simonephd @UMassMedical @GSBS_UMassMed @NIH thanks Melissa that’s so kind!! 😊😊
10,Mon Oct 26 03:00:03 +0000 2020,@snf1982 @UMassMedical HURRAY!!!
11,Mon Oct 26 02:49:37 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Amazing news!!! Congrats @arielbeccia ! That’s such fantastic news for both the field and you!!!
12,Mon Oct 26 01:26:04 +0000 2020,@sarah_lipson @UMassMedical @GSBS_UMassMed @NIH aw thank you Sarah!! 🥰
13,Mon Oct 26 00:58:33 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Such big congrats!!! So inspired! 🎉🎉🎉
14,Sun Oct 25 23:59:06 +0000 2020,@v_hazzard_ @UMassMedical @GSBS_UMassMed @NIH thank you so much Vivienne! ☺️
15,Sun Oct 25 21:50:33 +0000 2020,@UMassMedical @GSBS_UMassMed @NIH Amazing!! Congrats @arielbeccia!!! 👏👏👏
16,Sun Oct 25 16:55:46 +0000 2020,@terrierpaq @UMassMedical @GSBS_UMassMed @NIH thank you so much!! ☺️
17,Sun Oct 25 15:17:07 +0000 2020,@UMassMedical @NIH_CommonFund @job_dekker @PaulDKaufman1 Congratulations to you both!
18,Sun Oct 25 05:09:21 +0000 2020,@ASPCardio @ACCinTouch @CardioSmart @esprevmed @ESCardioNews @BrighamWomens @hopkinsheart @UMassMedical @AmericanHeartFL @GoHealio How to access the course?? I have registered already. Not able to get through the course.
