,created_at,full_text
0,Mon Oct 26 18:13:00 +0000 2020,"Mike Skirius defended his doctoral thesis this fall and will earn his Ph.D. from the University of Memphis, James Callicott earned his Ed.D. from @GonzagaU, and teachers Silas Njoroge and Dennis Dickerson both received their doctorates of education from @uofmemphis. Congrats!"
1,Mon Oct 26 17:39:03 +0000 2020,Congratulations to Emily Foshee on her acceptance to the University of Memphis @uofmemphis
2,Mon Oct 26 15:21:35 +0000 2020,@lashondahulbert @uofmemphis @NCRMuseum @APHAAnnualMtg Oooo I've been looking for a laptop holder like yours! Would you mind dropping the link? 😍😍
3,Sun Oct 25 22:54:21 +0000 2020,"@dianafortn @uofmemphis Lemme crush small biko😍

She will be more beautiful when arguing critically 😄"
4,Sun Oct 25 17:12:21 +0000 2020,@kennden_ @uofmemphis I didn’t expect it to look that nice 👀
5,Sun Oct 25 05:02:01 +0000 2020,@collinsm8 @MemphisFB @espn @uofmemphis Twins
6,Sat Oct 24 21:52:43 +0000 2020,@uofmemphis @kennden_  you go here right?
7,Sat Oct 24 21:51:19 +0000 2020,"@uofmemphis From a former Mr. University of Memphis, cherish this moment and celebrate Ms. University of Memphis.  Undoubtedly, she will grow to be an amazing woman!"
8,Sat Oct 24 16:50:59 +0000 2020,This QB needs to be benched @uofmemphis
9,Sat Oct 24 02:53:09 +0000 2020,This semester won. I really hope y’all are happy @UofMemphisPres @uofmemphis
10,Fri Oct 23 21:13:19 +0000 2020,hey @uofmemphis how are we supposed to do ONLINE class when the WIFI literally is not working???
11,Fri Oct 23 17:44:21 +0000 2020,@MayorMemphis @CityOfMemphis @uofmemphis Incredible opportunity in Memphis to open you to endless places you can go.  @FedEx is an amazing company that allows you to succeed as you wish!
12,Thu Oct 22 17:30:46 +0000 2020,"Tigers, Head over to @SGA_UofM to cast your vote to see who will take home the crown this Saturday for the finale of #TigersHOMEcoming2020 💙🎉"
13,Wed Oct 21 21:22:52 +0000 2020,"@ba11sacks @uofmemphis @MemphisAlumni Thank you! It’s not fair, especially over $1,000. When I’ve given almost $85,000 in loans for undergrad and graduate school to them."
14,Wed Oct 21 21:15:04 +0000 2020,@tressie_kidd @uofmemphis @MemphisAlumni that’s insane wtf. i’m so sorry and i hope everything works out in your favor. xx
15,Wed Oct 21 21:04:57 +0000 2020,My alma mater is literally suing me bc I had to drop out in 2018 due to medical issues.... not cool. @uofmemphis @MemphisAlumni
16,Wed Oct 21 21:03:48 +0000 2020,@JenniferMandel @uofmemphis Mammoth Russian?
17,Wed Oct 21 20:22:33 +0000 2020,@JenniferMandel @uofmemphis Huge and beautiful!
18,Wed Oct 21 15:47:14 +0000 2020,@DustinStarr @uofmemphis And tomorrow you are one step closer to earning your AF badge...
19,Wed Oct 21 15:35:23 +0000 2020,"9 years ago today, I did my first PA gig. It was for the @uofmemphis Hockey team.🎙"
20,Wed Oct 21 05:28:01 +0000 2020,@sydniandersonn @uofmemphis So proud of my sweet girl!
21,Wed Oct 21 05:27:44 +0000 2020,@Seanblack22 @sydniandersonn @uofmemphis So proud of you Sean!
22,Tue Oct 20 19:14:01 +0000 2020,@raesevirts @uofmemphis I seent you in there!
23,Tue Oct 20 19:12:05 +0000 2020,I miss eating at Grillworks at @uofmemphis back in the day...good times
24,Tue Oct 20 19:07:56 +0000 2020,@Seanblack22 @lladyk1126 @uofmemphis so proud of you both
25,Tue Oct 20 19:02:55 +0000 2020,@sydniandersonn @lladyk1126 @uofmemphis so proud of you both
26,Tue Oct 20 17:08:02 +0000 2020,@uofmschools @uofmemphis Such good work. Thank you
27,Mon Oct 19 17:48:15 +0000 2020,Can we start putting Belltower Coffehouse on Tiger Funds? @BellTowerCoffee @uofmemphis
28,Mon Oct 19 00:23:26 +0000 2020,@BossyBlonde24 @uofmemphis @SouthernMiss @forgttn_tomorrw Eeek! Thank you for sharing this with me! I am so proud of her!! She is already doing big things. I can’t wait to see what else she accomplishes! She is one of a kind &amp; I am honored to have been her teacher.
29,Sun Oct 18 19:17:29 +0000 2020,"@uofmemphis research is going onboard the @Space_Station! Physics Professor Dr. Firouzeh Sabri's study “Impact of Radiation and Extreme
Temperature on the Excitation/Emission of Thermographic Phosphor Composites” was selected for the next available launch. #spacetigers"
30,Sun Oct 18 00:40:58 +0000 2020,It’s a good day to be a Memphis Tiger!!! I’m still in shock!!! 1 point difference!! WOW!! @uofmemphis @uofmemphis 💙💙🐯🐯
31,Sun Oct 18 00:33:10 +0000 2020,"The Memphis Tigers football team @MemphisFB prevail 50-49 over UCF. @RSilverfield @MemphisAlumni I am one happy alumnus tonight, I am proud that the team stuck to what they believed in.  A huge win!!!!!  Congrats!!!!  @uofmemphis @UofMemphisPres"
32,Sun Oct 18 00:24:12 +0000 2020,@uofmemphis Where The Virtual After Parties‼️‼️‼️THEY DESERVE IT🏈💪🏾
33,Sat Oct 17 23:52:03 +0000 2020,"MY THROAT IS ON FIRE!!!!! WHAT A GAME!!!!!!!!!!

GO TIGERS GO!!!!!!!!!!!!! 💙💙💙💙💙💙💙💙💙🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯🐯 @uofmemphis @MemphisFB"
34,Sat Oct 17 23:08:21 +0000 2020,"@uofmemphis this team sucks, defense terrible"
35,Sat Oct 17 19:49:35 +0000 2020,Ugh. I can already tell watching @MemphisFB @uofmemphis will have my blood boiling
