,created_at,full_text
0,Mon Oct 26 19:09:44 +0000 2020,RT @RebeccaMeltzer_: My sister @alex_meltzer6 was moved to another dorm in isolation for 14d quarantine after being contact traced from a C…
1,Mon Oct 26 19:03:08 +0000 2020,"@CanesCartel @CanesFootball @adidasFballUS Love the unis, hate the false empowerment. Have black @univmiami uniforms ever been worn by a winning team?"
2,Mon Oct 26 18:28:59 +0000 2020,@sesiegler @univmiami @GinaDAmatoMD1 Thank you!
3,Mon Oct 26 18:17:24 +0000 2020,RT @RebeccaMeltzer_: My sister @alex_meltzer6 was moved to another dorm in isolation for 14d quarantine after being contact traced from a C…
4,Mon Oct 26 18:05:26 +0000 2020,My sister @alex_meltzer6 was moved to another dorm in isolation for 14d quarantine after being contact traced from a COVID+ friend. All while @VP risks exposing the whole senate because his presence is “essential.” Props to @univmiami for doing what the government refuses to do.
5,Mon Oct 26 18:03:16 +0000 2020,RT @sesiegler: @JTrentMDPhD @univmiami @GinaDAmatoMD1 That’s a cute idea.
6,Mon Oct 26 17:56:43 +0000 2020,@JTrentMDPhD @univmiami @GinaDAmatoMD1 LMK when you start drunk trivia.
7,Mon Oct 26 17:55:36 +0000 2020,@JTrentMDPhD @univmiami @GinaDAmatoMD1 That’s a cute idea.
8,Mon Oct 26 17:53:21 +0000 2020,"The Woman’s Cancer Association of 
@univmiami and @GinaDAmatoMD1 are hosting weekly Zoom Bingo games to financially assist patients with #sarcoma #GIST. Please join us this Wednesday Oct 28 at 7pm EST. All funds will go to #Sarcoma patients in need."
9,Mon Oct 26 13:35:50 +0000 2020,@UM_alumni @univmiami Talk about a GLOW UP 😅
10,Mon Oct 26 08:35:34 +0000 2020,"@NewsMedical @univmiami @biorxivpreprint New molecules, though.  Approval delays."
11,Mon Oct 26 03:20:04 +0000 2020,@ETashbib @univmiami Thanks I will have a look soon!
12,Sun Oct 25 23:26:03 +0000 2020,@DrHubaEvaluator I didn’t know that the other FL schools @floridastate &amp; @UF offered those degrees?...I stand corrected! Thanks for the clarification @MarkMeadows ..I did my cardiac training at @univmiami and I know they don’t offer that in any curriculum
13,Sun Oct 25 21:19:48 +0000 2020,"@univmiami ""NO ONE WOULD CARE IF THEY GOT KILLED OR NOT"" #umiami"
14,Sun Oct 25 14:37:55 +0000 2020,"RT @philtalkradio: @randyvera @BritHereNow @univmiami Thanks, @randyvera! The episode is available for you to listen to right now! Let us k…"
15,Sun Oct 25 03:21:37 +0000 2020,Go Canes. @univmiami
16,Sun Oct 25 03:03:42 +0000 2020,I wish I worked for @univmiami @CanesFootball
