,created_at,full_text
0,Mon Oct 26 19:13:27 +0000 2020,"@page17llc @JustJuancho_ @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich The people themselves do the sidelining: Fran Drescher in ""The Nanny"" spoke of ""throwing a bris."" It's a natural trend. ""Where a ceremony includes food, the food takes over.""  It happened with Christmas and Easter and probably Thanksgiving."
1,Mon Oct 26 18:32:31 +0000 2020,"I know everyone's talking about the moon (and that's awesome!). Still, today a researcher @UMich showed why some of the most popular solutions to fight single-use plastics are not that great. 

5 myths, debunked.

Here's a summary 🧵

#Sustainability #plasticpollution"
2,Mon Oct 26 18:02:38 +0000 2020,@BombshellDAILY @UMich @dananessel Send them to prison. Please.
3,Mon Oct 26 17:51:47 +0000 2020,"@rebeccacademy @UMich I see a far higher mask to non-mask ratio on the diag than anywhere past State. 

I think the @Umich students are doing a great job. We should give credit where it is due."
4,Mon Oct 26 17:39:01 +0000 2020,@DrHowardLiu @Sciconoclast It was only a few years ago @UMich  that patients who lived hours away were required to come in person to get routine Rx Refills. Disruption can make things better. But permanent improvements will require payment policy shifts .
5,Mon Oct 26 17:29:40 +0000 2020,"@page17llc @intactive @JustJuancho_ @amyalkon @dkingpower7 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich Mixing this subject with the Holocaust is an incredible lack of respect to the victims of Nazi's atrocities.
As a Jew, you should be ashamed of insinuating such paralels."
6,Mon Oct 26 17:28:39 +0000 2020,"@page17llc @intactive @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich And in fact, many practicing Jews have already evolved their tradition for better, choosing instead Brit Shalom, a peaceful alternative, and letting them decide if they want to circumcise when they're adults."
7,Mon Oct 26 17:25:54 +0000 2020,"@page17llc @intactive @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich But you see, we're not trying to stop your tradition. You can keep your tradition if you want, just not on babies/minors."
8,Mon Oct 26 17:20:01 +0000 2020,@intactive @JustJuancho_ @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich Yes thats exactly what its about...party over all. Like I said when it is sidelined its time to leave and they will come for you as well. And you wont understand why. My how quickly the lessons of the Holocaust are lost on the intentionally blind.
9,Mon Oct 26 16:42:30 +0000 2020,@JustJuancho_ @intactive @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich You missed a letter...
10,Mon Oct 26 16:27:54 +0000 2020,RT @nickseewald: While researching a liberal arts college I'm applying for a job at I discovered that even though they have maybe 10% of th…
11,Mon Oct 26 16:22:20 +0000 2020,@FaustaDitah @AsstSecStateAF @maxbone55 @CohenOnAfrica @UN @UMich Ambazonian terrorists killed school kids to gain international recognition. Now they do. We the people of SW and NW regions of Cameroon will fight against Ambazonian terrorism
12,Mon Oct 26 15:41:03 +0000 2020,"@pattonoswalt This is inspired! Two from @umich:

▶️ Hayden Begley
▶️ Prescott Duke (ideal for a Trading Places re-boot)!

P.S. Bonus: TIL why @edbegleyjr's ""Jr."" is A Thing. 🙌🏼"
13,Mon Oct 26 15:40:34 +0000 2020,@JoelRMelamedMD @JoeBiden @UMich @TheDemocrats @1199SEIU why even waste your breath on polls anymore?
14,Mon Oct 26 15:19:49 +0000 2020,@pilotolson @UMich This is the result of the administration failing to provide support and (any!!) supervision of students in quarantine and isolation housing.
15,Mon Oct 26 15:02:13 +0000 2020,"RT @MVBStaccato: “Crisis doesn’t build character, crisis REVEALS character.”  We have to, “decide what our values are, then act on them.”…"
16,Mon Oct 26 15:01:14 +0000 2020,"Only the health system lacks live captioning in Zoom; the rest of @umich has it, so there shouldn’t be insurmountable tech issues. Thanks in advance for your advocacy. Happy Disability Awareness Month!"
17,Mon Oct 26 15:00:53 +0000 2020,"“Crisis doesn’t build character, crisis REVEALS character.”  We have to, “decide what our values are, then act on them.”  Words of wisdom from @WendellPierce at the @UMich this morning. @UMSpresents"
18,Mon Oct 26 14:58:58 +0000 2020,"@gpayne1103 @drsanjaygupta @UMich @MarkSchlissel I don't specifically know any details about tests sold at Costco, but in general, the quality (accuracy and sensitivity) of any test result is dependent on the quality of the specimen collection process. Most people are inexperienced and untrained so results are questionable."
19,Mon Oct 26 14:55:50 +0000 2020,"@page17llc @amyalkon @dkingpower7 @MaxBerga1 @JustJuancho_ @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich It's not about you, but millions yet unborn. Many evils went on for a long time until they were stopped. It shouldn't take a law. Metzitzah b'peh fell to a residual level over the last 200 years because people saw the harm in it."
20,Mon Oct 26 14:50:16 +0000 2020,@JDMoorman @UMich I bet you could make back  $1.20 with a yard sale 😂
21,Mon Oct 26 14:44:19 +0000 2020,"@page17llc @intactive @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich [...]
I don't see why an ever-changing tradition can't keep evolving, for better."
22,Mon Oct 26 14:43:21 +0000 2020,"@page17llc @intactive @amyalkon @dkingpower7 @MaxBerga1 @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich Ritual circumcision have changed through the years, from the original Milah, in which only the tip of the foreskin was cut, to Periah, total extirpation of the foreskin. Metzitzah B'peh used to be very common, now most of Jewish people abandoned that part of the ritual.
[...]"
23,Mon Oct 26 14:36:36 +0000 2020,"@intactive @amyalkon @dkingpower7 @MaxBerga1 @JustJuancho_ @laurief39086791 @KJ7RDV @briandavidearp @AgudahNews @OrthodoxUnion @UMich Yes the legislation will say nothing. Please stop trying to protect me from things that have been practiced in my family for 4000 years consecutively because you think you know better. Your nanny state is the problem, not my religious practices."
24,Mon Oct 26 14:23:58 +0000 2020,@CommFox I read this for my dis. LOL!!!! @umich Y’ALL bought most of these LMFAO.
25,Mon Oct 26 14:09:52 +0000 2020,@drsanjaygupta @UMich @MarkSchlissel Sounds like a trumper
26,Mon Oct 26 14:06:56 +0000 2020,@juliewbee @UMich Nothing like a shibboleth error to make a Monday extra fun! 😄
27,Mon Oct 26 14:04:15 +0000 2020,And why are we still not talking about the long term impacts of  @umich reopening?
28,Mon Oct 26 13:48:36 +0000 2020,"@farah_bey1 @UMich Farah, that makes 8!  👏👏👏"
29,Mon Oct 26 13:38:20 +0000 2020,@whynahmwin @UMich The only reason I’m applying is because of you😂
30,Mon Oct 26 13:34:32 +0000 2020,"I’m a teacher working on rec letters for my awesome students. So far 7 have applied to @UMich, my alma mater. Clearly my brainwashing is working here in Texas. Go blue!!!"
31,Mon Oct 26 13:10:29 +0000 2020,@juliewbee @UMich Who broke the ldap server?
32,Mon Oct 26 13:06:48 +0000 2020,Any @umich folks having issues with MBox or Canvas this morning?
33,Mon Oct 26 13:06:00 +0000 2020,"@UMich @umichmedicine @PreetiNMalani @WEMU891 It's disingenuous to compare K-12 to residential universities in this case, which this tweet implies in the way it's worded. Do better @UMich"
34,Mon Oct 26 12:28:21 +0000 2020,RT @wgreen3: Just taped an interview with @coolsciencedad for the @PodcastAhead and it was a great conversation about his growing up in Det…
35,Mon Oct 26 12:26:08 +0000 2020,"@justinh48864 @the_under_score @UMich “It’s a just a little bit of sexual abuse of our own football players and Bo Schembechler and the Michigan administration knew. Having a doctor sexually violate our players in the Michigan football facilities is normal for me.” -you, apparently. 
Just take your L and go, clown"
