,created_at,full_text
0,Mon Oct 26 17:18:05 +0000 2020,"RT @shaileyprasad: "" We've got to connect the #SDOH to the political decisions.."" @DanielEDawes 
#QuiePetersonLecture
@GlobalHealthUMN @UMN…"
1,Mon Oct 26 16:59:55 +0000 2020,"RT @shaileyprasad: "" We've got to connect the #SDOH to the political decisions.."" @DanielEDawes 
#QuiePetersonLecture
@GlobalHealthUMN @UMN…"
2,Mon Oct 26 16:59:33 +0000 2020,""" We've got to connect the #SDOH to the political decisions.."" @DanielEDawes 
#QuiePetersonLecture
@GlobalHealthUMN @UMNclinaffairs @umnmedschool @PublicHealthUMN @UMNews @UMNNursing @UMN_Pharmacy"
3,Mon Oct 26 16:42:12 +0000 2020,"RT @TetShippee: As Associate Director of Research for @UMNCHAI, I am also looking if any of these ideas might be of interest to greater com…"
4,Mon Oct 26 16:35:16 +0000 2020,@UMNews @UofMDesign Though loss for Miami. Nothing but@hate. Let’s get out of here!
5,Mon Oct 26 16:31:11 +0000 2020,"As Associate Director of Research for @UMNCHAI, I am also looking if any of these ideas might be of interest to greater community of #aging researchers @PublicHealthUMN &amp; @UMNews. Please share if you have suggestions. We can be more effective if we partner with each other."
6,Mon Oct 26 13:03:42 +0000 2020,"@PublicHealthUMN @UMNews @UMNresearch @DNeumark @UMN_MCH @umnsphsenate @IamWBOB @UMNclinaffairs @UMNRHRC @SHADAC Congrats, @DNeumark! 🎉🎉"
7,Mon Oct 26 09:47:27 +0000 2020,"@IlhanMN @UMNews If you want these radical Muslims occupying streets and praying with loud speakers, elect @Ilhan."
8,Mon Oct 26 03:50:52 +0000 2020,@IlhanMN @UMNews What happened to the Little Brown Jug?
9,Mon Oct 26 03:42:41 +0000 2020,"@TommyGunSpecia2 @IlhanMN @UMNews 🙄  It's unnecessary.  Siblings and spouses have the same path to citizenship.  Just marrying someone doesn't grant them citizenship or even residency.  They only get the right to apply for it, which requires a background check to look for fraud."
10,Mon Oct 26 02:49:30 +0000 2020,@IlhanMN @UMNews You're a very sick puppy
11,Mon Oct 26 02:36:36 +0000 2020,"@IlhanMN @UMNews The media knows damn well the Clintons concocted the Russian hoax and the Biden family, including Quid Pro Joe, is corrupt.   No one listens to what the media says anymore as they put their Liberal agenda ahead of the truth.  God bless America and the Republicans."
12,Mon Oct 26 02:36:16 +0000 2020,"RT @FireCoyle: The ave women's team size at @UMNews this yr is 30. To be in exact proportionality, Coyle needed to add 37 women's roster sp…"
13,Mon Oct 26 02:35:52 +0000 2020,"RT @FireCoyle: Just 2 years after a federal Title 9 investigation into @GopherSports, Mark Coyle managed to become the only AD @UMNews in t…"
14,Mon Oct 26 02:29:23 +0000 2020,@IlhanMN @UMNews no one believes you
15,Mon Oct 26 01:58:07 +0000 2020,@IlhanMN @UMNews I am un-registering to vote now. #OnWisconsin
16,Mon Oct 26 01:51:59 +0000 2020,@IlhanMN @UMNews Badgers rule
17,Mon Oct 26 01:50:43 +0000 2020,@IlhanMN @UMNews Figures youd go after brain washed college students.
18,Mon Oct 26 01:46:46 +0000 2020,@IlhanMN @UMNews Please go to my page and share my go fund me all donations will be paid back thanks
19,Mon Oct 26 01:45:15 +0000 2020,@IlhanMN @UMNews @IlhanMN jam that axe up your ass
20,Mon Oct 26 01:41:31 +0000 2020,@IlhanMN @UMNews This Islamist needs a one way ticket to Mogadishu.
21,Mon Oct 26 01:36:34 +0000 2020,@IlhanMN @UMNews I have a better idea of where to put the axe
22,Mon Oct 26 01:31:41 +0000 2020,@ElJackoSupreme @IlhanMN @UMNews you people have one joke
23,Mon Oct 26 01:31:30 +0000 2020,@IlhanMN @UMNews Go back to Somalia!
24,Mon Oct 26 01:31:28 +0000 2020,@IlhanMN @UMNews You are the worst.
25,Mon Oct 26 01:29:38 +0000 2020,@IlhanMN @UMNews No student is going to vote just because you made up a competition with a fake reward stolen from the football rivalry.
26,Mon Oct 26 01:25:14 +0000 2020,@IlhanMN @UMNews Just so we are clear...I love all you do and all you represent...but the Axe lives in Madison right now.
27,Mon Oct 26 01:24:38 +0000 2020,"@DFodet @IlhanMN @UMNews Usually the people who want to start a civil war don’t support the President. Usually the people who spread hate are the one’s rioting and looting. Usually the people causing mayhem in the streets, blocking traffic, screaming at innocent bystanders, are spreading hate. Weird."
28,Mon Oct 26 01:23:48 +0000 2020,@wade222 @IlhanMN @UMNews Yeah you tweeted
29,Mon Oct 26 01:23:32 +0000 2020,@blackmyre @IlhanMN @UMNews Dumb take
30,Mon Oct 26 01:23:15 +0000 2020,@GmThompson7 @IlhanMN @UMNews Any proof
31,Mon Oct 26 01:22:30 +0000 2020,@ElJackoSupreme @IlhanMN @UMNews Any proof
32,Mon Oct 26 01:20:37 +0000 2020,@IlhanMN @UMNews Love you Ilhan ❤️🥰
33,Mon Oct 26 01:19:40 +0000 2020,@IlhanMN @UMNews Have you been charged with immigration fraud? I thought marrying your brother to get him US citizenship was illegal?
34,Mon Oct 26 01:19:14 +0000 2020,"@IlhanMN @UMNews You married your brother, right?"
35,Mon Oct 26 01:07:57 +0000 2020,@Gerber1Bryan @UMichFootball @UMNews God I wish I would’ve thought of that
36,Mon Oct 26 00:21:00 +0000 2020,@UMNews If Biden is elected you know the liberals will find a way that Goldy is racist. Vote Trump = Vote American!
37,Mon Oct 26 00:04:07 +0000 2020,"RT @FireCoyle: The ave women's team size at @UMNews this yr is 30. To be in exact proportionality, Coyle needed to add 37 women's roster sp…"
38,Sun Oct 25 23:59:17 +0000 2020,"The ave women's team size at @UMNews this yr is 30. To be in exact proportionality, Coyle needed to add 37 women's roster spots this yr, but to meet the legal standard for compliance of being ""substantially proportionate"" he only needed to add 8 women's opportunities this yr."
39,Sun Oct 25 23:42:18 +0000 2020,"Just 2 years after a federal Title 9 investigation into @GopherSports, Mark Coyle managed to become the only AD @UMNews in the past decade to lead the athletic dept to non-compliance with #Title9. You'd think any good AD would pay extra attention to that after a OCR investigation"
40,Sun Oct 25 22:48:18 +0000 2020,"@UMich may have beat Minnesota last night, but @UMNews has cut their ties with the Minneapolis PD and doesn't have their undergrads under a stay-at-home order, so who's really winning?"
41,Sun Oct 25 22:11:39 +0000 2020,@AliMattaonair @UMichFootball @UMNews Would you or will you ever come back to minnesota?
42,Sun Oct 25 21:48:05 +0000 2020,@UMNews What’s it like working for a big and highly corrupt college? Let’s just go? Negate.
43,Sun Oct 25 19:44:34 +0000 2020,@UMNews Let’s go! Fing Paris.
44,Sun Oct 25 15:53:19 +0000 2020,"@AliMattaonair @UMichFootball @UMNews Did you say, ""I made these for you so you can eat it...so eat it""?"
45,Sun Oct 25 14:46:54 +0000 2020,"@JessHainesPhD @PublicHealthUMN @UMNews @UMNresearch @UMN_MCH @umnsphsenate @UMNAlumni @IamWBOB @UMNclinaffairs @UMNRHRC @SHADAC Jess, one of my greatest pleasures was working with you!. @JessHainesPhD"
46,Sun Oct 25 14:45:46 +0000 2020,@simemty11 @PublicHealthUMN @UMNews @UMNresearch @UMN_MCH @umnsphsenate @UMNAlumni @IamWBOB @UMNclinaffairs @UMNRHRC @SHADAC Thank you Eva. Miss you!
47,Sun Oct 25 11:06:24 +0000 2020,@PublicHealthUMN @UMNews @UMNresearch @DNeumark @UMN_MCH @umnsphsenate @UMNAlumni @IamWBOB @UMNclinaffairs @UMNRHRC @SHADAC Congratulations @DNeumark on this very well deserved honor! I remain grateful for the incredible mentoring you have provided throughout my career.
48,Sun Oct 25 10:55:42 +0000 2020,@PublicHealthUMN @UMNews @UMNresearch @DNeumark @UMN_MCH @umnsphsenate @UMNAlumni @IamWBOB @UMNclinaffairs @UMNRHRC @SHADAC Congratulations 🎊 from Norway 🇳🇴! Well deserved!
49,Sun Oct 25 07:44:45 +0000 2020,@DrAndrewThaler @Douglas_Main @UMNews Me too. I’m not sure where this one started but it has been circulating for a few years.
