,created_at,full_text
0,Mon Oct 26 17:46:20 +0000 2020,@williamkneipOM @cadeslaughter_ @OleMissRebels Lots of non mask wearers in the background...but money talks
1,Mon Oct 26 17:45:21 +0000 2020,@williamkneipOM @cadeslaughter_ @OleMissRebels Look at that distancing!
2,Mon Oct 26 14:29:09 +0000 2020,"Strut Your Mutt
Wednesday | 5:30pm-8:00pm
Grove Stage"
3,Mon Oct 26 14:29:08 +0000 2020,"ASB 365
Wednesday | 11:00am-2:00pm
Union Plaza"
4,Mon Oct 26 14:29:08 +0000 2020,"Spooky Snow Cones
Wednesday | 10:00am-2:00pm
Union Plaza"
5,Mon Oct 26 14:29:07 +0000 2020,"Operation Immunization
Tuesday | 1:00pm-4:00pm
South Oxford Center, Parking Garage"
6,Mon Oct 26 14:29:06 +0000 2020,"School of Education Bingo
Monday | 10:00am-10:30am
Guyton 101"
7,Mon Oct 26 13:41:40 +0000 2020,"@JapaMahatma @SenFeinstein @seanhannity @IngrahamAngle @FoxNews @CBSNews @NBCNews @CNN @MSNBC @amnesty @lawyers4liberty @PhilALynch @CommissionerHR @OntHumanRights @UNWebTV @civilrightsorg @hrw @HRC @UNHumanRights @OAS_official @FBI @OleMissRebels @foxandfriends @Morning_Joe @USCIS @YouTube @andersoncooper @MichaelAvenatti @Alyssa_Milano @KenPaxtonTX @CIA @nsa @marttimalmi @Colorado @california @megynkelly @cenkuygur @FCC @CollinCountyGov @DEAHQ @SpeakerRyan @senatemajldr @realDonaldTrump @NSAGov @donlemon @SaNeter7 @brother_polight @tariqnasheed @TjSotomayorKOC VAN KUSH v. 10TH CIRCUIT EXECUTIVE/ADMINISTRATIVE OFFICE OF THE JUDGES (AO), 1:2020cv02862 (DDC 2020)"
8,Mon Oct 26 13:41:31 +0000 2020,"@JapaMahatma @SenFeinstein @seanhannity @IngrahamAngle @FoxNews @CBSNews @NBCNews @CNN @MSNBC @amnesty @lawyers4liberty @PhilALynch @CommissionerHR @OntHumanRights @UNWebTV @civilrightsorg @hrw @HRC @UNHumanRights @OAS_official @FBI @OleMissRebels @foxandfriends @Morning_Joe @USCIS @YouTube @andersoncooper @MichaelAvenatti @Alyssa_Milano @KenPaxtonTX @CIA @nsa @marttimalmi @Colorado @california @megynkelly @cenkuygur @FCC @CollinCountyGov @DEAHQ @SpeakerRyan @senatemajldr @realDonaldTrump @NSAGov @donlemon @SaNeter7 @brother_polight @tariqnasheed @TjSotomayorKOC VAN KUSH v. 10TH CIRCUIT EXECUTIVE/ADMINISTRATIVE OFFICE OF THE JUDGES (AO), 1:2020cv02862 (DDC 2020)"
9,Mon Oct 26 13:41:19 +0000 2020,"@JapaMahatma @SenFeinstein @seanhannity @IngrahamAngle @FoxNews @CBSNews @NBCNews @CNN @MSNBC @amnesty @lawyers4liberty @PhilALynch @CommissionerHR @OntHumanRights @UNWebTV @civilrightsorg @hrw @HRC @UNHumanRights @OAS_official @FBI @OleMissRebels @foxandfriends @Morning_Joe @USCIS @YouTube @andersoncooper @MichaelAvenatti @Alyssa_Milano @KenPaxtonTX @CIA @nsa @marttimalmi @Colorado @california @megynkelly @cenkuygur @FCC @CollinCountyGov @DEAHQ @SpeakerRyan @senatemajldr @realDonaldTrump @NSAGov @donlemon @SaNeter7 @brother_polight @tariqnasheed @TjSotomayorKOC VAN KUSH v. 10TH CIRCUIT EXECUTIVE/ADMINISTRATIVE OFFICE OF THE JUDGES (AO), 1:2020cv02862 (DDC 2020)"
10,Mon Oct 26 09:11:47 +0000 2020,@BenBrown23 @cityofoxford @OleMissRebels @IamSuperHen @OleMissBSB @OleMissFB My man 👊🏼👊🏼
11,Mon Oct 26 01:56:58 +0000 2020,@TheLydiaCruz I went to @OleMissRebels I am so damn happy to have him as a @Seahawks
12,Mon Oct 26 01:24:25 +0000 2020,If that chase down @dkm14 just made doesn’t make you proud to be an @OleMissRebels I don’t know what to tell you 🤷‍♂️
13,Mon Oct 26 00:19:11 +0000 2020,@BenCraddock48 @cityofoxford @OleMissRebels @IamSuperHen @OleMissBSB @OleMissFB Two of my fav folks right there!
14,Sun Oct 25 15:18:00 +0000 2020,@ThomasEWoods @RobSchneider Piss off. The pandemic is fakes news &amp; mask don’t work. @cityofoxford @RobynTannehill @OleMissSports @OleMissRebels @OxfordPolice @OxfordSD @olemissbound @OleMissFB @LafCo_District @tatereeves
15,Sat Oct 24 23:22:09 +0000 2020,@bertkreischer @OleMissRebels and @msstate definitely have top 3 talent every year.
16,Sat Oct 24 20:09:01 +0000 2020,"Glad the @AuburnTigers could rebound for that ""L"" they took from @southcarolinafb last wkend with a ""W"" over @OleMissRebels. Gotta long way to go with what we have on the table tho. Let's finish strong!!!#WarEagle #Focus #teamworkmakesthedreamwork"
17,Sat Oct 24 19:23:46 +0000 2020,@WarMachine2013 Hey @OleMissRebels fans....welcome to our world 😂😂😂
18,Sat Oct 24 19:19:59 +0000 2020,@Lane_Kiffin and @OleMissRebels got screwed. Yet ANOTHER game this season @AuburnTigers get help winning. They should be 1-4. @SEC what’s the plan going forward?!?
19,Sat Oct 24 19:19:55 +0000 2020,@OleMissRebels @olemissesports @UnivMSProvost 1-3 for our little civil rights activist/ football team. Need to stop  focusing on statutes and studying the game. This is embarrassing.
20,Sat Oct 24 19:17:05 +0000 2020,"@SECNetwork @AuburnFootball Two blown calls is why Auburn won, this has to stop the integrity of the the Sec is at stake. Blown kick off touch and recovery and then a fumble on the ensuing drive. Deplorable!!! @OleMissRebels @SEC"
21,Sat Oct 24 18:21:29 +0000 2020,Why are you cutting off beer sales after the 3 quarter of an 11 am game??? @OleMissRebels
22,Sat Oct 24 18:16:08 +0000 2020,@GoldEP_ @ForePlayPod Because @OleMissRebels
23,Sat Oct 24 17:54:23 +0000 2020,Don’t let Bo Nix going 7-8 in the first half distract you from the fact that he stinks. The @OleMissRebels defense is just worse  #AUBvsMISS
24,Sat Oct 24 15:13:05 +0000 2020,"@OleMissSports Just rip off your mask, gather by the thousands in the grove, and tell the people in charge you are not going to take it anymore. Stand up students &amp; fans. The pandemic is fake news. Don’t drink their socialist koolaide. @olemissbound @OleMissFB @RobynTannehill @OleMissRebels"
25,Fri Oct 23 22:34:14 +0000 2020,@tatereeves Open the state completely and end all of the lock down @tatereeves Listen to President Trump and stop the insanity. You &amp; the mayors in Mississippi are driving businesses to close their doors. The pandemic is fake news. @cityofoxford @RobynTannehill @TCBPubHealth @OleMissRebels
26,Fri Oct 23 21:44:38 +0000 2020,"@UMHESRM @BarcaInnoHub @jploenneke Ole Miss is still forcing their MCWpitchers to stride sideways from the mound  and these guys are talking about blood flow restriction. 
O Tempora O Mores 
@OleMissRebels"
27,Fri Oct 23 21:26:55 +0000 2020,"@HottyToddyNews The pandemic is all a lie. Fake news. We don’t need socialist rule in Mississippi &amp; America. Stand up, rip off your mask, and say we won’t follow your tyranny anymore. @OleMissRebels @RobynTannehill @tatereeves @TCBPubHealth @cityofoxford @OxfordMSChamber @OleMissSports"
28,Fri Oct 23 21:23:28 +0000 2020,@OleMissRebels @OleMissSAA @OleMissSports @umjourimc @OleMissSAS @umlibarts @olemissengineer @OleMissBusiness @OleMissPSoA @olemisspharmacy @OleMissEdSchool Students &amp; fans need to rush the Grove and start the party. Gather by the thousands and tell them you won’t take it anymore. Rio off your mask. The pandemic is fake news. @OleMissSports @RobynTannehill @tatereeves @OxfordMSChamber @OleMissAlumni @cityofoxford
29,Fri Oct 23 18:05:32 +0000 2020,"@OleMissSports @UMClubRed Gather in large groups, party in the Grove, unmask yourselves, tell them you won’t take the fake pandemic lockdown destroying your college experience. Stand up and say NO MORE!! @RobynTannehill @tatereeves @OleMissSports @OleMissRebels @OleMissPolice @cityofoxford @OleMissAlumni"
30,Fri Oct 23 17:11:45 +0000 2020,@RebGrad13 @OleMissRebels @olemissesports @UnivMSProvost Sure am!
31,Fri Oct 23 14:58:13 +0000 2020,"@OleMissRebels @olemissesports @UnivMSProvost And you all are apparently fine that the e-sports team has dropped the moniker, “Rebels”."
32,Fri Oct 23 12:53:43 +0000 2020,@sheabooskyy @OleMissRebels do not show up to play! #OleMiss
33,Fri Oct 23 12:32:57 +0000 2020,"@AuburnFootball @octaviaspencer Hope it'll help with a ""W"" over the @OleMissRebels this wkend #WarEagle"
34,Fri Oct 23 10:03:34 +0000 2020,"@intstudentloans @OleMissRebels This is good!
How please?
I want to study abroad!"
35,Fri Oct 23 05:04:49 +0000 2020,"@OxfordPolice @McDonalds Maybe if you were doing your job as crime fighters instead of writing face mask tickets and closing businesses down that are just trying to survive this lockdown, you might have caught the perpetrators and have them behind bars already.@RobynTannehill @cityofoxford @OleMissRebels"
36,Thu Oct 22 23:59:55 +0000 2020,RT @MCSD_CCPC: Congratulations to Logan Wilhelm and her acceptance to the University of Mississippi! @OleMissRebels @MCSDCounselors @Mariem…
37,Thu Oct 22 18:30:22 +0000 2020,@KeithCarterOM @OleMissSports @OleMissFB @UMClubRed How many cut outs did you sell to fill those new seats? Stop the lock down at Ole Miss. Students to to fill the Grove &amp; party. No Masks! No Social Distancing. The pandemic is fake news. TELL THEM YOU WON'T TAKE IT ANYMORE. FREEDOM!!! @OleMissRebels @OleMissSports @RobynTannehill
38,Thu Oct 22 18:18:52 +0000 2020,"@HottyToddyNews Check with the mayor, Tyrant Tannehill, she has a lot of blood she has sucked out of local Oxford businesses &amp; I heard she is keeping some in storage. @RobynTannehill @OxfordMSChamber @cityofoxford @OxfordPolice @tatereeves @OleMissRebels The pandemic is Fake news. @TCBPubHealth"
39,Thu Oct 22 18:02:27 +0000 2020,Congratulations to Logan Wilhelm and her acceptance to the University of Mississippi! @OleMissRebels @MCSDCounselors @Mariemont_HS @MariemontSchool
40,Thu Oct 22 11:09:00 +0000 2020,"@aaronfitt @KendallRogers @OleMissBSB @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty Yeah I'm sure he'll have to earn his way in, but man can he rake.  Gonna be fun to watch him grow."
41,Thu Oct 22 10:54:35 +0000 2020,"@OleMissRebels This is all for show! OM Chancellor has done nothing to help our students!!  It took a group of parents to put the university on notice!!
Sad!!"
42,Thu Oct 22 03:04:05 +0000 2020,@IanESadler @BenCraddock48 @OleMissAF @OleMissAlumni @OleMissRebels @DensonHollisOM @OleMissMClub @OleMissKermit @YolettMcCuin @OleMissSports @UM_JKindervater An amazing week for supporting our student-athletes! Great work all the way around by the team!
43,Thu Oct 22 02:40:39 +0000 2020,@mdelellis06 @KendallRogers @OleMissBSB @aaronfitt @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty Why can’t he get his team to Omaha then?
44,Thu Oct 22 02:40:06 +0000 2020,"@williamkneipOM @OleMissRebels @omdos And if they introduced themselves to him, he will never forget their names. Sparky doesn’t forget your name no matter how many years it’s been since he has seen you!"
45,Thu Oct 22 02:08:30 +0000 2020,@williamkneipOM @OleMissRebels @omdos So many memories! Chancellor’s Leadership was so fun.
46,Thu Oct 22 01:08:01 +0000 2020,"@TheURCShow @KendallRogers @OleMissBSB @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty He didn’t play when I was in Oxford, but I hear he can really hit."
47,Thu Oct 22 00:58:48 +0000 2020,@KendallRogers @OleMissBSB @aaronfitt @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty Bc Mike Bianco is the best in the business
48,Thu Oct 22 00:39:27 +0000 2020,@IanESadler @OleMissAF @OleMissAlumni @OleMissRebels @DensonHollisOM @OleMissMClub @OleMissKermit @YolettMcCuin @McLaughlin_OMAF @OleMissSports @UM_JKindervater This is true my man
49,Wed Oct 21 23:50:54 +0000 2020,@KendallRogers @OleMissBSB @aaronfitt @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty 2 words:  Hudson Sapp.....game changer
50,Wed Oct 21 23:10:26 +0000 2020,"@IanESadler @OleMissAF @OleMissAlumni @OleMissRebels @DensonHollisOM @OleMissMClub @OleMissKermit @YolettMcCuin Congratulations on all your great work, and yay for my Texas folks! ❤️💙"
51,Wed Oct 21 22:46:54 +0000 2020,RT @JapaMahatma: @kpmck63 @SenFeinstein @seanhannity @IngrahamAngle @FoxNews @CBSNews @NBCNews @CNN @MSNBC @amnesty @lawyers4liberty @PhilA…
52,Wed Oct 21 22:46:45 +0000 2020,RT @JapaMahatma: @MastersVccc @sendavidperdue @SecretarySonny @LindseyGrahamSC @SenTedCruz @FBI @JesseBWatters @DanaPerino @megynkelly @Bri…
53,Wed Oct 21 22:46:38 +0000 2020,RT @JapaMahatma: @JusticeEdition @senatemajldr @SpeakerRyan @rushlimbaugh @seanhannity @LouDobbs @marklevinshow @CNN @MSNBC @FoxNews @FoxBu…
54,Wed Oct 21 22:46:32 +0000 2020,RT @JapaMahatma: @shartzie @ttyingling @jbisrael @megynkelly @HotlineJosh @amnesty @lawyers4liberty @PhilALynch @CommissionerHR @OntHumanRi…
55,Wed Oct 21 22:46:12 +0000 2020,RT @JapaMahatma: @kpmck63 @SenFeinstein @seanhannity @IngrahamAngle @FoxNews @CBSNews @NBCNews @CNN @MSNBC @amnesty @lawyers4liberty @PhilA…
56,Wed Oct 21 22:46:05 +0000 2020,RT @JapaMahatma: @JusticeEdition @senatemajldr @SpeakerRyan @rushlimbaugh @seanhannity @LouDobbs @marklevinshow @CNN @MSNBC @FoxNews @FoxBu…
57,Wed Oct 21 22:45:56 +0000 2020,RT @JapaMahatma: @MastersVccc @sendavidperdue @SecretarySonny @LindseyGrahamSC @SenTedCruz @FBI @JesseBWatters @DanaPerino @megynkelly @Bri…
58,Wed Oct 21 22:18:18 +0000 2020,@IanESadler @OleMissAF @OleMissAlumni @OleMissRebels @DensonHollisOM @OleMissMClub @OleMissKermit @YolettMcCuin And it’s only Wednesday! Rebs!
59,Wed Oct 21 22:08:36 +0000 2020,@IanESadler @OleMissAF @OleMissAlumni @OleMissRebels @DensonHollisOM @OleMissMClub @OleMissKermit @YolettMcCuin Dang @IanESadler &amp; @McLaughlin_OMAF are on a roll . Great job guys
60,Wed Oct 21 21:31:40 +0000 2020,@williamkneipOM @OleMissRebels @omdos This is great!
61,Wed Oct 21 20:54:00 +0000 2020,@The_Reliant @thedailytexan @LonghornBand @TexasFootball Atleast they didn’t riot when a black man was accepted into university... looking at your @OleMissRebels
62,Wed Oct 21 20:53:26 +0000 2020,"@KendallRogers @OleMissBSB @aaronfitt @OleMissRebels @OleMissSports @CoachMikeBianco @MClementBSB @15Lafferty Gotta beat everyone else to the punch. 

'Kendall, why do you hate my school so much?'"
