,created_at,full_text
0,Mon Oct 26 17:29:14 +0000 2020,"RT @UMKC_parking: Levels 5 &amp; 6 of the Cherry Street parking garage will be unavailable tomorrow (Tuesday, 10/27) due to an employee flu sho…"
1,Mon Oct 26 16:55:22 +0000 2020,"RT @UMKC_parking: Levels 5 &amp; 6 of the Cherry Street parking garage will be unavailable tomorrow (Tuesday, 10/27) due to an employee flu sho…"
2,Mon Oct 26 14:11:26 +0000 2020,"RT @UMKC_parking: Levels 5 &amp; 6 of the Cherry Street parking garage will be unavailable tomorrow (Tuesday, 10/27) due to an employee flu sho…"
3,Mon Oct 26 14:08:06 +0000 2020,"Levels 5 &amp; 6 of the Cherry Street parking garage will be unavailable tomorrow (Tuesday, 10/27) due to an employee flu shot clinic. 

Metered parking will be available on level 4 of the Cherry Street garage via the AMP Park app. 

@UMKC @UMKC_SU @UMKCosi @UMKCCentral @UMKC_CAS"
4,Sat Oct 24 08:50:56 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
5,Sat Oct 24 03:49:54 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
6,Sat Oct 24 03:46:54 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
7,Fri Oct 23 23:41:06 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
8,Fri Oct 23 22:34:17 +0000 2020,@BattleTrack @rb_xc Say it louder for our friends @UMKC @umsystem @KCRoosAthletics !
9,Fri Oct 23 20:46:29 +0000 2020,RT @kabdullah360: @griffinhxc @UMKC @KCRoosAthletics @umsystem Shocking and ludicrous how detached institutions are from the student experi…
10,Fri Oct 23 20:21:58 +0000 2020,@griffinhxc @UMKC @KCRoosAthletics @umsystem Shocking and ludicrous how detached institutions are from the student experience and how much SA’s can contribute to overall goals of the institution beyond athletic accolades
11,Fri Oct 23 17:08:09 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
12,Fri Oct 23 16:57:27 +0000 2020,"RT @RMakinen: Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of…"
13,Fri Oct 23 16:56:56 +0000 2020,"Center for Economic Information at @UMKC studied impact of #ZeroFareKC. According to the study, regional financial impact of zero fare will be between $13 million and $17.9 million. #ReutersEventsMobility #ZeroFare @mobility_leader"
14,Fri Oct 23 09:58:43 +0000 2020,@AntoineRozner @UMKC Number 1 fan gutted! #framesnation
15,Fri Oct 23 02:33:51 +0000 2020,@courtfrerichs8 @UMKC My gosh everyone just stop the whole United States puts on a mask for 30 days and this all@will be over
16,Fri Oct 23 01:15:06 +0000 2020,"@courtfrerichs8 @MoMileSplit @UMKC Can't like, yuck"
17,Fri Oct 23 00:29:46 +0000 2020,"RT @LoganPetty21: @Fambrology So sad to see this. Always had so much respect for the Roos. You guys have/had such a talented, hard working,…"
18,Fri Oct 23 00:15:46 +0000 2020,"@Fambrology So sad to see this. Always had so much respect for the Roos. You guys have/had such a talented, hard working, and classy team. I really hope they find a way to keep things rolling. Make it happen @KCRoosAthletics @UMKC you don’t know what you’ll lose."
19,Fri Oct 23 00:08:19 +0000 2020,@courtfrerichs8 @UMKC It truly is sad
20,Thu Oct 22 22:58:33 +0000 2020,@chrisrun83 @courtfrerichs8 @ChrisChavez @UMKC @UMKC doesn’t have a football team.
21,Thu Oct 22 22:26:40 +0000 2020,"@chrisrun83 @courtfrerichs8 @ChrisChavez @UMKC Football funds everything, the next time you see an academic person sneer at the jocks, point it out to them."
22,Thu Oct 22 21:22:51 +0000 2020,@courtfrerichs8 @ChrisChavez @UMKC Did they really rely on Football and basketball revenue to fund their athletic departments?
23,Thu Oct 22 18:58:08 +0000 2020,@cdubwiltse @UMKC Sadly many schools won’t
24,Thu Oct 22 18:34:54 +0000 2020,RT @UMKC: UMKC Alert: UMKC authenticated services have been restored in this UM System-wide outage. We will monitor and update as needed.
25,Thu Oct 22 16:22:41 +0000 2020,"ATTENTION ALL COLLEGE STUDENTS!
@kucareer 
@umkcroocareers @UMKC 
@followMNU 
@AvilaUniversity 
@BakerUniversity 
@RockhurstU 
@OttawaU 
@emporiastate 
@FortHaysState 
@ParkUniversity 
@FriendsU 
@pittstate"
26,Thu Oct 22 16:22:19 +0000 2020,RT @UMKC: UMKC Alert: UMKC authenticated services have been restored in this UM System-wide outage. We will monitor and update as needed.
27,Thu Oct 22 16:20:56 +0000 2020,RT @UMKC: UMKC Alert: UMKC authenticated services have been restored in this UM System-wide outage. We will monitor and update as needed.
28,Thu Oct 22 16:20:52 +0000 2020,RT @UMKC: UMKC Alert: UMKC authenticated services have been restored in this UM System-wide outage. We will monitor and update as needed.
29,Thu Oct 22 16:20:48 +0000 2020,RT @UMKC: UMKC Alert: UMKC authenticated services have been restored in this UM System-wide outage. We will monitor and update as needed.
