,created_at,full_text
0,Mon Oct 26 19:15:44 +0000 2020,@catekelly @emilyrau Haha don’t you love the @Mizzou bird house too!
1,Mon Oct 26 17:53:43 +0000 2020,@Mizzou i just applied to Mizzou!! this is my dream school and i really hope i get accepted!!
2,Mon Oct 26 17:41:07 +0000 2020,"@benburnett @BrendanKeefe @Mizzou Except I never said “I” did that.  Mountain Park politics as usual, eh Bennie? ;)"
3,Mon Oct 26 16:46:01 +0000 2020,RT @Kiessence2: Not that we still have disciplinary holds even though it’s been 1 and 1/2 weeks after our meetings. This is right during ea…
4,Mon Oct 26 16:42:19 +0000 2020,"Not that we still have disciplinary holds even though it’s been 1 and 1/2 weeks after our meetings. This is right during early enrollments, scholarship, housing contract renewal etc. @mizzou @StackmanBill @Munychoi4545"
5,Mon Oct 26 16:20:42 +0000 2020,"With no discernment of activity besides a generalized “disturbance of peace,” which is unfair to students. We call on you to stand up for the removal of charges against these individuals. @StackmanBill @Munychoi4545 @Mizzou @MSAPresident @MizzouAthletics @MUPDpolice"
6,Mon Oct 26 16:01:15 +0000 2020,RT @Mizzou: Highspeed broadband access for all. Sooner than you think.
7,Mon Oct 26 14:28:35 +0000 2020,Explosives??? @Mizzou it is very ghetto here
8,Mon Oct 26 12:29:41 +0000 2020,@MPetchenikWSB @BrendanKeefe Exactly what I’d expect from @Mizzou students.
9,Mon Oct 26 03:28:24 +0000 2020,@MizzouFootball @Mizzou  pick a side
10,Mon Oct 26 01:17:03 +0000 2020,@CoachDrinkwitz @mikeparson @GovParsonMO @MizzouFootball You should be fired for this. @Mizzou
11,Sun Oct 25 22:00:41 +0000 2020,"And since accommodations aren’t retroactive, I won’t be able to pass this class. So thanks for that. And don’t worry, you’ll still get your money for the class since it’s past the drop deadline.

Good job @Mizzou @mizzoudiversity. Really advocating for veterans there."
12,Sun Oct 25 20:52:48 +0000 2020,Say what you want but @DrewLock23 is a KC @Mizzou guy and he showed it on that celebration 🍾
13,Sun Oct 25 20:49:05 +0000 2020,"@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC I always remember the Mid American Environmental Engineering Conference dearly (an amazing way to network and share fascinating research), what a great tradition!"
14,Sun Oct 25 17:34:37 +0000 2020,@Mizzou @MizzouAthletics Great win! Now about that piped in crowd noise that seems to be coming from the north scoreboard - fix it or end it.
15,Sun Oct 25 17:15:10 +0000 2020,@WrestleChicago @WeAreWrestlers Don’t forget about the Hearnes Center!! @Mizzou @MizzouWrestling
16,Sun Oct 25 16:36:05 +0000 2020,"@PWSullivan @Mizzou On the bright side, j-school doesn’t hit you up for donations. Plus I imagine you frequented some of the same establishments that j-school students did for a relaxing beverage or two. Close enough to merit an honorary journalism degree at the very least!"
17,Sun Oct 25 14:16:04 +0000 2020,@DJByrd_ Yea but tell me you dont think TJ is punching it in from the 1 @mizzou
18,Sun Oct 25 14:02:01 +0000 2020,@Mizzou Way to go Mizzou!!!
19,Sun Oct 25 03:30:01 +0000 2020,The dome isn’t even lit up 🤦🏽‍♀️ @Mizzou
20,Sun Oct 25 02:49:31 +0000 2020,@Mizzou small factoid. At the end of the 1st half coach  Drink says what?! “I shouldn't have used my timeouts like I did. “ What coach has ever fessed up to poor clock management in real time? Way to own it coach. Great win Tigers!!
21,Sun Oct 25 02:47:46 +0000 2020,@DamonHuff4 @Mizzou A boo-tiful assignment 👻
22,Sun Oct 25 02:46:39 +0000 2020,@ShelbyWKYT @Mizzou You've gotten a lot of good content out of this story 😂
23,Sun Oct 25 02:44:18 +0000 2020,"@GregLogan1 @Johnubacon Among other things, at Northwestern’s @MedillSchool we are taught the importance of accuracy. Get one fact wrong, all facts are wrong, even if they are not. Apparently, @Mizzou that value is not emphasized. I believe Maryland’s Merrill College is currently 40 points behind NU."
24,Sun Oct 25 00:26:19 +0000 2020,"So we were watching “It’s the Great Pumpkin, Charlie Brown” tonight and realized for the first time ever that Schroeder plays the @Mizzou fight song on his piano. Not sure why we never noticed before. It starts at about 19:30."
25,Sat Oct 24 23:54:11 +0000 2020,@Mizzou No don't light the dome idiots
26,Sat Oct 24 23:31:29 +0000 2020,@KeithMadison32 @SECNetwork @Mizzou @UKFootball Get new service.
27,Sat Oct 24 23:12:43 +0000 2020,Come on @mizzou we gotta sync up this #LightTheDome thing a little better
28,Sat Oct 24 22:44:24 +0000 2020,@Mizzou58Steel @MizGoldenGirls @Mizzou Perfect age now for passing on traditions 😏
29,Sat Oct 24 22:32:28 +0000 2020,"@JGB_Burken @SandT_CArE @sandtcec @MissouriSandT @SIUC @SIUE @WUSTL @Mizzou @SLU_Official Really interesting work, Rahel. Keep up the good work."
30,Sat Oct 24 22:30:58 +0000 2020,"My son walked into the room and looked at the TV and said “Um Dad, who are they?”

Me: “Those are the @MizGoldenGirls buddy.”

Son: “Wow. Were they at @Mizzou when you went there?” 

Me: “Yep.”

Son: “Wow.”

#NewZou #OneMizzou"
31,Sat Oct 24 21:44:58 +0000 2020,@TrumanTiger_MU @MizzouAthletics @MizzouFootball @MizzouCheer_ @Mizzou @MizzouLife Who’s that intern?? 🤪🤪
32,Sat Oct 24 21:19:59 +0000 2020,@Mizzou @MizzouFootball must be the most janky school ever in the #SEC . This piped in crowd noise on a PA system that is worse than wal marts is an embarrassment to the entire conference.
33,Sat Oct 24 21:12:10 +0000 2020,RT @KeithMadison32: Can @SECNetwork do something about the sound on the @Mizzou @UKFootball game? It is so annoying.
34,Sat Oct 24 21:03:35 +0000 2020,@KYFarmboy408 Hope @Mizzou does better than my fight pick.
35,Sat Oct 24 21:01:21 +0000 2020,"Hi @SECNetwork what is that terrible feedback sound on the Mizzou game?? Sounds like 1000 car alarms going off?  @Mizzou @UKFootball @MizzouFootball 
#earsplitting"
36,Sat Oct 24 20:34:37 +0000 2020,@KeithMadison32 @SECNetwork @Mizzou @UKFootball Good to know it isn’t just me!
37,Sat Oct 24 20:29:16 +0000 2020,@Micheal_T42 @SECNetwork @Mizzou @UKFootball Absolutely!
38,Sat Oct 24 20:28:52 +0000 2020,@KeithMadison32 @SECNetwork @Mizzou @UKFootball We’ll have to find some time to connect at some point now that I’m back in the Bluegrass.
39,Sat Oct 24 20:28:05 +0000 2020,"@Micheal_T42 @SECNetwork @Mizzou @UKFootball Thanks, Michael! Miss hangout with you."
40,Sat Oct 24 20:27:02 +0000 2020,"@KeithMadison32 @SECNetwork @Mizzou @UKFootball If you had only one birthday wish...?

Hope all is well coach!"
41,Sat Oct 24 20:24:15 +0000 2020,The pumped in sound @UKFootball vs @Mizzou sounds like aliens have invaded the stadium. Is it just me?
42,Sat Oct 24 20:23:22 +0000 2020,@bucstroII @Mizzou Thanks.
43,Sat Oct 24 20:23:13 +0000 2020,@LucasAOwens @Mizzou They have the boxes that are six feet apart and only three of them have people.
44,Sat Oct 24 20:23:03 +0000 2020,What even is this “crowd noise”?? #bbn @Mizzou @UKFootball
45,Sat Oct 24 20:22:19 +0000 2020,@KCOUunwritten @Mizzou Oh no adequate social distancing and not wanting to pack the stadium? THE HORROR!
46,Sat Oct 24 20:21:47 +0000 2020,@KCOUunwritten @Mizzou classy way to talk about your school fellas!
47,Sat Oct 24 20:21:15 +0000 2020,THERE ARE SO MANY OPEN SPOTS ON THE HILL YOU USELESS SCHOOL @Mizzou
48,Sat Oct 24 20:18:22 +0000 2020,RT @KeithMadison32: Can @SECNetwork do something about the sound on the @Mizzou @UKFootball game? It is so annoying.
49,Sat Oct 24 20:16:17 +0000 2020,Can @SECNetwork do something about the sound on the @Mizzou @UKFootball game? It is so annoying.
50,Sat Oct 24 19:55:52 +0000 2020,@JGB_Burken @StanfordEng @SIUE_SoEngr @WUSTL @MissouriSandT @Mizzou @SLU_Official @SIUC Enjoyed the talk. Thanks for making it happen.
51,Sat Oct 24 18:49:42 +0000 2020,Has there ever been a bigger waste of talent in football than Dorial Green-Beckham? @Mizzou @Titans @Eagles @NFL @NCAA
52,Sat Oct 24 17:29:37 +0000 2020,"@TrumanTiger_MU @MizzouFootball @MizzouAthletics @Mizzou @MizzouCheer_ ""Everything's better w/ Truman (more often than not anyway)...,"" ""... Bad(?) Hair Days are Real."""
53,Sat Oct 24 16:54:09 +0000 2020,"@SeanRyno1 @MizzouGameday @Mizzou This is some really ignorant shit, and I’m ashamed you’re a Mizzou fan. 🖕"
54,Sat Oct 24 16:30:33 +0000 2020,"@MizzouGameday @Mizzou If you do not wish to wear a mask simply say ""I have a condition"" when asked about it and they should leave you alone."
55,Sat Oct 24 16:29:06 +0000 2020,RT @k4rst4n: @MizzouGameday @Mizzou Anyone else in COMO for Homecoming? Kentucky looked really good last week. 👀
56,Sat Oct 24 16:29:01 +0000 2020,@MizzouGameday @Mizzou Anyone else in COMO for Homecoming? Kentucky looked really good last week. 👀
57,Sat Oct 24 16:01:58 +0000 2020,@The_IanJones @Mizzou @CoachDrinkwitz Growing up fast! Appreciate y’all! MIZ!
58,Sat Oct 24 15:02:00 +0000 2020,@causalinf @PMoserEcon I just learned now that @PMoserEcon was a Fulbright scholar at @Mizzou back in the day!
59,Sat Oct 24 01:54:12 +0000 2020,@rylee_thomas22 @Mizzou @MizzouEducation proud of you!! hopefully I’ll be joining you😘
60,Sat Oct 24 01:37:33 +0000 2020,@JacobMoscovitch @Mizzou Good question
61,Fri Oct 23 22:34:15 +0000 2020,Story time!  A top 5 day at college at @Mizzou was when the on campus @McDonalds gave me an @mmschocolate McFlurry. I’m eating it and just chillin on Lowry Mall when I bite into the frozen M&amp;M of doom. Loud pop. Thought I busted my molar. So I spit it out into my hand. 1/2
62,Fri Oct 23 21:55:57 +0000 2020,@chrisgrayson @4140Brian @Mizzou @medical_xpress @evamarellolsson @UmeaUniversity Woohoo :-)) how great is this? Thanks sooo much for sharing!!
63,Fri Oct 23 21:47:56 +0000 2020,@Mizzou @MizzouFootball @MizzouAlumni Time to tailgate!
64,Fri Oct 23 18:48:22 +0000 2020,"@johnferrugia @mujschool @Mizzou Yes they do! I worked with #Mizzou people in:
Champaign, IL
Fort Myers, FL
West Palm Beach, FL
Cleveland, OH
Milwaukee, WI
St. Louis, MO"
65,Fri Oct 23 18:20:54 +0000 2020,@HenryRothenberg @cafnr @Mizzou @nwas Thanks Henry.  Great students and colleagues make it seem less like work.
66,Fri Oct 23 16:50:38 +0000 2020,RT @JacobMoscovitch: Morning thought. Will @Mizzou ever have Homecoming royalty outside the gender binary?
67,Fri Oct 23 16:13:17 +0000 2020,Morning thought. Will @Mizzou ever have Homecoming royalty outside the gender binary?
68,Fri Oct 23 16:00:41 +0000 2020,"@EricStoller @Mizzou Mizzou's ""leadership,"" for lack of a better word, revels in its horrible decision making."
69,Fri Oct 23 15:43:22 +0000 2020,@olihough86 @Mizzou Time to fire up a shodan script
70,Fri Oct 23 15:14:26 +0000 2020,@MizzouGameday @Mizzou @ChrisDodig Just a reminder. 😃
71,Fri Oct 23 14:39:41 +0000 2020,@olihough86 @Mizzou The new 5 nights at freddy's looks  great!
72,Fri Oct 23 14:02:15 +0000 2020,"@CAFNRDean @Mizzou @cafnr Thanks, Dean Daubert! M-I-Z!"
73,Fri Oct 23 13:22:42 +0000 2020,@apa_gsc @apaphilosophy I shared this with my grad department just now! 😄Philosophy at @Mizzou is a force to be reckoned with!
74,Fri Oct 23 12:12:21 +0000 2020,"RT @DrVEvansWinters: @RaceMattersCoMO @Mizzou This is the opportune time, and in the case of Dr. Ashley Woodson, for @Mizzou to stand on th…"
75,Fri Oct 23 12:12:15 +0000 2020,RT @DrVEvansWinters: @LabFairfax @Mizzou An institution that hired Black faculty and other faculty of color during student protests in 2015…
76,Fri Oct 23 12:01:25 +0000 2020,"@covidsafety4mu @Mizzou What!? With all of their lack of planning &amp; missteps, at least @UMich didn't do that! And our graduate students @geo3550  &amp; undergraduate RA's @UMResstaff went on strike over our school's mismanagement! #StrikeForSafeCampus"
77,Fri Oct 23 10:53:57 +0000 2020,RT @MizzouTailgati1: @Mizzou @MizzouFootball What I would give to tailgate miss the hell out of it
78,Fri Oct 23 10:43:48 +0000 2020,@Mizzou @MizzouFootball What I would give to tailgate miss the hell out of it
79,Fri Oct 23 06:42:08 +0000 2020,RT @Kiessence2: There is aid and some scholarships we can’t apply for because mizzou has us in academic holds for practicing a first amendm…
80,Fri Oct 23 04:55:20 +0000 2020,"@davidhogg111 Consider a journalism degree first bc good lawyers also are good, concise writers. @mujschool @Mizzou might be a place to check out. —Tiger Alum / photoJ"
81,Fri Oct 23 03:34:27 +0000 2020,@hinklej @KOMUnews @stedwardsu @Mizzou @KXAN_News I couldn’t do ANY of it without you. Your guidance has been invaluable! Thank you!!🧡
82,Fri Oct 23 03:12:52 +0000 2020,"@RosemondCrown @KOMUnews So proud of you, @RosemondCrown! You’ve represented @stedwardsu, @Mizzou, @KOMUnews &amp; @KXAN_News so well as an outstanding journalist and amazing human! Very happy for you! Congrats!"
83,Fri Oct 23 02:14:35 +0000 2020,Glad to have served as a panelist with fellow colleagues for @kissthegroundoc Q&amp;A for @Mizzou. Great conversations and I'm always happy to talk about soil!
84,Fri Oct 23 02:13:15 +0000 2020,RT @Kiessence2: There is aid and some scholarships we can’t apply for because mizzou has us in academic holds for practicing a first amendm…
85,Thu Oct 22 23:23:06 +0000 2020,@Mizzou @MizzouFootball Let us tailgate! You’re nuts.
