,created_at,full_text
0,Sun Oct 25 05:18:35 +0000 2020,"Game Results from Today👀👀

League of Legends Team A 2-0 vs @UWyoEsports B

League of Legends Team B 2-0 vs @umanitoba Esports A

Valorant Team 1-2 vs @ucsc Esports
Game 1: 13-6 (W)
Game 213-15 (L)
Game 3:10-13 (L)

RL Team 0-3 vs @umontana Silver

GGWP All❗️❗️"
1,Sat Oct 24 14:00:01 +0000 2020,"Actions in RL &amp; Valorant❗️❗️

Our RL Team is playing in @CollegiateRL Star League against @umontana Silver

Our RL Green is playing in @CollegiateRL Open League against @WWU Gray

Our Valorant team is playing in @CollegeVALORANT against @ucsc Esports

All matches start at 1PM MST"
2,Fri Oct 23 20:29:17 +0000 2020,@UMontanaBiz @umontana @MontanaGrizBB @CoachDeCuire Go Storm and Go Griz!
3,Fri Oct 23 17:17:39 +0000 2020,@Messina2012 @marybschneider @umontana If I were 30 years younger 😉
4,Fri Oct 23 16:26:48 +0000 2020,@marceilschmitt @GOPSenate @LibertyU @LibertyUAlum @NotreDame @BYU @BostonCollege @UAAlumniAssoc @UofAlabama @TheCrimsonWhite @IowaStateU @WDMCHAMBER @DMRegister @umontana @missoulian @kpaxnews @helenaironline @universityofky @Owensboro1937 Vote Blue!
5,Wed Oct 21 22:45:02 +0000 2020,@JorgeRH2O @CoreyWelch_STEM @ESA_org @esa_students @USLTER @OBFSFieldBio @NSF @sacnas @ScottVEdwards1 @burginam @emsaurios @aaberhe @HallOfNature @DrNitrogen @e_borer @JacquelynGill @wardofplants @RichmondLyfe @hormiga @mtbogan @EStanLimnology @BrunaLab @ColorfulSciGirl @JohnKominoski @ESA_Prez2013 @HarvardForest @KZ_Cornell Yes Jorge.  Please get in touch!  @flbsum and @umontana ecologists would definitely like to engage with SACNAS.
6,Tue Oct 20 22:01:41 +0000 2020,It was great to run into so many friendly and civically engaged students at @umontana today. Really glad to answer questions and hand out swag! #VoteEarly
7,Tue Oct 20 12:22:48 +0000 2020,"RT @elephantfarms: 6 tea gardens in India’s Assam, Darjeeling and Dooars Tea Regions-over 7000 acres-have been awarded the science-backed C…"
8,Tue Oct 20 00:15:07 +0000 2020,@umontana Oh fond memories!
9,Mon Oct 19 21:11:30 +0000 2020,@MontanaGrizFB @umontana Pumpkin Placer lives!!
10,Mon Oct 19 19:52:57 +0000 2020,@romainpboisseau @NatGeo @DougEmlen @umontana *thorny 🤭
11,Mon Oct 19 19:52:25 +0000 2020,@romainpboisseau @NatGeo @DougEmlen @umontana Tell me more about horny stick insects
12,Mon Oct 19 18:27:51 +0000 2020,@MontanaGrizFB @umontana awesome campus!
13,Mon Oct 19 18:08:26 +0000 2020,"@MontanaGrizFB @umontana Ummmm , where is the snow?"
14,Mon Oct 19 12:39:29 +0000 2020,@umontana I see the annual pumpkin is on the spire...
15,Mon Oct 19 11:10:55 +0000 2020,@elephantfarms @wfen @umontana Amazing well done
16,Mon Oct 19 00:20:54 +0000 2020,@umontana Conferences are for sports not academics Jesus Christ I spent 40k to go to this dumbass college???
17,Mon Oct 19 00:19:46 +0000 2020,@umontana You sent students back to class im starting to rethink the quality of my education
18,Sun Oct 18 21:29:35 +0000 2020,"@CUNY @umontana @cunyasap Too much coursework and limited time to work on them.
Our experts will deliver help at very friendly price

Our services major in:
✳️Essay writing,
✳️Research paper,
✳️Coursework and
✳️Dissertations!
✳️business
✳️international relations
✳️history.

gmail: topwriters1992@gmail.com"
19,Sun Oct 18 18:39:10 +0000 2020,@umontana Missing Missoula and the UM Campus 🥰
20,Sun Oct 18 17:21:33 +0000 2020,@umontana @JoelKrautter New season who dis.
21,Sun Oct 18 14:45:55 +0000 2020,"@lizwcarlisle @UMontanaHistory @UMOnline1 @UMontanaHumSci @umontana Thanks, Liz!"
22,Sun Oct 18 03:06:18 +0000 2020,Guess who got accepted into college fam!!!! @umontana see you soon!
23,Sat Oct 17 23:17:14 +0000 2020,"Was so fortunate to have the opportunity to talk about @GrizzEsportsUM and our culture of diversity and inclusion at @umontana Family Weekend.  Thank you to all our players, coaches, and staff for being such incredible leaders and representatives."
