,created_at,full_text
0,Mon Oct 26 16:00:37 +0000 2020,@UNLincoln @heymooly This is a lie. My roommate has reported MULTIPLE unmasked parties with proof throughout the semester and has received zero follow up from UNL.
1,Mon Oct 26 03:21:24 +0000 2020,RT @heymooly: @UNLincoln no actually i think that the entirety of this situation is the fault of your institution’s value of money over hum…
2,Sun Oct 25 22:02:04 +0000 2020,@heymooly @UNLincoln LET 'EM KNOW MOLLY YAS
3,Sun Oct 25 21:08:04 +0000 2020,@UNLincoln no actually i think that the entirety of this situation is the fault of your institution’s value of money over human life and safety. students have been reaching out with concerns for MONTHS.
4,Sun Oct 25 16:26:04 +0000 2020,@UNLincoln cancel school we got snow comin😏
5,Sun Oct 25 01:10:21 +0000 2020,Thank you to the Huskers from @UNLincoln for wearing a sticker on their helmets today honoring Flippin. It made me look him up and opened up another piece of American history for me.
6,Sat Oct 24 19:46:06 +0000 2020,"someone keeps calling the bar to tell us that @HuskerFBNation sucks... 

we have no affiliation with @UNLincoln or their athletic department"
7,Sat Oct 24 18:20:57 +0000 2020,@UNLincoln I will steal this dog and keep it in my dorm room you can't stop me
8,Sat Oct 24 15:28:20 +0000 2020,@cathy_gabell @UNLPiESL @unlenglish @UNLincoln Thanks. That means the world to me :)! Take care of yourself and keep in touch!
9,Sat Oct 24 10:24:08 +0000 2020,@Huskers @NUequipment @NebraskaAthleti  @UNLincoln  I applaud all of you for the honoring of George Flippin!  It’s good to see my school supporting cultural and minority recognition in sports.  I’m hoping you have more to come.
10,Sat Oct 24 01:56:27 +0000 2020,@Networkjedi @AlloFiber @coach_frost @GitRDoneLarry @UNLincoln I dictate to my stenographer while I sleep.
11,Sat Oct 24 01:50:02 +0000 2020,"@TheSaucyNugs @AlloFiber @coach_frost @GitRDoneLarry Where does a @UNLincoln spokesman, presidential candidate, buffalo wings activist, and giver of @AlloFiber Gig Internet find time to write fan fiction?!?"
12,Sat Oct 24 01:19:01 +0000 2020,@SVeil @Unl_CoJMC @SVeil we are glad you enjoyed your time with us today and look forward to growing a partnership with the Army ROTC and the @Unl_CoJMC. Shoutout to the @NENationalGuard for providing realistic training for our Cadets a great experience for some @UNLincoln faculty and staff.
13,Sat Oct 24 00:44:59 +0000 2020,@bernmelnyk @OhioState @OhioStateFB It's gonna be rough here in @UNLincoln.  We'll peek through our fingers and hope for the best.  :)
14,Fri Oct 23 20:49:09 +0000 2020,@UNLincoln oh shit
15,Fri Oct 23 17:56:53 +0000 2020,"@JeffFortenberry @UNLincoln @USArmsControl @StateDept Are there ""promising"" New START negotiations? Because Trump directly rejected continuing the treaty twice &amp; it is set to expire in early February 2021. You want to elaborate on your support of Trump pushing this last minute, what happens if it expires, and where negotiations are?"
16,Fri Oct 23 16:51:10 +0000 2020,"RT @NBCCareerEd: We saw students tour @Creighton, @DoaneUniversity, @UNOmaha, @UNLincoln, @MidlandU, @HastingsCollege, 
@SCCNeb, @northeast…"
17,Fri Oct 23 15:57:39 +0000 2020,#unlsym20 @Jessifer says we should be spending more money on teachers than on tech. @UNLincoln are you listening?
18,Fri Oct 23 15:15:06 +0000 2020,"@stevenlwelton @NebToday @UNLincoln @DrMarcoBarker Hello, thanks for your message. All are welcome to visit with the Vice Chancellor."
19,Fri Oct 23 15:13:41 +0000 2020,"We saw students tour @Creighton, @DoaneUniversity, @UNOmaha, @UNLincoln, @MidlandU, @HastingsCollege, 
@SCCNeb, @northeastedu, @BellevueU, @Bryan_Health, @chadronstate, @ucollegeNE, @waynestcollege, &amp; @UNKearney throughout the period &amp; they were SO focused!"
20,Fri Oct 23 14:29:58 +0000 2020,@UNLincoln @ASUN_UNL @unlcas @RaikesSchool @NebraskaBiz Good for you and THANK YOU for thinking of others!! Go Big Red!!!
21,Fri Oct 23 14:01:19 +0000 2020,@hjpalala @UNLincoln I miss this place!! #BigRed
22,Fri Oct 23 08:05:19 +0000 2020,@icmabCSIC @UNLincoln @icn2nano @ignasifina @mcollbau @gherranz2 @CSICCat @socnano2 Wonderful day of tutorials! Thanks to the speakers and organizers! More than 70 creative and enthusiastic young minds were inspired by all the lessons of the day.
23,Fri Oct 23 01:34:26 +0000 2020,@GPREINC @UNLincoln Biden is going to shut down ethanol by pushing us all into electric cars.  There is no ethanol in an EV.
