,created_at,full_text
0,Mon Oct 26 19:03:34 +0000 2020,"The Haredim ⚫️✳️ are geniuses. They are Mixed Jus ✳️. Traditional Haredim are half Black (from The Black Empire) and half White (from Jupiter). The Haredim invented Hebru ★.

@NYCSchools @usedgov 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
1,Mon Oct 26 18:58:54 +0000 2020,"The rule for The Black ⚫️ Empire to be considered Black is 20% Black genes. All Sephardim 🌠✳️ are 20% Black. Sephardim have advanced genetics. Children with one Haredi ⚫️✳️ (half-Black, half-White) parent are considered Black.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @unlv"
2,Mon Oct 26 18:56:39 +0000 2020,"In 2008 Common Era, Zi forgot to vote because Zi was blacking out in London ☔️. A huge factor for going there for university was that the drinking age is 18 Earth years old. Zi would have voted for President @BarackObama-様 anyway.

@KingsCollegeLon 

@NASA @CIA @UoLondon @unlv"
3,Mon Oct 26 18:49:59 +0000 2020,"All Zi will say about The Venusian 🟡 Invasion is who Zi love. Zi love @FLOTUS-様. Zi love @NYCFirstLady-様. Zi love The @DeptofDefense. Zi love @SpaceForceDoD. Zi love Saxons 🪐. Zi love Jus ✳️. Zi love Vegans 🍪💫. 

@NYCSchools @usedgov @NASA @CIA @UoLondon @nypl @UCLA @unlv"
4,Mon Oct 26 18:49:59 +0000 2020,"You can say what you will about our President, however, with The Great Epiphany and The Venusian 🟡 Invasion, @POTUS-様, (President Donald-様 Trump-様) had to deal with one of the hardest terms in decades.

@NYCSchools @usedgov 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @unlv"
5,Mon Oct 26 18:42:44 +0000 2020,"@NVGOPAssembly We'll qualify that, by urging NV Republicans to support the @NVGOP ticket, EXCEPT for @realDonaldTrump and any candidate who hasn't distanced from Trump.

@NvFRW1 
@NRCGOPClub 
@NvJonah 
@Ed4NV 
@AlidaB_NV 
@AlexWatsonNV1 
@tannerdurfeeNV 
@unlv 
@NevadaYRs"
6,Mon Oct 26 18:38:23 +0000 2020,"@lindseyb001 @DRFrancois1 @unlv It is the same percentage of tickets allocated to students as in the past at Sam Boyd Stadium. With tickets available on a single-game basis, there will be three other opportunities this season. Go Rebels!"
7,Mon Oct 26 18:37:47 +0000 2020,"@lindseyb001 @DRFrancois1 @unlv Hi Lindsey, 30% of the total tickets allowed are going to students. 10%, which equals 200, are available for UNLV students with the remaining going to the game participants (200+ to our student-athletes and 150 per Mountain West guidelines to UNR SAs)."
8,Mon Oct 26 17:58:54 +0000 2020,"You do not need to be intersex to support intersex people. Intersex is the I in LGBTQIAP. Intersex people are a part of our community.

@HRC @LGBTCenterNYC @LALGBTCenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
9,Mon Oct 26 17:57:49 +0000 2020,@SportsCenter @TBDBITL show em your video of hey reb's stache @unlv
