,created_at,full_text
0,Mon Oct 26 17:36:04 +0000 2020,@REMSA_Adam @unevadareno Boom!
1,Mon Oct 26 17:19:42 +0000 2020,@Pres_Sandoval @jgeddes @NevadaAlumni @unevadareno What still blows my mind is that entire section of campus was built since my days at NEVADA . . .
2,Mon Oct 26 16:45:46 +0000 2020,"@advocate4ms @GovSisolak @NSHE @unlv_president @unevadareno This is so sad.  Also, there is no one to talk to on the phones because it hangs up on you.  Can they keep our money like this or we should write Congress.  So sad."
3,Mon Oct 26 12:52:36 +0000 2020,RT @siriterjesen: Delighted to 💻present social entrepreneurship 💡and markets 🎢💵 research with @diana_h (@USouthFlorida) in an IHS panel wit…
4,Mon Oct 26 08:37:09 +0000 2020,RT @starree: @nvfirecams @RobMayeda @AlertWildfire @unevadareno @UCSanDiego @uoregon Uh oh.
5,Mon Oct 26 06:41:27 +0000 2020,@nvfirecams @RobMayeda @AlertWildfire @unevadareno @UCSanDiego @uoregon Uh oh.
6,Sun Oct 25 21:51:28 +0000 2020,"@unevadareno Can any Washoe resident vote, or just certain districts?"
7,Sun Oct 25 08:35:47 +0000 2020,@reviewjournal @unlv @unevadareno @AllegiantStadm UNLV Football back to mid-season form I see.
8,Sun Oct 25 06:19:41 +0000 2020,@reviewjournal @unlv @unevadareno @AllegiantStadm Are UNLV's new school colors White &amp; White???
9,Sun Oct 25 04:10:09 +0000 2020,"@unevadareno 

Thank you for recognizing @Kaepernick7 's courage."
10,Sun Oct 25 03:57:21 +0000 2020,"@ByChrisMurray @jgeddes @unevadareno @NevadaWolfPack Wife says ""we're invited for dinner at my sister's on Halloween""
Me: You mean Nevada Day
W: that's on Friday
Me: 
W: you weren't even born in this state."
11,Sun Oct 25 03:30:46 +0000 2020,@jgeddes @unevadareno @NevadaWolfPack I was called a communist earlier this month for saying Nevada Day was Oct. 31.
12,Sun Oct 25 02:41:38 +0000 2020,RT @MisterOchs: My favorite way to watch any @unevadareno  is on tv with @bigmanbasics on the radio and @CoachBosier’s twitter feed.
13,Sun Oct 25 02:40:01 +0000 2020,My favorite way to watch any @unevadareno  is on tv with @bigmanbasics on the radio and @CoachBosier’s twitter feed.
14,Sun Oct 25 00:47:14 +0000 2020,"@aleeahowe @unevadareno That’s what I thought, so now UNR is just straight up lying....."
15,Sun Oct 25 00:46:19 +0000 2020,@JakeTheGinger2 @unevadareno The fitness center did close
16,Sun Oct 25 00:14:59 +0000 2020,You can tell @unevadareno  is a real college when they have a track around their football field @NevadaFootball
17,Sat Oct 24 23:27:30 +0000 2020,"So, @NevadaFootball is back on the field and I’m so happy. @unevadareno"
18,Sat Oct 24 22:39:34 +0000 2020,"RT @allintovote: Over the next few days, we’re excited to support early voting activations at campuses in: 

🗳 NC (@NCATosd)
🗳 FL (@MDColle…"
19,Sat Oct 24 22:00:24 +0000 2020,"@CullenMiguel @rattijulia @JoeForNV @nvdems We're happy to support the @unevadareno community along with the extended Northern Nevada community in getting the vote out early and on Nov. 3rd! 

Come on back if y'all need more good burritos, salads &amp; smoothies—thank you all for your support 🌯🗳🎊 

#GOTV2020"
20,Sat Oct 24 21:56:15 +0000 2020,@aleeahowe @unevadareno I thought the fitness center closed? Definitely not regretting my decision to leave the dorms smh
21,Sat Oct 24 17:40:19 +0000 2020,"RT @allintovote: Over the next few days, we’re excited to support early voting activations at campuses in: 

🗳 NC (@NCATosd)
🗳 FL (@MDColle…"
22,Sat Oct 24 16:29:24 +0000 2020,"RT @allintovote: Over the next few days, we’re excited to support early voting activations at campuses in: 

🗳 NC (@NCATosd)
🗳 FL (@MDColle…"
23,Sat Oct 24 16:21:55 +0000 2020,"Over the next few days, we’re excited to support early voting activations at campuses in: 

🗳 NC (@NCATosd)
🗳 FL (@MDCollege)
🗳 WI (@UWM)
🗳 NV (@unevadareno)

We hope that you come out to #VoteTogether with us! #allintovote #VoteEarly"
24,Sat Oct 24 16:17:37 +0000 2020,"RT @bethbrookfield: In Reno, NV got my flu shot today at the Livestock Events Center via drive thru. Easy and. No waiting. One can go thru…"
25,Sat Oct 24 16:13:36 +0000 2020,"In Reno, NV got my flu shot today at the Livestock Events Center via drive thru. Easy and. No waiting. One can go thru 2 pm today! FREE. @RenoFireDept @CityofReno @unevadareno @hollandproject @renoartscity @nvdems @washoecounty @RTCWashoe @OscarDelgadoNV @renomayor"
26,Sat Oct 24 15:56:45 +0000 2020,"@unrprofessor @NFL @Kaepernick7 IMO, the NFL is full of hypocrites. I applaud @unevadareno &amp; @NevadaAthletics for honoring @Kaepernick7 &amp; naming him in this year’s Hall of Fame class. The 2020 HOF class is an impressive bunch. Congrats @vaitaua34 @DontayMoch @RealBabbitt08 @ArmonJohnson &amp; @dCriner22"
27,Sat Oct 24 14:35:20 +0000 2020,RT @Pres_Sandoval: Let’s back the Pack and wear @NevadaWolfPack gear tomorrow as @NevadaFootball prepares for their season opener against W…
28,Sat Oct 24 14:01:30 +0000 2020,"By this time, I had already earned an #AADegree from @valenciacollege and my #BSinChemistry from @unevadareno 

“No sir, I have a chemistry degree. But....”

But he had already called me stupid, in his own way. 

4/"
29,Sat Oct 24 07:32:12 +0000 2020,RT @Pres_Sandoval: Let’s back the Pack and wear @NevadaWolfPack gear tomorrow as @NevadaFootball prepares for their season opener against W…
30,Sat Oct 24 05:04:25 +0000 2020,@unevadareno It should read Kaepernick kneels six-person Nevada Athletics Hall of Fame class
31,Sat Oct 24 04:52:13 +0000 2020,@unevadareno @NevadaWolfPack Goodness. This guy is a nightmare that just keeps reappearing
32,Sat Oct 24 03:46:43 +0000 2020,@Pres_Sandoval @unevadareno Goooooo Brian!!! 👏👏
33,Sat Oct 24 03:45:44 +0000 2020,"@Pres_Sandoval @unevadareno So proud of you Sir!
You are the right leader to lead the Pack...💯"
34,Sat Oct 24 03:00:04 +0000 2020,@drbret @unevadareno @Pres_Sandoval Love this
35,Sat Oct 24 01:43:13 +0000 2020,"@unevadareno Congratulations to everyone  in this years, Nevada Athletics Hall of Fame Class of 2020"
36,Fri Oct 23 22:53:33 +0000 2020,@ByChrisMurray That’s crazy since @unevadareno hates kap. Them trying to save face
37,Fri Oct 23 21:53:31 +0000 2020,"What A Crock Of Shit! Asshole Selfish Crybaby @Kaepernick7 Was Just Announced As Being Inducted Into The @unevadareno Football Hall Of Fame!
Anyone But Him!"
38,Fri Oct 23 20:59:13 +0000 2020,RT @Pres_Sandoval: Let’s back the Pack and wear @NevadaWolfPack gear tomorrow as @NevadaFootball prepares for their season opener against W…
