,created_at,full_text
0,Mon Oct 26 15:32:13 +0000 2020,@lmigaki @UofNH has been doing wastewater testing too. Check out Dr. Paula Mouser’s work.
1,Sun Oct 25 19:28:54 +0000 2020,@UofNH out with Trump! Vote Biden 2020!!
2,Sun Oct 25 06:40:58 +0000 2020,@SaraCivian It was one of the anthems of my freshman year at @UofNH ... that record was also produced by Mark Hoppus
3,Sat Oct 24 22:51:53 +0000 2020,@carimoorhead @UNHAlumni @UNH_GradSchool @UNHFellowships @unhresearchnews @NRESSPhD @UofNH @UNH_GSS Thank you Cari.  It was a wonderful experience. 👍🙂
4,Fri Oct 23 17:17:15 +0000 2020,"RT @BeAUNHWildcat: College Woods is the perfect spot at @UofNH to learn, exercise, and get some fresh New England air. 🍃 How many acres do…"
5,Fri Oct 23 16:51:40 +0000 2020,"College Woods is the perfect spot at @UofNH to learn, exercise, and get some fresh New England air. 🍃 How many acres do you think it’s made up of? 😼"
6,Thu Oct 22 23:38:06 +0000 2020,@UNHPrez @UofNH @unhmusic @UNHCOLA Yes! Terrific concert.
7,Thu Oct 22 23:03:28 +0000 2020,I’m so impressed with @UNHStudents showing up to classes in masks and via zoom and asynchronously and doing their best to learn during a most challenging scenario. 💙@UofNH #unhtogether
8,Thu Oct 22 21:10:22 +0000 2020,...plus @bostoncollege @chicopeeschools @harvard @perkinsvision @phillipsexeter @spauldingrehab @umassamherst @uofnh @wellesley and more!
9,Thu Oct 22 17:11:20 +0000 2020,Thanks to @UofNH!
10,Thu Oct 22 15:31:51 +0000 2020,@MontagneCom @UofNH Great organization!
11,Wed Oct 21 22:08:13 +0000 2020,@susanthe How is @UofNH tolerating this? It's damaging their brand and I'm skeptical of their judgement in keeping him. #nhpolitics
12,Wed Oct 21 21:48:22 +0000 2020,ICYMI @Apra_HQ recently published this #philanthropy article by our VP Shay Laderbush &amp; #fundraising experts at @UofNH on using group prospecting for #nonprofit success. #WednesdayWisdom
13,Wed Oct 21 21:39:32 +0000 2020,@JeanneShaheen @huwjamescollins @UofNH @OrganizeNH Was Hunter there too?
14,Wed Oct 21 20:39:33 +0000 2020,@UofNH @OceanSprayInc @UNHAlumni Our Nutrition Connections team is now even more excited for #NationalEatACranberryDay next month! #ThisIsUNH
15,Wed Oct 21 01:22:12 +0000 2020,@covidunh1 @UofNH @UNHPrez Saw that too
16,Wed Oct 21 01:00:23 +0000 2020,@ChrisPappasNH @UofNH Hopefully just those who are New Hampshire residents
17,Wed Oct 21 00:38:26 +0000 2020,"@ChrisPappasNH @UofNH Simple question just popped into my head:

Is UNH collecting OUT-OF-STATE tuition from any of these students they're helping to vote here in NH?"
18,Tue Oct 20 23:01:54 +0000 2020,Why hasn't the @UofNH Covid dashboard been updated for today? @UNHPrez?
19,Tue Oct 20 03:15:26 +0000 2020,"@lexlanham @UofNH These were the swag at a conference I attended ""in the before times"" and really I don't ever want another water bottle again. Just keep giving me laptop camera blockers."
20,Tue Oct 20 00:45:11 +0000 2020,"@lexlanham @UofNH NH = not home. 
HN = Home Now!"
21,Mon Oct 19 19:46:16 +0000 2020,@andy_geronimo @lexlanham @UofNH There is also a piece of blue painter's tape.
22,Mon Oct 19 19:35:48 +0000 2020,"@brianlfrye @lexlanham @UofNH also 'dyk' as shorthand there was either genius or really unfortunate, I'm not sure which"
23,Mon Oct 19 19:32:16 +0000 2020,"@brianlfrye @lexlanham @UofNH kinda cute, actually.

much better than accidentally exp...you know, never mind."
24,Mon Oct 19 19:30:23 +0000 2020,@lexlanham @UofNH Timely.
25,Mon Oct 19 19:25:43 +0000 2020,@lexlanham @UofNH I have to wonder what the gender splits are for those who have camera blocks like that on their laptop and those who don’t. Bet it’s way more women.
26,Mon Oct 19 19:18:35 +0000 2020,@lexlanham @UofNH Yes! These are so necessary
27,Sun Oct 18 18:45:19 +0000 2020,"Thank you very much for the live Youtube concert by the Music Department of your university, @UofNH. That was marvelous. Greetings from Izmir, Turkey."
28,Sun Oct 18 17:22:29 +0000 2020,@UofNH @UNHPrez Fire Craig Chapman you cowards.
29,Sun Oct 18 16:12:37 +0000 2020,"RT @anthonyjdanna: @dannagal @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware And here out West, @CalCommColleges have…"
30,Sun Oct 18 16:12:04 +0000 2020,"@dannagal @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware And here out West, @CalCommColleges have always been the best deal in higher ed.  Why pay full price for a UC degree?"
31,Sun Oct 18 02:39:27 +0000 2020,"@dannagal @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware Yes! I went to my home state school (@UMassAmherst) for my BA and MA, then @NUPoliSci for my PhD, and now happily work at another state school (@UofSC). Hope to see my own kids there in a couple years."
32,Sun Oct 18 02:19:20 +0000 2020,"@dannagal @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware so if you're confident you would be elite institution material, save the effort and apply to state school! 

(IIRC research used NYS records, so both the cheapest state systems in the country and a wide range of elite privates)"
33,Sun Oct 18 01:50:22 +0000 2020,@scottlgreer @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware Wow I had NOT heard that just where you apply is as good of a predictor as actually going. So agency and internal motivation matter.
34,Sun Oct 18 01:47:33 +0000 2020,"@dannagal @BrendanNyhan @JoshCompton2011 @UofNH @Penn @AnnenbergPenn @UDelaware Same. Put aside my bio (go UW-Milwaukee, great education in life and letters); I am minded of research that suggests applications, not admissions, predict; applying to Dartmouth (UM, etc) predicts outcomes as well as getting in. More darkly, suggests the sorting happens earlier."
35,Sat Oct 17 18:45:37 +0000 2020,@Laloofah @UofNH Main is practically Canada! Lol.
36,Sat Oct 17 18:28:25 +0000 2020,"@vikenistic @UofNH It was taken by someone long after my parents, who worked hard fixing it up inside &amp; out, sold it. The house had shutters when we lived there, &amp; has a new sign on the barn, but otherwise the exterior is unchanged. My dad had the ☀️panels installed in ‘77, right after we moved in!"
37,Sat Oct 17 18:20:04 +0000 2020,@Laloofah @UofNH Great shot. Shades of heaven...
