,created_at,full_text
0,Mon Oct 26 19:02:16 +0000 2020,RT @SCActionNetwork: @laceyda @Beast__Mobile @Brandega @KOB4 @UNMLoboFB @JordanSom_UNM @CoachDWarehime @SavetheChildren @UNM We couldn't ag…
1,Mon Oct 26 17:19:08 +0000 2020,@TheSquatBox @UNM Proud of you babe.  Keep uo the great work. And she her legacy through
2,Mon Oct 26 16:12:10 +0000 2020,"@Jenna_Merle @UNM Ok that makes more sense. Still, a great group!"
3,Mon Oct 26 16:11:22 +0000 2020,"@UrSchmittinMe @UNM No, we have about 100 grad students. These are just the students who sent in a photo haha"
4,Mon Oct 26 16:10:21 +0000 2020,@Jenna_Merle @UNM Very cool! Is this all the bio grad students? If so UNM ornithology is impressively large component!
5,Mon Oct 26 13:14:34 +0000 2020,"SCActionNetwork: @laceyda @Beast__Mobile @Brandega @KOB4 @UNMLoboFB @JordanSom_UNM @CoachDWarehime @SavetheChildren @UNM We couldn't agree with @Beast__Mobile more! 

""All of it is so important for us to get out there and really have our voices heard."" #VoteForKids #Election2020"
6,Mon Oct 26 13:12:00 +0000 2020,"@laceyda @Beast__Mobile @Brandega @KOB4 @UNMLoboFB @JordanSom_UNM @CoachDWarehime @SavetheChildren @UNM We couldn't agree with @Beast__Mobile more! 

""All of it is so important for us to get out there and really have our voices heard."" #VoteForKids #Election2020"
7,Mon Oct 26 08:16:06 +0000 2020,"@cdsouthan @UNM Yeah, we are watching it closely. We already have the CovalentInDB prepared."
8,Mon Oct 26 07:52:08 +0000 2020,@cdsouthan @UNM Thanks. They will be in the next ver. of P&amp;D (Nov/Dec).
9,Sun Oct 25 19:09:56 +0000 2020,"Congrats to @doyley57 of the Gillette Lab on your @sacnas Cancer Biology Presentation Award! As a Gillette Lab alum, I was obligated to creep on your poster and can say with confidence, the award is very well deserved. 

#Tspan #CD82 #SACNAS2020 @UNMPathology @UNM"
10,Sun Oct 25 00:23:43 +0000 2020,"@lissaknudsen @UNM Umm, is Kyla Fugate in the Student Fee Review Board? The board whose only purpose is to review how student fees are spent?"
11,Sat Oct 24 23:10:32 +0000 2020,"@SpencerButler48 @austieJFish @TeamHeinrich @DailyLobo @UNM ...does someone not understand how freelance works? There are many journalists whose professional careers are ""doing it by article."""
12,Sat Oct 24 22:49:00 +0000 2020,@lissaknudsen @UNM ???? Isn’t this exactly their business?
13,Sat Oct 24 20:52:26 +0000 2020,@aktfast @DailyLobo @UNM Overpaid Daily Lobo journalists!  Ha!
14,Sat Oct 24 19:43:59 +0000 2020,"Kyla Fugate supports funding @UNM Athletics fully. ""It's not out business how they spend their money or how they run it,"" Fugate said."
15,Sat Oct 24 19:06:44 +0000 2020,"RT @ryanmlowery: I don’t know Sall Ahmadian, but his comments today are clearly made out of total ignorance of journalism. I would be happy…"
