,created_at,full_text
0,Mon Oct 26 15:57:57 +0000 2020,@sportsthread @AJ_Battisto @UofNO Posted
1,Sat Oct 24 16:50:37 +0000 2020,"I remember when @UofNO  had the drive in movie night. Ugh, they used to do so many fun things. 🙁"
2,Sat Oct 24 00:48:45 +0000 2020,@PrivateersMBB @TDRSZN @ahren_freeman11 @KmaniDoughty11 @Jayrodgers33 @Norrisss24 @_DBell03 @UNOPrivateers @UofNO 🗣SQUAD💯💯💯
3,Thu Oct 22 21:14:01 +0000 2020,"@ShebaTurk @UofNO That is the face of someone who knows he can get away with it, haha"
4,Thu Oct 22 19:34:09 +0000 2020,@ShebaTurk @UofNO Sam is innocent lol
5,Thu Oct 22 18:35:18 +0000 2020,@ShebaTurk @UofNO Sweet
6,Thu Oct 22 17:40:50 +0000 2020,@ShebaTurk @UofNO Loving it so far
7,Thu Oct 22 17:40:33 +0000 2020,@ShebaTurk @UofNO Been zooming and conference calling for years now!  ✅🧙‍♂️
8,Thu Oct 22 17:38:12 +0000 2020,@ShebaTurk @UofNO I’ve only had to zoom once.  Didn’t even have to open my mouth 😁
9,Tue Oct 20 23:03:33 +0000 2020,Seriously could not do anything this week without our sponsor and administrations support!! This wasn’t an SGA effort this is a UNO effort! @UNO_SAC @UNOSIL @UnoSga @Privateers4E @UNOpresidentJN @UofNO
10,Tue Oct 20 19:49:52 +0000 2020,"@UofNO Yes, midterms finally over! Super proud of all you guys. ❤️"
11,Tue Oct 20 19:22:22 +0000 2020,"RT @WWFscience: #DeniseReed @UofNO unpacks the complexity of Nature-based Solutions for coastal protection with @dobura,  @BregjevW, @Natha…"
12,Tue Oct 20 18:31:47 +0000 2020,"#DeniseReed @UofNO unpacks the complexity of Nature-based Solutions for coastal protection with @dobura,  @BregjevW, @NathalieSeddon, applying her vast experience in coastal protection planning in Louisiana. #wwffuller"
13,Tue Oct 20 15:42:51 +0000 2020,"Not sure why, but I'm feeling nostalgic for my trip to @LUMCONscience many years ago with Dr. Shea Penland. A big thanks to many in the @UofNO Geology department for creating a spark that led to a lifelong interest in geology and earth science."
