,created_at,full_text
0,Mon Oct 26 18:30:47 +0000 2020,@Tine_Rass @UNC This is... 🤬. I'm so sorry! ☹️
1,Mon Oct 26 18:23:19 +0000 2020,@UNC Have you tried soap and water?? It’s amazing how actually washing them on a regular basis works.
2,Mon Oct 26 18:12:34 +0000 2020,"@HereAtUNC @LarrySabato @UNC @ProfJRoberts Where's Hunter,  er... Joe?"
3,Mon Oct 26 18:03:53 +0000 2020,@newsobserver Thank you @UNC students!!
4,Mon Oct 26 17:17:44 +0000 2020,@ClaudiaRupcich @GoHeels @UNCHussman @UNC @UNCGAA Is the sky in Arizona also Carolina Blue???
5,Mon Oct 26 16:18:27 +0000 2020,"@nicholasonuska @MoveUNC @UNC @OrangeHealthNC Thanks, Nicholas. All fixed."
6,Mon Oct 26 16:00:52 +0000 2020,"@StevenRayArtist @UNC @OrangeHealthNC Thanks, Steven!"
7,Mon Oct 26 15:43:50 +0000 2020,@Joseph_DeSimone @ask_bio @UNC Doing it for the patients. And being patient while you do it. Great story of success!
8,Mon Oct 26 15:38:09 +0000 2020,@chapelhillgov @UNC @OrangeHealthNC Important message - please fix overlapping audio. Thanks.
9,Mon Oct 26 15:23:49 +0000 2020,@chapelhillgov @MoveUNC @UNC @OrangeHealthNC What in the world is going on with the editing here y'all? The audio seems doubled up.
10,Mon Oct 26 15:17:41 +0000 2020,New @UNC updates for international students: we are still not allowed to travel abroad in the Spring semester. Guess I won't be seeing my family any time soon :-(
11,Mon Oct 26 14:34:55 +0000 2020,@Bridge2Lit @UNC Thank you! 😊
12,Mon Oct 26 13:56:52 +0000 2020,Thanks to Dr. Jamie DeWitt (@ToxicologyChick) for the great #PFAS lecture this morning to my PLCY575 science and technology policy class @UNC.  She's studying six new #PFAS compounds found in NC with little to no tox data thanks to new funding this Fall from @NCCollaboratory.
13,Mon Oct 26 13:55:00 +0000 2020,"“A number of experts are concerned that we’re not getting a full picture because of incomplete testing. ‘While we know we are only seeing part of ‘the iceberg’ of all infections, we don’t know exactly how much of that iceberg we are seeing,’-Kim Powers, an epidemiologist at @UNC"
14,Mon Oct 26 12:53:55 +0000 2020,@UNC @AzizGwenSancar Did you know it is also possible to donate in #crypto? and we would be happy to offer you our donation button for that purpose!
15,Mon Oct 26 07:14:12 +0000 2020,@Hogshead3Au @theACC @DukeWomen_40Yrs @DukeMBB @UNC @UNCWomensCtr @UVAWomensLax @UVaWomensCenter @UVAClubFH @DukeAlumni @WakeForestNews @clemsonwrugby This is inexcusable!
16,Mon Oct 26 03:27:04 +0000 2020,"Later, she was a director at the
N.C. New Teacher Support Program @UNC  On @CalforNC   website, the candidate writes that he is “proud of the policy work” done by Elizabeth Cunningham  “to advance high-quality public education in North Carolina.”"
17,Mon Oct 26 02:18:15 +0000 2020,"It seems that the leadership of @UNC may be better suited herding cats than guiding one of the world’s top tier universities. It is incredibly sad that in effort of financial gain, the NC community will be subjected to further Covid exposure. Do not disregard safety."
18,Mon Oct 26 01:18:44 +0000 2020,"RT @lamarrichards_: I am seeking @UNC students who are photographers, videographers, and those good with IT/Web-design. For paid work! Comm…"
19,Sun Oct 25 23:19:03 +0000 2020,"RT @lamarrichards_: I am seeking @UNC students who are photographers, videographers, and those good with IT/Web-design. For paid work! Comm…"
20,Sun Oct 25 23:18:03 +0000 2020,"@MGBaxendale @UNC @NCState @TarHeelFootball Oh no, I totally hate Dook. Well, at least losing to them on the hardwood. 🤣"
21,Sun Oct 25 23:11:03 +0000 2020,@NYCSchooner75 @UNC I don’t know.....
22,Sun Oct 25 23:09:57 +0000 2020,@jen_NY25 @UNC   UNC means----&gt; University of National Champions.🌹🌹🌹
23,Sun Oct 25 22:51:34 +0000 2020,@lamarrichards_ @CollynJacob @UNC hello?
24,Sun Oct 25 22:22:05 +0000 2020,@ClaudiaRupcich @GoHeels @UNCHussman @UNC @UNCGAA Yes loyal HEELS.
25,Sun Oct 25 22:15:43 +0000 2020,"Their case numbers have remained low as a result. @UNC chose against entry and ongoing testing, cases climbed out of control and they had to shut back down. The comparison here could not be made more clear."
26,Sun Oct 25 21:52:11 +0000 2020,@btaylorblake @UNC @UNC_SOM Super cool!
27,Sun Oct 25 21:48:19 +0000 2020,"@Hogshead3Au @theACC @DukeWomen_40Yrs @DukeMBB @UNC @UNCWomensCtr @UVAWomensLax @UVaWomensCenter @UVAClubFH @DukeAlumni @WakeForestNews @clemsonwrugby It's inexcusable----in my new book, I talk about how young men receive 65,000 more sport scholarships than young women."
28,Sun Oct 25 20:10:55 +0000 2020,@NEHRomanComedy @KiaLCaldwell @UNC For what it’s worth it’s recruitment season and our residency @UWPsychiatry is now requiring pretty involved #DiversityandInclusion for everyone on the admissions committee and all interviewers. There’s decent data that it has measurable effects on admissions diversity.
29,Sun Oct 25 19:48:17 +0000 2020,"RT @lamarrichards_: I am seeking @UNC students who are photographers, videographers, and those good with IT/Web-design. For paid work! Comm…"
30,Sun Oct 25 19:31:23 +0000 2020,"RT @lamarrichards_: I am seeking @UNC students who are photographers, videographers, and those good with IT/Web-design. For paid work! Comm…"
31,Sun Oct 25 19:30:34 +0000 2020,"@lamarrichards_ @sagitairre @UNC I just graduated, but if that is allowed, still interested in learning more!"
