,created_at,full_text
0,Mon Oct 26 18:37:11 +0000 2020,"@Bkick @unccharlotte Whatever it takes.  Dutch Apple Pie from our official @Charlotte49ers partner @HarrisTeeter along with Cool Whip to break that ""hit"" to my nose!  Thanks, @Bkick. #GivingGreen just got large!"
1,Mon Oct 26 18:35:32 +0000 2020,@Bkick @unccharlotte @ColoneMark This is the greatest thing I've ever seen
2,Mon Oct 26 18:33:47 +0000 2020,@Bkick @unccharlotte @ColoneMark Looks tasty and has actual crust!
3,Mon Oct 26 08:01:45 +0000 2020,"@tybunz @aurijaide @_craigmac @THICKI_MINAJ_ @_tyron51 @x___annna @unccharlotte RIGHT?! like, please continue to contribute to OUR oppression lol 

Maybe she forgot she also owns a ""red coochie"" 🥴"
4,Mon Oct 26 04:23:11 +0000 2020,@the_woke_master @_craigmac @_tyron51 @x___annna @unccharlotte Nah i just hate men who say sexist shit and gaslight women. Any other questions?
5,Mon Oct 26 04:22:08 +0000 2020,"@ulzulzulz @aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte Niece, as a student athlete NCAA he has to abide by certain codes and conducts. I can work for a company and still be fired for posting stupid shit because i represent said company. ESPECIALLY if the post is offensive. google and common sense are free, sis."
6,Mon Oct 26 00:32:45 +0000 2020,RT @THICKI_MINAJ_: @aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte But I didn’t...now what? 🙂 you should’ve invested your time int…
7,Sun Oct 25 23:35:59 +0000 2020,@THICKI_MINAJ_ @aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte sis theres a thing called free speech he is entitled to his own opinions the schools cant do nun about that kmao
8,Sun Oct 25 22:46:54 +0000 2020,@_craigmac .@unccharlotte this your student?
9,Sun Oct 25 22:29:12 +0000 2020,lol @unccharlotte kick the man out idc
10,Sun Oct 25 21:47:32 +0000 2020,@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte You sitting here being captain save a nigga tryna justify his “opinion” but coming at me for mine. Pack it tf up babes.
11,Sun Oct 25 21:45:51 +0000 2020,@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte “Because he stated an opinion” do you use this excuse when someone tweets something racist or homophobic? His opinion was offensive which he realizes because hes been tweeting about it none-stop hype asf to get 1000 rts.
12,Sun Oct 25 21:42:05 +0000 2020,@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte But I didn’t...now what? 🙂 you should’ve invested your time into something else but here you are replying to me. Make it make sense sissy pooh.
13,Sun Oct 25 21:40:48 +0000 2020,@THICKI_MINAJ_ @_tyron51 @_craigmac @x___annna @unccharlotte &amp; the funny thing is he isn’t worried 😭 you could’ve invested you time into something better but carry on 😂
14,Sun Oct 25 21:39:32 +0000 2020,"@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte If you didn’t find it offensive  COOL 4 U, but i did and so did a lot of other women. He put it out on twitter therefore he shouldn’t be worried about the consequences. You can take your cape off now luv Smiling face with smiling eyes"
15,Sun Oct 25 21:38:50 +0000 2020,@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte Why some*
16,Sun Oct 25 21:38:28 +0000 2020,"@THICKI_MINAJ_ @_tyron51 @_craigmac @x___annna @unccharlotte When did he say women shouldn’t complain? Ever? He literally just *stated* an opinion. You literally just took time, effort &amp; energy out of your day to email athletics/the uni bc he stayed his opinion"
17,Sun Oct 25 21:36:58 +0000 2020,@aurijaide @_tyron51 @_craigmac @x___annna @unccharlotte The idea that women shouldn't complain about the feminine products is partly the reason why women don’t have access to products. This type of thinking is harmful and offensive.
18,Sun Oct 25 21:34:19 +0000 2020,@_tyron51 @THICKI_MINAJ_ @_craigmac @x___annna @unccharlotte That’s super feminist Twitter for you lol
19,Sun Oct 25 21:24:00 +0000 2020,RT @_tyron51: @THICKI_MINAJ_ @_craigmac @x___annna @unccharlotte You guys all need help bro it really isn’t that deep
20,Sun Oct 25 21:23:43 +0000 2020,RT @aurijaide: @THICKI_MINAJ_ @_tyron51 @_craigmac @x___annna @unccharlotte Girl gone. What is telling the school is going to do?? He said…
