,created_at,full_text
0,Mon Oct 26 18:15:19 +0000 2020,@UNCG_CAS @JZK60 @UNCG @UNCGResearch Please rectify @s4wshow is sponsored and created by @spaceconnex not UN. Thank you so much for being with us.
1,Mon Oct 26 17:26:22 +0000 2020,"Being a #highered advocate I support @JonHardister because of his support for NC’s public universities, particularly @UNCG &amp; @ncatsuaggies in my hometown of #Greensboro"
2,Mon Oct 26 14:54:27 +0000 2020,"RT @JohnNewsomNR: If you're horse-racing this Covid thing, Elon has more cumulative cases (466) than @ncatsuaggies (230) and @UNCG (180) co…"
3,Mon Oct 26 14:29:52 +0000 2020,"If you're horse-racing this Covid thing, Elon has more cumulative cases (466) than @ncatsuaggies (230) and @UNCG (180) combined. 

Elon's enrollment is ~7K. UNCG and A&amp;T combine for ~33K total (but not much more than Elon if you count just on-campus students)"
4,Sun Oct 25 02:23:30 +0000 2020,@edXOnline I completed my M.A. in Liberal Studies (emphasis in history &amp; philosophy of science) online from @UNCG from 2011-2013!
5,Sat Oct 24 23:36:28 +0000 2020,@LMS_United @MuseMoore @Boss_Librarian @UNCG I’ll chat about our program @lisuncg anytime!
6,Sat Oct 24 22:05:13 +0000 2020,@ActionGSO @greensborocity @UNCG @harpersgso Epic
7,Sat Oct 24 22:02:32 +0000 2020,@carolinewarre20 @UNCG Teaching or any internship I believe.
8,Sat Oct 24 22:01:22 +0000 2020,@depressedmayo @UNCG What kind of license?
9,Sat Oct 24 17:32:19 +0000 2020,@JZK60 @s4wshow @nat_sng @UNCG @WomenNASA @ASPB_WiPB @jeffshaferPR Thank you so much for your presence and great presentation Dr. @JZK60 🙏
10,Sat Oct 24 15:44:49 +0000 2020,@UNCGNursing @UNCG @WAMSpoon Thanks to you two wonderful NPs for your service and dedication to a great cause!
11,Sat Oct 24 11:53:50 +0000 2020,"@MartySmithESPN @ESPNMcGee ASU/Arizona St is just perfect where it is...

Also went to @UNCG so I love the Mebane talk right now."
12,Sat Oct 24 03:44:57 +0000 2020,@AyeshaBoyce @UNCG @UNCGSchoolofEdu Thank you for making this available!
13,Fri Oct 23 20:13:49 +0000 2020,"@uncgspartans @AleMorenoESPN @UNCGMensSoccer @UNCG @SoConSports I feel fortunate to have been a part of your time at the G! More importantly, I am blessed to call you a friend. Much love Ale! Vamos Greensboro!!!"
14,Fri Oct 23 19:06:06 +0000 2020,@AyeshaBoyce @UNCG @UNCGSchoolofEdu I missed it!! I was hosting a check-in with my students. Uggh! I will watch it.
15,Fri Oct 23 18:25:42 +0000 2020,let’s face it @UNCG really doesn’t care about students as much as they care about our money.
16,Fri Oct 23 18:20:54 +0000 2020,@UNCG The Spartan pride coercing students into risking their lives? We saw the email where you basically backed us into a wall. “Get COVID and die or you don’t get your license”
17,Fri Oct 23 16:50:13 +0000 2020,@AyeshaBoyce @UNCG @UNCGSchoolofEdu Really enjoyed this presentation - makes me thankful for our zoom world!
18,Fri Oct 23 16:27:54 +0000 2020,@AyeshaBoyce @UNCG @UNCGSchoolofEdu Adding to my “watch list” for later. Excited for this!
19,Fri Oct 23 12:30:54 +0000 2020,@_raven1of1 @UNCG 👀👀??  No but fr
20,Fri Oct 23 01:36:35 +0000 2020,"RT @lauhhra: .@UNCG bad news, I too need permission from my accountant before I pay my tuition for next semester. May take a few years. I’l…"
21,Fri Oct 23 01:36:21 +0000 2020,".@UNCG bad news, I too need permission from my accountant before I pay my tuition for next semester. May take a few years. I’ll prepay $750 though!"
22,Fri Oct 23 01:19:16 +0000 2020,Hey I am looking for anyone who can sublease and take over my bedroom space at block 43 courtyard it’s a 2x2 and $675 a month with all utilities and bills included. @ncatsuaggies @UNCG
23,Thu Oct 22 21:34:59 +0000 2020,"@_alysonBwyche @GCSNewTeachers @UNCG @HunterElemGSO @Mrs_Fitts Umm, I student taught there before 2007; so I get dinosaur status?! #TogetherWeCan"
24,Thu Oct 22 19:56:36 +0000 2020,"Y’all I shared with one of my @GCSNewTeachers that I, too, was a former @UNCG intern @HunterElemGSO way back in 2007. Her jaw dropped and her mind was blown. 🤯🤯 Yes, they had interns “back then.” 🤣🤣 @Mrs_Fitts @salemmetzger"
25,Thu Oct 22 19:50:04 +0000 2020,"@UNCG @dunkindonuts @SOP_UNCG Of the few sweet indulgences I love, donuts are one of them -- Spartan donuts are just exponentially better (and cooler)!"
26,Thu Oct 22 17:48:38 +0000 2020,@ASAHPDC Gee thanks ASAHP. I loved working this year at WSSU!  not sure I deserve an award for flunking retirement. Thanks @UNCG for loaning me out!  And thanks @UNCGChancellor and @DrAntGraham and @elwoodrobinson !
27,Thu Oct 22 17:45:34 +0000 2020,"@UNCGSchoolofEdu @UNCG_SES @UNC_System @UNCG Way to go, Christie! Congratulations!"
28,Thu Oct 22 16:48:25 +0000 2020,@KevinOleksiak20 @GregVlaz21 @DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG @SirHines @rhsmooth03 @Mkoivisto4 @kendalltoney_ Our gear has come a long way 💀
29,Thu Oct 22 16:47:01 +0000 2020,@KevinOleksiak20 @GregVlaz21 @DonaldMooreJr @uncgspartans @D_Troy11 @UNCG @SirHines @rhsmooth03 @Mkoivisto4 @kendalltoney_ These are great! 📸
30,Thu Oct 22 14:13:42 +0000 2020,@Mkoivisto4 @KevinOleksiak20 @GregVlaz21 @DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG @SirHines @rhsmooth03 @kendalltoney_ Which picture was right before the KO restaurant incident 👀👀👀? Haha love y’all guys!!
31,Thu Oct 22 11:59:21 +0000 2020,@CL_uncg @DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG @rhsmooth03 😂😂 We all brought them just for that trip .... lol
32,Thu Oct 22 01:53:19 +0000 2020,@DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG @kendalltoney_ The color coordination is unreal 💯🤣
33,Thu Oct 22 01:52:47 +0000 2020,@DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG @rhsmooth03 @SirHines Those white forces are CLEANNNN!!!! 👟
34,Thu Oct 22 01:49:58 +0000 2020,@KevinOleksiak20 @DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG What a great trip
35,Thu Oct 22 00:07:22 +0000 2020,@KevinOleksiak20 @DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG And everybody had that same hair cut
36,Wed Oct 21 23:24:38 +0000 2020,"@DonaldMooreJr @uncgspartans @UNCGBasketball @D_Troy11 @UNCG 3x Ts, LRG, Air Force Ones and baggy jeans. What an era!"
37,Wed Oct 21 20:13:12 +0000 2020,@thestallionnn @UNCG The course went to the dean about the issue and he did nothing. The professor is under a contract so they won’t fire or say anything to him at all.
