,created_at,full_text
0,Fri Oct 23 17:44:08 +0000 2020,@TriesteKDunn @UNCWilmington Generation Z is going to save us this election. They have finally woken up and realized how much is at stake for them. Thank goodness for that!
1,Fri Oct 23 01:43:56 +0000 2020,"RT @sayan10e: My undergrads have written the kindest, most encouraging, but also supremely helpful workshop letters to each other. I’m read…"
2,Thu Oct 22 23:56:00 +0000 2020,@sayan10e @UNCWCRW @UNCWilmington We learned that from somewhere...
3,Thu Oct 22 23:31:26 +0000 2020,"My undergrads have written the kindest, most encouraging, but also supremely helpful workshop letters to each other. I’m reading them now, and feeling hopeful about the world. ❤️ @UNCWCRW @UNCWilmington"
4,Wed Oct 21 22:08:17 +0000 2020,"@TJLogan @kevinrmcclure @UNCWilmington @ThatStein @hellomsc_ Ok. Now I’m in a parking structure and supposed to be grocery shopping but I’m streaming this pod! 👉🏻👉🏻👉🏻Also, please do one on the free college convo...Such a misunderstood topic. 🖖🏼"
5,Wed Oct 21 16:04:16 +0000 2020,RT @UNCWilmington: UNCW All Clear from Seahawk Warning System Test
6,Wed Oct 21 16:04:10 +0000 2020,RT @UNCWilmington: UNCW All Clear from Seahawk Warning System Test
7,Wed Oct 21 16:04:00 +0000 2020,RT @UNCWilmington: UNCW All Clear from Seahawk Warning System Test
8,Wed Oct 21 11:02:41 +0000 2020,"@eJuicefairy @UNCWilmington I feel your grief. My daughter is at Winthrop College in Rock Hill South Carolina paying $16,000 a year for online classes WTF. Pretty sure Harvard online is cheaper than that. They are also getting basically no holidays"
9,Tue Oct 20 01:24:16 +0000 2020,RT @cvelasco18: @FoodBankCENC @AMEXCANNC @SupportFLOC @consgtraleigh @_MealsOnWheels @ConsulMexRlm @ncworks @UNCWilmington @ncpublicschools…
10,Mon Oct 19 23:49:46 +0000 2020,@UNCWilmington that two year stuff for first students is ridiculous. Greedy ass rich college
11,Mon Oct 19 13:48:31 +0000 2020,@HomefieldApparl Damn it @UNCWilmington. Get on the train!
12,Mon Oct 19 05:51:19 +0000 2020,"@UNCWilmington Some of your Liberal professors are trying to sway their student’s vote by spreading untruths about President Trump. Their rhetoric is scathing and vile. If this does not stop I will, in no doubt, be contacting the local news about this."
13,Sun Oct 18 22:52:39 +0000 2020,@CoachMongero @UNCWilmington @UNCWBaseball How did Taber play today?
