,created_at,full_text
0,Mon Oct 26 19:16:42 +0000 2020,"@SchlossmanGF @UofNorthDakota @UNDsports @UNDmhockey @BradBerry29 I was born with an #AutoimmuneDisease called #AnkylosingSpondylitis that iz classified as a #Disability, so this story hits home for me. I do NOT like punk Cagnas, especially like donald trump, who loves to make fun of individuals with #Disabilities"
1,Mon Oct 26 19:10:35 +0000 2020,"@SchlossmanGF Well if @UofNorthDakota @UNDsports @UNDmhockey @BradBerry29 has ANY association with punk recruits who make fun of individuals with #Disabilities &amp; #Racism, I absolutely want NOTHING to do with this university or itz Men's Hockey Program 🤨💯 #FACTS"
2,Mon Oct 26 17:25:35 +0000 2020,@cowgirl_bebop Why is he playing for you?@UNDmhockey @UNDstudentlife @UofNorthDakota @ArizonaCoyotes
3,Sun Oct 25 23:47:11 +0000 2020,@GrandForksCity @UofNorthDakota @GFSchools @319thRW @GFPublicHealth It would be nice if the mayor would institute a mask mandate everywhere. #recallbochenski
4,Sun Oct 25 14:30:51 +0000 2020,RT @BlkinGeoscience: Ever wondered how maturation processes impact Organic Matter? Watch @c_h_i_o_m_a at the @UofNorthDakota present her ex…
5,Sat Oct 24 23:27:51 +0000 2020,Ever wondered how maturation processes impact Organic Matter? Watch @c_h_i_o_m_a at the @UofNorthDakota present her experiment at #GSA2020 on-demand. Check her out T221👌🏿. See you at the live q&amp;a session.
6,Fri Oct 23 20:04:43 +0000 2020,"I have been accepted to @UofNorthDakota for Mechanical Engineering! I will be joining @BP_Hutch in my journey.

#UNDproud"
7,Fri Oct 23 01:42:54 +0000 2020,@AmeliaPatefield @UofNorthDakota We love to see it 👏🏼😍
8,Wed Oct 21 18:15:01 +0000 2020,"UND: Red Route is currently off the road. We apologize for the inconvenience.
@UNDstudentlife @UofNorthDakota"
9,Tue Oct 20 22:03:50 +0000 2020,@UofNorthDakota Still a beautiful campus
10,Tue Oct 20 01:04:47 +0000 2020,@UNDPoliceDept @UofNorthDakota They survived Thanksgiving here in Canada last week. Taking their chances south of the border but they have 4 or 5 weeks to make it to Mexico.
11,Sun Oct 18 19:10:52 +0000 2020,"Here's a story from my life:
While I was in my sophomore year at @UofNorthDakota a financial aid councilor suggested I drop out to work and save up money. Luckily I found a different way, and went on to some level of success that wouldn't have happened if I had dropped out."
12,Sun Oct 18 16:35:18 +0000 2020,@atrupar Aren't there any medical experts in Fargo?! @NorthDakotaBH @HealthNDakota @UofNorthDakota
13,Sun Oct 18 01:28:03 +0000 2020,@AbbyGrimaldi23 @RGrimaldi23 @lexitodhunter @TheREA @UNDmhockey @UNDsports @UofNorthDakota @GrandForksCity @PredsNHL @NHL He cut his hair!!! 😂
14,Sun Oct 18 01:00:30 +0000 2020,"@AbbyGrimaldi23 @RGrimaldi23 @lexitodhunter @TheREA @UNDmhockey @UNDsports @UofNorthDakota @GrandForksCity @PredsNHL @NHL I know that building from anywhere. Welcome back to Grand Forks, Grimaldis!"
15,Sun Oct 18 00:48:53 +0000 2020,@AbbyGrimaldi23 @RGrimaldi23 @lexitodhunter @TheREA @UNDmhockey @UNDsports @UofNorthDakota @GrandForksCity @PredsNHL @NHL Y’all are the best
16,Sat Oct 17 23:15:39 +0000 2020,@AbbyGrimaldi23 @RGrimaldi23 @lexitodhunter @TheREA @UNDmhockey @UNDsports @UofNorthDakota @GrandForksCity @PredsNHL @NHL Cute
