,created_at,full_text
0,Mon Oct 26 15:50:31 +0000 2020,@LeahShieldsNews @UF @UofNorthFlorida @LewTurner Did he answer why they’re so ornery?
1,Mon Oct 26 13:13:14 +0000 2020,"@cspanwj @mbpolisci @AGAshleyMoody FL is a Two Party Consent state.  You just seemed to confess to ""recording"" and ""reviewing"" the reactions of Florida residents phone calls with @UNFPORL.  @UofNorthFlorida should investigate to clarify the legality of your polling process."
2,Sat Oct 24 01:25:34 +0000 2020,@ARMWOODHSAVID @unfadmissions @UofNorthFlorida @HonorsUnf @Armwood_HS @ReachHigher @BetterMakeRoom @HillsboroughSch @AVID4College Congratulations!! On a roll!
3,Fri Oct 23 23:04:07 +0000 2020,@ARMWOODHSAVID @UofNorthFlorida @HonorsUnf @Armwood_HS @ReachHigher @BetterMakeRoom @HillsboroughSch @AVID4College Congrats and welcome to the nest! #SWOOP
4,Fri Oct 23 22:04:10 +0000 2020,@ErinWestgate @UofNorthFlorida @UFPsychology Very interesting!!
5,Fri Oct 23 17:36:15 +0000 2020,@ErinWestgate @UofNorthFlorida Probably just a lot more honest and self-aware! I’d guess that a lot of people underestimate their answers on that calculator.
6,Wed Oct 21 19:26:34 +0000 2020,@FLBOG @UofNorthFlorida Allow 2020 graduates to have real ceremonies.  You can't keep putting them off forever.  Why is football allowed but not ceremonies?  We want to graduate.  Why not allow Universities to utilize football stadiums for this very purpose.  I will post this every day until you respond
7,Tue Oct 20 15:05:32 +0000 2020,@BortzInJax @WJCTNews @UofNorthFlorida @JoeBiden @realDonaldTrump Idk how I've managed to unintentionally avoid polls all these years
8,Tue Oct 20 13:05:46 +0000 2020,"NEW @UofNorthFlorida (A/B) Florida poll October 12-16:

Biden 48%/Trump 47% (+1)

MOE +/- 3.3%"
9,Tue Oct 20 02:30:15 +0000 2020,"@FloridaForBiden @KamalaHarris @UofNorthFlorida Shit there were what, 25 people there who weren't workers or security???  Bahahahahah"
10,Tue Oct 20 00:41:47 +0000 2020,"today was a GREAT day for @UNFOspreys &amp; @UNFAlumniAssoc, thanks to so many supporters for helping fund scholarships for @UofNorthFlorida students. #FrontPorch"
11,Mon Oct 19 22:50:49 +0000 2020,@chillarystan Gotta love it @UofNorthFlorida
12,Mon Oct 19 22:12:56 +0000 2020,"@KamalaHarris Absolutely beautiful picture!! As a proud @UofNorthFlorida Alum, this makes me so incredibly happy!. Wish I could have been there to see you in person @KamalaHarris! #UNF #BidenHarris2020 #VoteEarlyFL"
13,Mon Oct 19 20:15:10 +0000 2020,So Kamala Harris is at @UofNorthFlorida and I’m just finding out about this? I would’ve loved to meet her 😭
14,Mon Oct 19 19:11:01 +0000 2020,@UofNorthFlorida @KamalaHarris  rolling up!? And I didn’t get the link!? Come on guys lol
15,Mon Oct 19 19:03:27 +0000 2020,Just another reason my students are the best! #LoveUNF #SWOOPLife @UNFPhysics @UofNorthFlorida #Physics
