,created_at,full_text
0,Mon Oct 26 19:17:13 +0000 2020,@NdnationC @TollyTaylor @EHansenNDI @NotreDame @WSBT @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue Please tell me this is not all about his trip to the WH to support the ACB nom?
1,Mon Oct 26 19:09:59 +0000 2020,@CNHarder @TollyTaylor @GAMoons @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue @EHansenNDI Then the game of pretend outrage continues apace.
2,Mon Oct 26 19:07:48 +0000 2020,@ginchnd @TollyTaylor @EHansenNDI @NotreDame @WSBT @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue Make outrage over “covid”
3,Mon Oct 26 19:06:03 +0000 2020,.@NDlaw's reputation is now shit.  Conspiring to lie about Barrett's activities and hide her background.  Propagating Christo-Fascism to undermine the Constitution.  Notre Dame law is pure trash.  @ndlawadmissions @IndianaStateBar @NotreDame
4,Mon Oct 26 19:03:37 +0000 2020,@TollyTaylor @GAMoons @CNHarder @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @duncdonahue @EHansenNDI Always trust the lawyer
5,Mon Oct 26 19:02:27 +0000 2020,@GAMoons @ndtex @CNHarder @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @duncdonahue @EHansenNDI 👆This is correct.
6,Mon Oct 26 18:59:37 +0000 2020,@TollyTaylor @NotreDame @WSBT @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue @EHansenNDI I’ll be there!
7,Mon Oct 26 18:56:54 +0000 2020,@TollyTaylor @EHansenNDI @NotreDame @WSBT @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue What’s the reason behind this no confidence?
8,Mon Oct 26 18:55:17 +0000 2020,@TollyTaylor @WSBT @NotreDame @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue @EHansenNDI I have no confidence in your covid reporting...
9,Mon Oct 26 18:54:55 +0000 2020,"@CNHarder @TollyTaylor @GAMoons @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @duncdonahue @EHansenNDI I would imagine it's mostly pressure applied to the board of trustees, especially if donations falter because of a lot of ""I won't support if the faculty doesn't trust him"""
10,Mon Oct 26 18:54:19 +0000 2020,@TollyTaylor @EHansenNDI @NotreDame @WSBT @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue For what reason would they do that?
11,Mon Oct 26 18:49:57 +0000 2020,@TollyTaylor @EHansenNDI @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue ND needs a conservative President
12,Mon Oct 26 18:49:42 +0000 2020,@TollyTaylor @GAMoons @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue @EHansenNDI what happens if they vote No Confidence?
13,Mon Oct 26 18:35:54 +0000 2020,@TollyTaylor @NotreDame @WSBT @NDStuGov @PJ_OD1 @mmilford85 @crsbecker @fiorbhlasta @dinhtlananh @ndtex @duncdonahue @EHansenNDI They need to get him out of there. He’s a disgrace.
14,Mon Oct 26 18:29:19 +0000 2020,"8: @NotreDame @NDFootball - sure. Hold onto a spot by yourself for a week. This team is still in line to get demolished by Clemson. I can’t honestly say much for thumping Pitt, but that’s the panthers, not the Steelers. How does that conference do tie-breakers again?"
15,Mon Oct 26 18:19:57 +0000 2020,@LeslieAnneWade @HeislerUCF @eddiewhite3 @saintmarys @NotreDame @NBA @jacknicklaus You worked for the best...
16,Mon Oct 26 18:03:01 +0000 2020,@NotreDame football is KILLING IT this year. #GoIrish
17,Mon Oct 26 17:59:24 +0000 2020,@NotreDame Praying those families and students
18,Mon Oct 26 17:44:25 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
19,Mon Oct 26 17:40:25 +0000 2020,@NotreDame 😭😭😭😭 so unfair
20,Mon Oct 26 17:35:59 +0000 2020,RT @KeoughGlobalND: @_rgagnon @NotreDame Faculty member Abby Córdova also says that police reform must take place in order to build more tr…
21,Mon Oct 26 17:35:28 +0000 2020,@_rgagnon @NotreDame Faculty member Abby Córdova also says that police reform must take place in order to build more trust in democratic institutions
22,Mon Oct 26 17:34:28 +0000 2020,"RT @KeoughGlobalND: @_rgagnon @NotreDame Thanks for the great question, @_rgagnon our panelists are now responding. Some of their recommend…"
23,Mon Oct 26 17:33:59 +0000 2020,"@_rgagnon @NotreDame Thanks for the great question, @_rgagnon our panelists are now responding. Some of their recommendations include the ""soft"" needs for healthy democracy including tolerance, dialogue and healthy relationships that help us stop viewing things as ""zero-sum games"""
24,Mon Oct 26 17:30:48 +0000 2020,@NotreDame will forever be stained by Amy Barrett
25,Mon Oct 26 17:30:08 +0000 2020,@LeslieAnneWade @JFeinsteinBooks @HeislerUCF @eddiewhite3 @saintmarys @NotreDame @NBA @jacknicklaus Go Irish!
26,Mon Oct 26 17:22:12 +0000 2020,"Barrett proves that nothing good comes from @NotreDame. Fuck her, fuck Rudy, fuck Lou Holtz, fuck Indiana, and fuck Notre Dame"
27,Mon Oct 26 17:01:04 +0000 2020,@JFeinsteinBooks Student assistant to Roger and @HeislerUCF and @eddiewhite3 as a proud @saintmarys girl.  Daughter of a @NotreDame grad and sister of an ND grad who was also a student assistant and is currently in PR @NBA.  @jacknicklaus ‘ Andy O’Brien was student assistant with me too ! 💚☘️💚
28,Mon Oct 26 16:46:38 +0000 2020,@NotreDame praying also for the 3rd student who was also critically injured in the car accident 🙏🏻💚☘️
29,Mon Oct 26 16:38:22 +0000 2020,"@Constit67199504 @Slate @NotreDame ....she was a graduate student, did you even read the article?"
30,Mon Oct 26 16:24:20 +0000 2020,@NotreDame Our thoughts and prayers go out to their families
31,Mon Oct 26 15:56:46 +0000 2020,@TollyTaylor @WSBT @NotreDame Breaking: this post is the most useless information and I wish you idiots would cover something else. The death rate of college students is 99.997 percent. For fuck sake stop fear mongering and report on something worthy.
32,Mon Oct 26 15:08:39 +0000 2020,@NotreDame Prayers up for both of their families🙏
33,Mon Oct 26 15:06:47 +0000 2020,RT @LOrion: DONT MISS America to have new #Cardinal NOV 28 in time for #BidenInauguration #VOTE @FaithfulAmerica @rachelheldevans @Catholic…
34,Mon Oct 26 15:06:24 +0000 2020,DONT MISS America to have new #Cardinal NOV 28 in time for #BidenInauguration #VOTE @FaithfulAmerica @rachelheldevans @CatholicDems @CatholicNewsSvc @iamepiscopalian @ELCA @theancc @votevets @MayorBowser @occupy @NextGenAmerica @HRC @PFLAG @GLSEN @glaad #maddow @NotreDame
35,Mon Oct 26 14:27:33 +0000 2020,"@NotreDame Can some1 tell me the diff tween the antiJewish laws, policies &amp; decrees made in 1933, Blck Codes, Jim Crow laws &amp; segregation in the US &amp; denying admittance &amp; education of children w same sex parents &amp; discouraging openly gay &amp; les teachrs in classrms?#AmyConeyBarrett"
36,Mon Oct 26 13:29:36 +0000 2020,@wvpe @NotreDame So sad 😢
37,Mon Oct 26 13:27:21 +0000 2020,@Raefc5Raefc @NotreDame My thoughts and prayers are with you and your family.
38,Mon Oct 26 12:57:52 +0000 2020,@MollyJongFast Also to my Democrat friends: #NeverForget what @NotreDame is doing to our democracy by pushing this illegitimate nominee
39,Mon Oct 26 12:49:29 +0000 2020,@Irma_GerdFL @EileenMarieSar1 @mkraju @VeronicaDevine6 @NotreDame They will swear her in Tuesday.
40,Mon Oct 26 12:40:30 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
41,Mon Oct 26 12:00:53 +0000 2020,@Raefc5Raefc @NotreDame very sorry for such a great loss may God give you and your family strength ❤🙏
42,Mon Oct 26 11:59:18 +0000 2020,@NotreDame God speed 🙏
43,Mon Oct 26 11:46:12 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
44,Mon Oct 26 11:29:40 +0000 2020,@medproretired @EileenMarieSar1 @mkraju @VeronicaDevine6 @NotreDame That ship has sailed.
45,Mon Oct 26 11:18:30 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
46,Mon Oct 26 11:16:37 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
47,Mon Oct 26 11:16:31 +0000 2020,@medproretired @EileenMarieSar1 @mkraju @VeronicaDevine6 @NotreDame just delay her swearing in date (which is up to her) until late January
48,Mon Oct 26 11:16:24 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
49,Mon Oct 26 11:12:24 +0000 2020,RT @medproretired: @EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at…
50,Mon Oct 26 11:11:54 +0000 2020,@EileenMarieSar1 @mkraju @VeronicaDevine6 If she had any moral integrity she would remove herself from nomination or at least recuse herself from decision about ACA and election results but apparently moral integrity is not her strong suit @NotreDame
51,Mon Oct 26 10:22:34 +0000 2020,"@Santucci @ABC @KFaulders Pro tip, @NotreDame: Rev. Jenkins shouldn't attend. Send an assistant football coach.

#TrumpFailedAmerica"
52,Mon Oct 26 09:33:43 +0000 2020,"@NotreDame Good morning and thanks for the return.
Could you indicate which are the most suitable master's courses for my line of research?
I argue that Corporate Chaplaincy should be understood as a process innovation.
Wait. Thank you!
MUZY"
53,Mon Oct 26 07:17:36 +0000 2020,.@NDlaw is going to be disgraced after this.  Absolutely disgraced.  @NDlawAdmissions @IndianaStateBar  @ATLblog @MikeScarcella @ABAesq @ABAJournal @NotreDame
54,Mon Oct 26 04:50:14 +0000 2020,@NotreDame may I have a scholarship
55,Mon Oct 26 04:25:31 +0000 2020,@MaxLewisTV @NotreDame @MaxLewisTV What's your point?
56,Mon Oct 26 03:55:44 +0000 2020,"@washingtonpost She has told so many lies, broke so many Commandments, I am surprised @notredame kept her.  If she can't up keep her Faith.  What makes you think she can tell the truth and upkeep her duties as a JUDGE of the USA?  Ex-Communicato!"
57,Mon Oct 26 03:52:49 +0000 2020,"If there's an outside reception for Barrett after she's confirmed, will Jenkins or other @notredame representatives attend?"
58,Mon Oct 26 02:08:26 +0000 2020,@LeashaWest @NotreDame @NDBusiness @nd_news @nd_mba Thanks so much for having me! Wish I could have been with you in-person. Big s/o to Prof John Branch for the connect.
59,Mon Oct 26 02:01:16 +0000 2020,"@Slate false narrative, she was a contract employee, she was not forced to take this position, could have found a university that that provides what she felt she was entitled to, as well as have her husband find a job  that paid more money and had better health care @NotreDame"
60,Mon Oct 26 01:32:08 +0000 2020,@NotreDame Tell #AmyConeyBarrett To withdraw now!!! She’s not fit to replace RBG!! #MoscowMitch @senatemajldr is disrespecting the AMERICAN PEOPLE! &amp; so is She! #NotreDameSucks! #BarrettIsillegitimate She has no integrity! She continued this sham . 70% of women are against her!
61,Sun Oct 25 23:48:05 +0000 2020,RT @StachAnna: @XposeTrophyHunt @zbleumoon @ABFalecbaldwin @AgainstHunting @Protect_Wldlife @PeterEgan6 @_AnimalAdvocate @Animals1st @Ivy_M…
62,Sun Oct 25 23:46:34 +0000 2020,@iamirishdave @NotreDame We can’t wait to “see” you too!!!
63,Sun Oct 25 23:25:16 +0000 2020,"@XposeTrophyHunt @zbleumoon @ABFalecbaldwin @AgainstHunting @Protect_Wldlife @PeterEgan6 @_AnimalAdvocate @Animals1st @Ivy_MiddletonUK @ladydobe1 @krummel503 @VMallarino @AnonJackAzzz @louisa1000 A PSYCHOPATH,THAT SOCIETY SHELL INROLL IN THE MENTAL EVALUATION,TREAT,EDUCATE
&amp; TRIAL TO THE FULL EXTENT OF THE FEDERAL JUSTICE @FBI &amp; LAW !! 
@eco @UCSUSA @gijn @HHSGov  @Interior @YaleEnviro @YaleMed @ABC @MayoClinic @NotreDame @BBCAMERICA @BV @NatGeo @CBSNews @60minutes @ACLU"
64,Sun Oct 25 23:05:01 +0000 2020,@NotreDame @TeamStradley I’m so sorry. In my prayers🙏❤️
65,Sun Oct 25 22:10:00 +0000 2020,@ManonRheaume @NotreDame Join our tailgate nxt season; film an episode.
66,Sun Oct 25 21:02:14 +0000 2020,@NotreDame Prayers for all. So very sad
67,Sun Oct 25 19:29:34 +0000 2020,@LionsPR @Lions @RomeoND45 Inspired @NotreDame
68,Sun Oct 25 18:23:59 +0000 2020,"@catsmeller @fricksrl @NotreDame Damn, hopefully the state issues a death penalty"
69,Sun Oct 25 18:10:28 +0000 2020,@fricksrl @NotreDame It was a drunk driver and as if that was not enough he is alive anyways and in good condition
70,Sun Oct 25 18:09:37 +0000 2020,@SportsCenter Oh great @NotreDame gets to get exposed again. 🙄
71,Sun Oct 25 18:05:03 +0000 2020,@jphiltz2 @MMayer1001 @CovCathColonels @NotreDame @CovCathHoops @CovCathFootball Your six stood for 21 years!😂
72,Sun Oct 25 17:50:32 +0000 2020,@fricksrl @NotreDame Not the time or place for that. This thread is for the victims
73,Sun Oct 25 17:50:06 +0000 2020,@TollyTaylor @WSBT @NotreDame No one GAF!
74,Sun Oct 25 16:46:32 +0000 2020,@Raefc5Raefc @NotreDame I also have  a freshman daughter at Notre Dame and am praying for your daughter and your family. There is so much love surrounding you from everyone at ND❤️
75,Sun Oct 25 16:39:25 +0000 2020,"@NotreDame Vale, one of those walking angels that come along with brightness and joy. May you Rest In Peace back with God, baby girl."
76,Sun Oct 25 16:07:42 +0000 2020,"@Raefc5Raefc @NotreDame Our hearts go out to you and your entire family. As a fellow class of 2024 Mom, we all surround you with our love and prayers for your beautiful daughters."
77,Sun Oct 25 15:08:57 +0000 2020,@Brett_McMurphy @AP_Top25 Lol @NotreDame over @UGAAthletics
78,Sun Oct 25 14:56:11 +0000 2020,@Raefc5Raefc @NotreDame Your families are in my thoughts and prayers.
79,Sun Oct 25 14:55:02 +0000 2020,@NotreDame Such a terrible tragedy.  My deepest prayers for the families of these beautiful children and all of the grieving Notre Dame family.
80,Sun Oct 25 14:30:06 +0000 2020,@NotreDame Thoughts and prayers 🙏🏿
81,Sun Oct 25 14:14:10 +0000 2020,@MMcFaddenTV @jschank @NotreDame Dope!
82,Sun Oct 25 13:12:20 +0000 2020,@NotreDame What about your prayers for the young men driving the car?
83,Sun Oct 25 13:11:37 +0000 2020,"@NotreDame It’s Olivia Laura Rojas, not Lara"
84,Sun Oct 25 13:07:38 +0000 2020,@NotreDame Praying for the families and students involved
