,created_at,full_text
0,Mon Oct 26 19:14:35 +0000 2020,RT @maverick_ple: Sometimes @UofOklahoma does things and I feel like they care
1,Mon Oct 26 19:12:52 +0000 2020,@elainemarierab @UofOklahoma Great call. If hers is not I’m happy to donate to a gofundme to make it happen. #sooners will rally around her.
2,Mon Oct 26 19:12:09 +0000 2020,@UofOklahoma Be safe #Sooners
3,Mon Oct 26 18:59:59 +0000 2020,@UofOklahoma will zoom classes be continuing as planned or are those canceled as well?
4,Mon Oct 26 18:54:16 +0000 2020,@CrispinSouth @UofOklahoma @MuneebAta We stan a king who ✨advocates for his communities ✨
5,Mon Oct 26 18:52:37 +0000 2020,@MuneebAta @UofOklahoma This is truly an honor
6,Mon Oct 26 18:50:19 +0000 2020,Sometimes @UofOklahoma does things and I feel like they care
7,Mon Oct 26 17:38:11 +0000 2020,RT @Ike_Anwan: @natebwan @OU_President do it cowards @UofOklahoma
8,Mon Oct 26 17:36:41 +0000 2020,@natebwan @OU_President do it cowards @UofOklahoma
9,Mon Oct 26 17:26:35 +0000 2020,"@UofOklahoma so we aren’t gonna cancel in-person class today? oh cool, cool."
10,Mon Oct 26 17:07:40 +0000 2020,Hey uhhhhhhh @UofOklahoma cancel classes maybe????
11,Mon Oct 26 16:55:50 +0000 2020,"@OUDaily Ironic that @UofOklahoma will accommodate sick students to protect others, but won't accommodate commuter students when they choose to stay off icy roads to protect themselves."
12,Mon Oct 26 16:42:57 +0000 2020,@rdewey00 @UofOklahoma I have a 7:45 am lab tmrw I pray that they cancel school
13,Mon Oct 26 16:36:15 +0000 2020,A mandatory in-person lab during an ice storm? Please cancel school @UofOklahoma
14,Mon Oct 26 02:43:33 +0000 2020,@MiaCathell @AnnCoulter @TPUSA @UofOklahoma  seriously?
15,Mon Oct 26 01:43:38 +0000 2020,"@MrMichaelLee @ErikkHorne I’m an @UofOklahoma alumn. For years and years at @OU_Football game,  thousands of fans have replaced the final word of the National Anthem,  “brave” with “Sooners.” 
Those same fans are complaining about kneeling."
16,Sun Oct 25 17:31:17 +0000 2020,I just discovered that my own uncle went to @UofOklahoma. That’s my top pick for grad school and I am now peppering him with questions via text 😂😂 he didn’t even go for atms 🤣
17,Sun Oct 25 01:59:14 +0000 2020,@UofOklahoma collegeDems are the only ones who demonstrate hate against anyone conservative from woman @anncoulter conservative jew @BenSharpiro gay activist Milo Yiannopoulos definitely hatred in the college dems!
18,Sun Oct 25 01:44:20 +0000 2020,@UofOklahoma the only hate Is @UofOkla student dems that can’t stand to hear opinions and values different than there! @anncoulter has EVERY RIGHT to speak to students - this is what dems fear!
19,Sun Oct 25 00:49:13 +0000 2020,"@petmycatsdammit @UofOklahoma really went ballistic, throwing the computer at me, etc. 
I grabbed all kids, took them home amd me and my girls to a friends. 

This woman, omg!! So very frightening she is so beat up. Why are the abusive men allowed to be so? And pregnant! 😪😪😪"
20,Sun Oct 25 00:47:12 +0000 2020,"@petmycatsdammit @UofOklahoma This sort of thing pisses me off so bad. 
I called the cops on my first husband once because the girls had friends for the night and he was going ballistic. 
Cops said, in front of him, it's his house and he can destroy what he wants and I should leave. 
Then cop left and he ..."
21,Sat Oct 24 19:35:38 +0000 2020,@jamespyles @anntensity @UofOklahoma What else do you expected from the generation that weren't even allowed to watch action cartoons?! We're dealing with oversensitive wimps who grew up in a protective bubble.
22,Sat Oct 24 19:25:48 +0000 2020,@jamespyles @anntensity @UofOklahoma They are mostly Marxist Commies thanks to their professors! Most of the Patriots have to keep quiet or be drummed out of school!
23,Sat Oct 24 19:15:49 +0000 2020,"@NYRangersFanLP @anntensity @UofOklahoma I'm concerned that it will never be undone. ""Wokeness"" and progressiveness are the new #virtue (as in #VirtueSignalling) in the world."
24,Sat Oct 24 19:08:23 +0000 2020,@jamespyles @anntensity @UofOklahoma This is what political indoctrination looks like.  It will take generations to undo the damage our higher education system has brought upon this country by handing over control to Marxist and Communist professors.
