,created_at,full_text
0,Mon Oct 26 18:10:28 +0000 2020,RT @itsbptho: @MrAndyNgo @uoregon @realDonaldTrump I’m a Beaver but #goducks
1,Mon Oct 26 17:40:09 +0000 2020,"Days like this I wonder: whatever happened to that kid Lache Seastrunk who tried to “take down” @oregonfootball? Google: He lists @uoregon under education! 🤣 Hell, I’ma put that on my resume too, after all, I audited that one class that one time. Guaranteed Heisman, my ass."
2,Mon Oct 26 17:09:29 +0000 2020,@janrobinjackson @summertimecoolj @uoregon Stunning😍
3,Mon Oct 26 17:03:07 +0000 2020,"RT @smbrander: @awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab Great point, also are likely conducting accidental toxicol…"
4,Mon Oct 26 17:02:17 +0000 2020,RT @DrSeaBove: @DarrowE @awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab I’m so pumped about this. It’s one of my soap box…
5,Mon Oct 26 16:58:45 +0000 2020,"RT @Anikadrawls: again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-5…"
6,Mon Oct 26 16:50:29 +0000 2020,"RT @SarahEMyhre: @awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab I would think there are a lot of other forms of ""ghost e…"
7,Mon Oct 26 16:50:16 +0000 2020,"RT @smbrander: @awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab Great point, also are likely conducting accidental toxicol…"
8,Mon Oct 26 16:47:35 +0000 2020,"again because they had lost two games and they wanted me back on the team.”
Lois Youngen played in the @AAGPBL from 1951-54, after which she earned her degree in P.E. from @michiganstateu, became a professor emeritus at @uoregon, earned her doctorate @OhioState &amp; returned to"
9,Mon Oct 26 16:45:38 +0000 2020,@DarrowE @awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab I’m so pumped about this. It’s one of my soap boxes I stand on so I’m excited to read this paper!!
10,Mon Oct 26 16:43:01 +0000 2020,@awegalloway @BiolBulletin @UO_OIMB @UO_Research @uoregon @CTELab This is so true. In my short experience conducting controlled pH experiments I had trouble getting my control tanks to maintain the same pH as intake water. If people aren’t monitoring pH/pCO2 they wouldn’t notice.
