,created_at,full_text
0,Mon Oct 26 18:53:00 +0000 2020,"Finally, we have another installment of our Good Question, Kid series. We learn about languages from @PittTweet prof. Jevon Health. And, Albert Kollar helps us understand why Pittsburgh has such big hills."
1,Mon Oct 26 17:27:27 +0000 2020,"@ikushkush @PittTweet @SmithsonianMag That was an amazing article Mr Kushkush
Still showing it to my mates and everyone is impressed."
2,Mon Oct 26 16:52:03 +0000 2020,@m_konigshoff @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment We miss you in Denver but excited to see you are getting settled.
3,Mon Oct 26 16:45:50 +0000 2020,@m_konigshoff @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment The hope is very much mutual!!!!
4,Mon Oct 26 16:45:18 +0000 2020,@CUmucus @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment Lots of more science to together! 🤝
5,Mon Oct 26 16:43:49 +0000 2020,@tecorcoran @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment That was precision work!
6,Mon Oct 26 16:43:21 +0000 2020,"@JuliusChapiro @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment Thank you, Julius! Hope we can see each other in person in 2021 🤞😷"
7,Mon Oct 26 16:10:47 +0000 2020,@kmaemils @PittTweet “Genocide was the fad at the time.... every body was doing it.”
8,Mon Oct 26 15:56:28 +0000 2020,@theGARFofficial @JeffWhitehead9 @pitthonors @PittLibraries @PittTweet @KirkHammett @joe_dante @djtrxbk @RustyCundieff @GeorgeTakei Happy Birthday!! ⭐️🎂⭐️
9,Mon Oct 26 15:36:23 +0000 2020,@theGARFofficial @JeffWhitehead9 @pitthonors @PittLibraries @PittTweet @juliacmarchese @KirkHammett @joe_dante @djtrxbk @RustyCundieff @GeorgeTakei Happy Birthday Jeff🧟‍♂️🎂✌🏻
10,Mon Oct 26 14:54:02 +0000 2020,@theGARFofficial @JeffWhitehead9 @pitthonors @PittLibraries @PittTweet @juliacmarchese @KirkHammett @joe_dante @djtrxbk @RustyCundieff @GeorgeTakei Happy B’day from the Outlaws 😀
11,Mon Oct 26 14:53:13 +0000 2020,@theGARFofficial @JeffWhitehead9 @pitthonors @PittLibraries @PittTweet @juliacmarchese @KirkHammett @joe_dante @djtrxbk @RustyCundieff @GeorgeTakei Happy b’day Jeff. Have a good one
12,Mon Oct 26 13:53:29 +0000 2020,"@kmaemils @PittTweet Not shocked. 🙄

The University of Pittsburgh needs to take responsibility for their violent actions against people...Pitt is the home of the LEAD program that will incentivise cops to brutalize and rape those Pitt wishes to ""fix"" aka oppress. 🙄

Pitt is a part of the problem."
13,Mon Oct 26 13:06:50 +0000 2020,@CB_Forums start today!  Excited to be reunited with @AnnieReznik @UTAustin @PittTweet &amp; @pomonacollege to talk about Following the Money to increase #collegeaccess at 11:00 CST!
14,Mon Oct 26 09:00:41 +0000 2020,@kmaemils @PittTweet I'm just at a loss
15,Mon Oct 26 03:05:59 +0000 2020,"@m_konigshoff @PACCM @ricardohpineda @Eickelberg_MD @Simmons_ILD @UPMC @PittTweet @morrisa1668 @PACCM_fellows @JohnSembrat @B_McVerry @JuanCCeledonMD @KitsiosMd @FaraazShahMD @KathleenLindell @DKNYPitt @jessbonfield @zou_richard @corrine_kliment Miss you guys already, again."
16,Mon Oct 26 02:09:53 +0000 2020,@kmaemils @PittTweet big oooof
17,Sun Oct 25 20:57:41 +0000 2020,@PJDaniels6 @billpeduto @PittTweet By making a racist law. 🙄
