,created_at,full_text
0,Sun Oct 25 01:41:39 +0000 2020,"@PublicHealth @universityofri @RIPHA1 @RUFFRIDE_
Congratulations Owen Manahan!!! Junior Public Health major at URI and board member of RIPHA. We are proud of you being the nation's Outstanding Student of the Year!!!!!"
1,Sat Oct 24 18:45:18 +0000 2020,@sledred456 @RhodyFootball @universityofri @DunkinProv I MISSED IT NOOOOO
2,Sat Oct 24 18:42:21 +0000 2020,@sledred456 @RhodyFootball @universityofri @DunkinProv I just might get another coffee today
3,Fri Oct 23 21:34:40 +0000 2020,@universityofri I saw the performance last fall and it is amazing. Andrew is brilliant!
4,Fri Oct 23 17:33:24 +0000 2020,"The @universityofri is an incredible investment for Rhode Island. The Division of Research and Economic Development alone has generated $308.5 M in statewide impact, supports over 1,100 jobs and returns $3.50 for every $1 from the State of Rhode Island (350% return)!"
5,Fri Oct 23 07:10:50 +0000 2020,@RhodyFootball @Jahkari_Grant3 @universityofri @CAAFootball @RhodyTickets @CoachFlem @CoachWillFlem @GoRhodyRams Best Quarterback in the Country
6,Thu Oct 22 22:46:01 +0000 2020,@hleveyfriedman @universityofri Registered
7,Wed Oct 21 17:14:34 +0000 2020,@Jacki_Wing @URIGSO @universityofri What an amazing conversation! I’m so glad you enjoyed it!
8,Wed Oct 21 00:40:24 +0000 2020,@mary_lind18 @universityofri So happy you were a Lion! xo
9,Tue Oct 20 22:35:16 +0000 2020,"RT @mary_lind18: 3 years ago today I visited @universityofri for the first time on a field trip with @DDimPic’s class, not really knowing w…"
10,Tue Oct 20 22:32:47 +0000 2020,"RT @mary_lind18: 3 years ago today I visited @universityofri for the first time on a field trip with @DDimPic’s class, not really knowing w…"
11,Tue Oct 20 21:45:38 +0000 2020,"3 years ago today I visited @universityofri for the first time on a field trip with @DDimPic’s class, not really knowing what to expect. I wound up loving it, and the rest is history! So happy to be a ram 🐏:)"
