,created_at,full_text
0,Sun Oct 25 23:12:52 +0000 2020,"215,784-San Bernardino, CA
217,827-Tacoma, WA
220,236-Baton Rouge, LA (capital city of Louisiana and home of @LSU)
222,081-Spokane, WA
228,959-Boise, ID (capital city of Idaho and home of @BoiseState)
230,436-Richmond, VA (capital city of VA &amp; home of @VCU &amp; @URichmond)"
1,Sun Oct 25 22:57:49 +0000 2020,"In addition to being the home of @VCU and the @URichmond, as well as the @RichmondRaceway, Richmond is, among other things, the current capital city of the state of Virginia, and where John Henry gave his ""Give Me Liberty of Give Me Death"" speech in 1775."
2,Sun Oct 25 22:17:16 +0000 2020,"@BradleyWhitford Fun one! Freeman* Hayes
*Go @urichmond Spiders!"
3,Sun Oct 25 19:15:01 +0000 2020,Ben Dinucci just realized Chase young and Montez sweat are a lot better than @urichmond DE’s
4,Sat Oct 24 18:04:15 +0000 2020,RT @cecrawford_: Anyone teaching the built environment+ racial politics in the New Deal needs this incredible resource @HOLCRedlining @uric…
5,Sat Oct 24 17:27:13 +0000 2020,Anyone teaching the built environment+ racial politics in the New Deal needs this incredible resource @HOLCRedlining @urichmond
6,Sat Oct 24 02:37:47 +0000 2020,@urichmond join1966
7,Fri Oct 23 20:18:26 +0000 2020,@comp_sci_barbie @InfoSecSherpa @urichmond @akasorority1908 @putspiceonit @prettynerdgyal Thank you! Following both right away!
8,Fri Oct 23 20:02:30 +0000 2020,@InfoSecSherpa @PrivacyKai @urichmond @akasorority1908 Heyyy! 💁🏾‍♀️💗💚 I’ll also tag @putspiceonit and @prettynerdgyal
9,Fri Oct 23 19:50:26 +0000 2020,@WordspaceAce @InfoSecSherpa @urichmond @akasorority1908 @comp_sci_barbie Thanks Pham!
10,Fri Oct 23 19:00:29 +0000 2020,@InfoSecSherpa @PrivacyKai @urichmond @akasorority1908 @comp_sci_barbie Shout out to Lyle Love  @PrivacyKai
11,Fri Oct 23 18:26:17 +0000 2020,@WFUProfWalker @MelodyCBarnes @ThadWilliamson @WakeForest @UVA @UVADemocracy @urichmond @JepsonSchool @BrookingsInst @SlaughterAM @NewAmerica @DemocracyCollab @ElgarPublishing Congratulations!
12,Fri Oct 23 18:10:59 +0000 2020,"@WFUProfWalker @MelodyCBarnes @ThadWilliamson @WakeForest @UVA @UVADemocracy @urichmond @JepsonSchool @BrookingsInst @SlaughterAM @NewAmerica @DemocracyCollab @ElgarPublishing Congratulations, @WFUProfWalker!"
13,Fri Oct 23 17:01:03 +0000 2020,@urichmond This is a Orthodox Jewish/Greek and etc community
14,Fri Oct 23 16:56:39 +0000 2020,@urichmond I Love the Libbie/Patterson area
15,Fri Oct 23 16:53:15 +0000 2020,"@urichmond Love the area, my voting precinct use to be in this area, my son went to Community High School when it was in this area"
16,Fri Oct 23 15:35:18 +0000 2020,@barn6719 @urichmond WOW; look who woke up on the wrong side of the bed....have a beer and watch Netflix. Consider yourself lucky to be at a great University
17,Thu Oct 22 14:06:00 +0000 2020,Save your costumes for Halloween 2.0! @URichmond's annual Trick-or-Treat Street event is postponed until Spring '21. Keep updated by following TOTS on FB and IG.
18,Wed Oct 21 18:32:15 +0000 2020,Had a Zoom call last night with @urichmond to discuss spring semester. Saddest statement was that most international students won’t need to quarantine when they come to campus. Why? All but 3 of the countries represented are doing better either COVID than the U.S.  #COVID19
19,Tue Oct 20 12:28:05 +0000 2020,"@ramocc @urichmond Okay, I'll get them done..."
20,Tue Oct 20 12:24:38 +0000 2020,@cameraman1961 @urichmond Hey Unc I need a couple of more masks.
21,Tue Oct 20 02:19:19 +0000 2020,@cameraman1961 @urichmond VERY cool.
22,Mon Oct 19 22:37:47 +0000 2020,@urichmond Cannot get this view in Louisiana
23,Mon Oct 19 19:40:51 +0000 2020,"RT @BradKutner: I'm back. We're still on testimony for the state.

First was @edward_l_ayers, historian from @urichmond  

Now @UVA's Kevin…"
24,Mon Oct 19 18:40:21 +0000 2020,"I'm back. We're still on testimony for the state.

First was @edward_l_ayers, historian from @urichmond  

Now @UVA's Kevin Gaines is speaking about changes policies to address racial issues. This hopes to show changing times, reflect GA's policy changing in support of removal"
25,Sun Oct 18 21:18:35 +0000 2020,@nrcamp @CheriWoods @aishatyler @urichmond I don't believe that any 1 study can accurately assess what millions of people are doing in the privacy of their own homes. The best they can do is interview a very small % of people &amp; ask them if they smoke weed. I'm sure they may get alot of dishonest responses as well.
