,created_at,full_text
0,Mon Oct 26 15:38:51 +0000 2020,@lemieuxdavid @GratefulDead @UofR ...and released as Vol. 3 of the Download Series and is still available for anyone interested.
1,Mon Oct 26 15:21:37 +0000 2020,"@Ella_Maru Great question, may be @UofR knows?"
2,Mon Oct 26 12:22:30 +0000 2020,@CassiUberty @jpbinstock @UofR @Jflat67 Yes! We will be sharing this week.
3,Mon Oct 26 11:48:52 +0000 2020,"@MAG_Rochester @jpbinstock @UofR @Jflat67 I missed it, I was wondering if there is a recorded lecture to watch?"
4,Mon Oct 26 11:46:26 +0000 2020,"@UR_Med @URMed_GCH @UofR Have you explored #Leronlimab?  An immune system regulator, restoring patients to homeostasis.  It is a monoclonal antibody therapy.  #ccr5blocker"
5,Mon Oct 26 02:44:19 +0000 2020,@AoDespair Tough when your dorm was Susan B Anthony @UofR
6,Sun Oct 25 13:02:38 +0000 2020,"@UofR @Holland2Norma AWESOME, Norma!!"
7,Sat Oct 24 14:05:19 +0000 2020,"@UofR @Holland2Norma Congratulations, @Holland2Norma!"
8,Sat Oct 24 12:50:46 +0000 2020,@BobDuffyROC @BrotherTy_ @Gallinadev @UofR @RITtigers @NazarethCollege @RochesterChambr Really? How about you start fixing Cuomo and New York- you’ve worked with him for quite some time- pandemic is no longer here- get kids in school no masks business as usual
9,Sat Oct 24 11:57:32 +0000 2020,@UofR @Holland2Norma I knew something big was coming! Congrats!
10,Sat Oct 24 11:48:31 +0000 2020,@BobDuffyROC @Gallinadev @UofR @RITtigers @NazarethCollege @Brockport @RochesterChambr Please make sure no public money goes toward this project.  Student housing without a university is doomed to fail.
11,Sat Oct 24 07:22:11 +0000 2020,@FasanLab @UofR Congratulations! 💐
12,Sat Oct 24 04:40:55 +0000 2020,@UofR @Holland2Norma Congratulations! Well deserved!
13,Sat Oct 24 02:04:40 +0000 2020,@FasanLab @UofR Congrats Rudi
14,Fri Oct 23 23:27:48 +0000 2020,@UofR @Holland2Norma Couldn't have made a better choice.
15,Fri Oct 23 22:33:01 +0000 2020,@FasanLab @UofR Congrats Rudi!!
16,Fri Oct 23 21:13:22 +0000 2020,@FasanLab @UofR Congratulations!!
17,Fri Oct 23 20:55:46 +0000 2020,@FasanLab @UofR Congrats!!
18,Fri Oct 23 17:40:22 +0000 2020,"@UofR @Holland2Norma Yesssss! So deserving! Congrats, Norma!"
19,Fri Oct 23 17:23:34 +0000 2020,@UofR @Holland2Norma Congrats Norma! Great hire U of R 👍🏼
20,Fri Oct 23 16:48:52 +0000 2020,"@UofR @Holland2Norma This is huge! Congratulations Norma! Couldn’t have made a better choice, UR leadership! 🥳"
21,Fri Oct 23 15:48:57 +0000 2020,@UofR @Holland2Norma Congratulations
22,Fri Oct 23 15:26:28 +0000 2020,@UofR @Holland2Norma Congratulations @Holland2Norma!
23,Fri Oct 23 14:34:56 +0000 2020,@raflynn5 @nature @UofR You could say we’re all under a lot of pressure these days; some just handle it better and go with the flow
24,Fri Oct 23 13:51:16 +0000 2020,@URNeuroscience @haefnerlab @AnkaniChattoraj @UofR @wrongu @Penn @UoR_BrainCogSci yes this is really great work!
25,Fri Oct 23 13:31:47 +0000 2020,"RT @UofR: Yellowjackets, we know it hasn't been easy, but you've done the hard work so far of keeping our campuses and communities safe—we…"
26,Thu Oct 22 17:26:39 +0000 2020,@PhysicsWorld @UofR @SciMelb Never forget John Bardeen!
27,Thu Oct 22 00:30:26 +0000 2020,RT @DrNelms: A3. We have leaned into our community health agencies and university (@UofR) for guidance and support.  The Depts of Pediatric…
28,Thu Oct 22 00:29:36 +0000 2020,"A3. We have leaned into our community health agencies and university (@UofR) for guidance and support.  The Depts of Pediatrics, Psychology, Human Development, Education, etc. were more than willing to provide staffing and resources.  Universities are underutilized. #ELMagChat"
29,Wed Oct 21 23:26:59 +0000 2020,RT @thesharedscope: We and @fancycomma would like to thank @NeuroDrugDoc for giving us a fantastic opportunity to teach students at the Uni…
30,Wed Oct 21 22:17:42 +0000 2020,@fancycomma @thesharedscope @UofR Thank you both for joining us!
