,created_at,full_text
0,Mon Oct 26 16:16:27 +0000 2020,"As a Parent of a Student, I certainly assume @uofsandiego SUPPORTS #AmyConeyBarrett confirmation to the #SCOTUS because SHE is an Exemplary Practicing Roman Catholic &amp; Constitutional Conservative Legal Mind."
1,Sat Oct 24 05:21:57 +0000 2020,@CoachDKeller @uofsandiego Check dm Coach week 1-3 highlights
2,Sat Oct 24 02:54:54 +0000 2020,"@DermaFaire @IngrahamAngle @uofsandiego @JoeBiden Yes they do.
#SalAlinsky"
3,Sat Oct 24 02:03:45 +0000 2020,"@IngrahamAngle 

Some kids @uofsandiego are living alone in campus housing. 

Not Good for kids to be ALONE. 

@JoeBiden will close the country for ever."
4,Fri Oct 23 22:18:21 +0000 2020,"Today, 2 employees working on campus, 2 students living off campus and 1 student living on campus all tested positive for Covid-19 at University of San Diego.

@uofsandiego @CBS8"
5,Thu Oct 22 21:46:54 +0000 2020,@AvsAngelsChick @uofsandiego I’d love to see your tshirt draw 😆 you must have so many
6,Thu Oct 22 16:20:29 +0000 2020,"RT @MamaColandene: @uofsandiego has an OBLIGATION AS A CATHOLIC INSTITUTION to encourage #AmyConeyBarrett to the #SCOTUS. 

I am a Parent.…"
7,Thu Oct 22 16:20:14 +0000 2020,"@uofsandiego has an OBLIGATION AS A CATHOLIC INSTITUTION to encourage #AmyConeyBarrett to the #SCOTUS. 

I am a Parent. 
I am a Practicing Roman Catholic."
8,Thu Oct 22 05:18:51 +0000 2020,"@uofsandiego @RoxyPrima @phoebecornog The aquarium... the Zoo, the beach,  the people... everything about San Diego is amazing"
9,Wed Oct 21 20:52:26 +0000 2020,@rahafssh @uofsandiego All I need is their love and affection
10,Wed Oct 21 19:35:05 +0000 2020,@m_7w @uofsandiego I don’t think they give you extra credits for that
11,Wed Oct 21 18:40:54 +0000 2020,RT @RobinCogan: @rnmentorpodcast @artayyeb @ApplePodcasts @Spotify @iHeartRadio @pandoramusic @GooglePlay @Stitcher @YouTube @tunein @AAN_N…
12,Wed Oct 21 18:25:03 +0000 2020,"@rnmentorpodcast @artayyeb @ApplePodcasts @Spotify @iHeartRadio @pandoramusic @GooglePlay @Stitcher @YouTube @tunein @AAN_Nursing @uofsandiego Wonderful episode! So privileged to know @efrybowers a remarkable nurse leader with expertise that encompasses every aspect of nursing, from clinical care to policy, to education, law, research &amp; media relations. Visionary nurse leader!"
13,Wed Oct 21 12:06:20 +0000 2020,@that_tall_chica @uofsandiego Thank you D 🌷
14,Wed Oct 21 11:48:53 +0000 2020,@iparidhee @uofsandiego Congratulations 🎉
15,Wed Oct 21 08:06:00 +0000 2020,@_alihakeem @uofsandiego Universities *
16,Wed Oct 21 05:06:14 +0000 2020,The only school that’s worth being loyal to @uofsandiego
17,Tue Oct 20 22:08:22 +0000 2020,RT @USDPresHarris: Thank you to every @uofsandiego Torero who participated in or helped organize the virtual homecoming/family/commencement…
18,Tue Oct 20 21:09:54 +0000 2020,@profcgarza @uofsandiego @MBARI_News @HopkinsMarine @AmberNoguchi @algoriphagus @NOAA @AnneListens Gracias Corey! I will send an email later this week.
19,Tue Oct 20 21:08:23 +0000 2020,@JorgeRH2O @uofsandiego @MBARI_News @HopkinsMarine @AmberNoguchi @algoriphagus @NOAA @AnneListens Happy to chat. My availability for this week is on my SACNAS conference profile.
20,Tue Oct 20 20:17:56 +0000 2020,RT @usdweb: A new @uofsandiego website is coming! Stay tuned for updates! #usdv2 #usdweb #website #web #launch
21,Tue Oct 20 19:38:29 +0000 2020,RT @USDPresHarris: Thank you to every @uofsandiego Torero who participated in or helped organize the virtual homecoming/family/commencement…
22,Tue Oct 20 19:36:44 +0000 2020,Thank you to every @uofsandiego Torero who participated in or helped organize the virtual homecoming/family/commencement celebrations last week. It was an amazing week where we demonstrated that even a pandemic cannot keep our spirits down! A special thanks to @GoUSDAlumni
23,Tue Oct 20 13:07:49 +0000 2020,@Martinezlisstv @uofsandiego Ryan works very hard!
24,Mon Oct 19 15:54:12 +0000 2020,A new @uofsandiego website is coming! Stay tuned for updates! #usdv2 #usdweb #website #web #launch
25,Mon Oct 19 15:36:49 +0000 2020,@uofsandiego @blystone_ryan Thank you @blystone_ryan! You do a great job of using your writing skills to keep us informed and interested.
26,Mon Oct 19 01:38:12 +0000 2020,"@cmlosoya @91X @uofsandiego No matter how many times I’ve been to that city, SD is always nostalgic"
27,Sun Oct 18 07:59:33 +0000 2020,@amberxocampo @_arbyyy @uofsandiego or another usd minorly inconvenienced arbelena so she is suing again
28,Sun Oct 18 06:22:29 +0000 2020,"@amberxocampo @uofsandiego AMBER. HAHAHAHAHA 
you get to pick! because either way you won’t be wrong &lt;3"
29,Sun Oct 18 05:28:09 +0000 2020,@_arbyyy @uofsandiego me trying to figure out if this is just a daily “i hate Usd” tweet from Arbelena or if the school is caught up in yet another white supremacy scandal
30,Sun Oct 18 01:34:11 +0000 2020,RT @_arbyyy: i would like a 240k refund stat @uofsandiego
31,Sun Oct 18 00:52:41 +0000 2020,RT @_arbyyy: i would like a 240k refund stat @uofsandiego
32,Sun Oct 18 00:06:01 +0000 2020,RT @_arbyyy: i would like a 240k refund stat @uofsandiego
33,Sat Oct 17 20:33:17 +0000 2020,i would like a 240k refund stat @uofsandiego
