,created_at,full_text
0,Mon Oct 26 09:33:31 +0000 2020,"@usfca Good morning and thanks for the return.
Could you indicate which are the most suitable master's courses for my line of research?
I argue that Corporate Chaplaincy should be understood as a process innovation.
Wait. Thank you!
MUZY"
1,Sat Oct 24 22:16:07 +0000 2020,"Crying tears of joy for the IME staff at @usfca! They’re some of the most outstanding, understanding, woke professors and professionals that I’ve encountered thus far in my existence ✨"
2,Fri Oct 23 13:41:12 +0000 2020,"@Data_Rob1971 @USF_Economics @usfca Thanks Robert, if you liked that one with just us ... you'll love the ones with our guests that aren't imposters.  

Let us know what you're interested in and we'll suggest some episodes."
3,Fri Oct 23 13:32:40 +0000 2020,@dsimposters @USF_Economics @usfca Good podcast. Listened to it this morning. Thanks.
4,Fri Oct 23 12:23:06 +0000 2020,"@usfca Good Morning!
Do you have a post-graduate course in Theology?
I wait, thanks!
MUZY"
5,Fri Oct 23 01:33:31 +0000 2020,"@chrisrbutcher @usfca I think yes! I’ve done a few long runs that distance, I peaked at 18 miles before bonking, so have to work on in-run hydration/nutrition!"
6,Fri Oct 23 01:28:20 +0000 2020,@JonFRice @chrisrbutcher @usfca Hey Jon! Planning a second?
7,Fri Oct 23 01:26:10 +0000 2020,"@chrisrbutcher Hi #EMChat (missed y’all)! Jumping in late, I’m Jon, Associate Director of Admission @usfca, and I ran my first half-marathon this year!"
8,Wed Oct 21 14:42:56 +0000 2020,"@Goper91 @MorganJerkins yesss, thats how I know! I am not catholic at all but went to @usfca and always #keepitjesuit"
9,Tue Oct 20 19:00:20 +0000 2020,@CharlotteRock @usfca Wonderful examples of local impact!
10,Tue Oct 20 17:55:37 +0000 2020,"Reach out to us at executiveimmersion@usfca.edu if you have any questions!

#USFCA #innovation #learning #leadershipdevelopment #fitbit #entrepreneurship #changemanagement #virtual #designthinking 
@usfca"
11,Tue Oct 20 17:51:43 +0000 2020,"RT @AchieveTheDream: “Tech is often presented as a solution, where really it’s a tool.” – @usfca's @DesireeZerquera on the importance for i…"
12,Tue Oct 20 17:33:59 +0000 2020,"“Tech is often presented as a solution, where really it’s a tool.” – @usfca's @DesireeZerquera on the importance for institutions to actively use data &amp; analytics to improve equity &amp; student success. 
#ATD_Data"
13,Tue Oct 20 16:43:35 +0000 2020,@nktpnd @usfca What platform can it be brought on?
14,Tue Oct 20 00:21:11 +0000 2020,"RT @gracecathedral: Join us tonight for The Forum &amp; hear from @larabazelon, attorney, professor &amp; director of the Criminal &amp; Juvenile Justi…"
15,Mon Oct 19 21:01:48 +0000 2020,"@XxAatiyah307xX @acpaapan @usfca All time: SNSD, SISTAR
Lately: Oh My Girl, MonstaX, Seventeen, Blackpink"
16,Mon Oct 19 19:42:51 +0000 2020,@acpaapan @usfca @yuanzhou28 Favorite kpop groups 👀
17,Mon Oct 19 17:21:10 +0000 2020,RT @VickyNguyenTV: @brentmichaels @usfca Go Dons! Hope you are well and staying safe Brent!
18,Mon Oct 19 17:17:08 +0000 2020,@brentmichaels @usfca Go Dons! Hope you are well and staying safe Brent!
19,Mon Oct 19 17:06:43 +0000 2020,"Every time I see @VickyNguyenTV on TV, I remember being in communications classes at @usfca together... Shout out Vicky!"
