,created_at,full_text
0,Sun Oct 25 05:58:44 +0000 2020,@dr_bw @UofSouthAlabama That is so cool!!
1,Sun Oct 25 00:24:02 +0000 2020,@APTV @kemjacks so proud of your integral contributions to @APTV #AlabamaBlackBeltBlues @UofSouthAlabama has a true leader in oral history and cultural anthropology #KnowYourHistory #Advocacy
2,Fri Oct 23 18:25:44 +0000 2020,"@callmevrana @UofSouthAlabama Can't wait to ""be"" there!"
3,Fri Oct 23 17:47:50 +0000 2020,@SouthernPawPaw @UofSouthAlabama Superdog zooming along!
4,Fri Oct 23 16:27:20 +0000 2020,"@callmevrana @pswordwoman @UofSouthAlabama Oh dang, lucky lucky students!"
5,Fri Oct 23 16:19:59 +0000 2020,@callmevrana @pswordwoman @UofSouthAlabama Amazing!!! Your students are so incredibly lucky!
6,Fri Oct 23 15:55:08 +0000 2020,"I couldn't be more honored and excited to be moderating and helping to plan/run the virtual visit of the amazing @pswordwoman to my institution, @UofSouthAlabama , in 2.5 weeks! Students and the community will benefit so much from hearing her work &amp; thoughts!"
7,Thu Oct 22 19:44:30 +0000 2020,"@USA_ILC @UofSouthAlabama I ❤ USA! Thank you for providing the faculty with technology. Your efforts help all your students, even us PhDs, to have the info we need and engage with faculty. ❤🤍💙"
8,Thu Oct 22 08:38:35 +0000 2020,@SouthernPawPaw @ZombieSquadHQ @UofSouthAlabama What a great super dog
9,Thu Oct 22 03:46:32 +0000 2020,"@SouthernPawPaw @UofSouthAlabama Aww, this is adorable 🤗😊"
10,Thu Oct 22 02:16:07 +0000 2020,@SouthernPawPaw @UofSouthAlabama Cute
11,Thu Oct 22 01:31:32 +0000 2020,"Need to understand when leadership goes wrong? Explore ""The Dark Side: Bad Bosses, Mischief &amp; Nasty Climates"" @SouthernMgt Virtual Confer. presentations by Sabrina Speights @WheatonCollege , Faith Fox @UEvansville , &amp; Jacob Whitmore @UofSouthAlabama  Oct. 22nd 1:15 - 2:45 pm EST"
12,Thu Oct 22 00:53:28 +0000 2020,@SouthernPawPaw @UofSouthAlabama My heart ❤️
13,Wed Oct 21 23:59:47 +0000 2020,@SouthernPawPaw @UofSouthAlabama Sonny: you look great
14,Wed Oct 21 23:54:15 +0000 2020,"@SouthernPawPaw @UofSouthAlabama Youz look pawsomely 
...ummm...Super! 😆
🐕🐾🐾🙂"
15,Wed Oct 21 23:01:51 +0000 2020,@SouthernPawPaw @UofSouthAlabama Ride Captain ride!!!
16,Wed Oct 21 22:48:26 +0000 2020,@SouthernPawPaw @UofSouthAlabama This is AWESOME 😎 Love that SUPER PUP!!
17,Wed Oct 21 20:14:10 +0000 2020,@SouthernPawPaw @UofSouthAlabama Loving the video! Am I the only one that got all warm &amp; fuzzy on the inside that there are pouches in the front with treats &amp; a bone?
18,Wed Oct 21 19:47:28 +0000 2020,"@SouthernPawPaw @UofSouthAlabama Hey there, you brave and handsome superdog! 🥰"
19,Wed Oct 21 19:40:12 +0000 2020,@SouthernPawPaw @UofSouthAlabama The world is a better place with you in it ❤🐾🐾❤
20,Sun Oct 18 01:04:53 +0000 2020,@SouthernPawPaw @WeAreSouth_JAGS @UofSouthAlabama Such Very Beautiful Sunrise ❤
21,Sat Oct 17 19:11:25 +0000 2020,@SouthernPawPaw @ChihuahuaBaxter @WeAreSouth_JAGS @UofSouthAlabama That is a beautiful sun rise 🌞🌞
