,created_at,full_text
0,Mon Oct 26 19:16:14 +0000 2020,"@GamecockBasebll @19cburgy @wesesame 1-4 on masks, 0-2 on distance @uofsc @RayTannerSC @Bob_Caslen"
1,Mon Oct 26 19:13:36 +0000 2020,"@ben_garris @UofSC @UofSCSG @Bob_Caslen @AndyShain @AveryGWilks @Harpootlian4SC Ben, thank you for getting tested. Please do not be discouraged by the actions of others. You are doing the right thing for yourself and for those around you. #SpursUp"
2,Mon Oct 26 19:11:45 +0000 2020,@coreyandersons2 @votetimscott @UofSC @GamecockFB Sorry Corey. My bad.
3,Mon Oct 26 19:09:22 +0000 2020,@NefrProfit @votetimscott @UofSC @GamecockFB This was completely a sarcastic statement.
4,Mon Oct 26 19:02:30 +0000 2020,@ben_garris @UofSC @UofSCSG @UofSC_SHS @Bob_Caslen @AndyShain @AveryGWilks @Harpootlian4SC PREACH
5,Mon Oct 26 18:59:06 +0000 2020,"@Mike_Rooney @GamecockBasebll Masks? Distancing?
@UofSC @RayTannerSC"
6,Mon Oct 26 18:03:11 +0000 2020,"got tested for covid @UofSC today. was quick and easy, which was nice. but for something called ""SAFE"" testing, i sure did have to risk a lot of potential exposures to strangers."
7,Mon Oct 26 17:44:16 +0000 2020,@courtconnects @UofSCBAC @UofSC You’re welcome! Looking forward to working closely with @UofSCBAC  thank you for all you do! ✊🏾
8,Mon Oct 26 17:04:10 +0000 2020,"RT @courtconnects: Thanks for speaking to @UofSCBAC yesterday, @JRWilliams415! We appreciate your dedication to the @UofSC community."
9,Mon Oct 26 17:02:13 +0000 2020,"Thanks for speaking to @UofSCBAC yesterday, @JRWilliams415! We appreciate your dedication to the @UofSC community."
10,Mon Oct 26 15:32:21 +0000 2020,@JohnFreeman2 @Bob_Caslen @UofSC @RayTannerSC @GamecockFB @CoachWMuschamp @JaDeonnn I felt that lol
11,Mon Oct 26 15:11:19 +0000 2020,@DevtheCock @GamecockFB @UofSC @RayTannerSC @CoachWMuschamp @Bob_Caslen Facts. Seems to me they don’t give af about their fan base.
12,Mon Oct 26 15:10:51 +0000 2020,RT @JaeBible94: @GamecockFB @UofSC @RayTannerSC @CoachWMuschamp @Bob_Caslen who the hell ever I got to tag please for the love of god!!! FI…
13,Mon Oct 26 15:10:23 +0000 2020,@JaeBible94 @GamecockFB @UofSC @RayTannerSC @CoachWMuschamp @Bob_Caslen They don't care😂
14,Mon Oct 26 15:09:19 +0000 2020,@GamecockFB @UofSC @RayTannerSC @CoachWMuschamp @Bob_Caslen who the hell ever I got to tag please for the love of god!!! FIRE MUSCHAMP #FIREMUSCHAMP #FIREMUSCHAMP #FIREMUSCHAMP
15,Mon Oct 26 02:31:11 +0000 2020,I still believe @UofSC made a big mistake by promoting @RayTannerSC to AD. Muschamp was a bad hire before he coached one game at SC. #mytwocents
16,Sun Oct 25 21:49:49 +0000 2020,@katie_lawall @APHAAnnualMtg @UofSC @USCArnoldSchool Just missed you! I started in 2016 🐔
