,created_at,full_text
0,Mon Oct 26 17:30:13 +0000 2020,@Koji_Vu @jonschaeffer @PLNU @UCSD @usd @GoAztecs Would make sense.
1,Mon Oct 26 17:29:48 +0000 2020,RT @Koji_Vu: @jonschaeffer How close are we to a @plnu/@ucsd/@usd/@goaztecs in town tournament?
2,Mon Oct 26 17:28:33 +0000 2020,@jonschaeffer How close are we to a @plnu/@ucsd/@usd/@goaztecs in town tournament?
3,Mon Oct 26 02:08:19 +0000 2020,@benkip800 @bostonmarathon @usd Niko! 😆 2020 is just weird
4,Sun Oct 25 16:21:15 +0000 2020,@comeroundfullO @bostonmarathon @usd Thank you!
5,Sun Oct 25 16:21:05 +0000 2020,"@moyermel @bostonmarathon @usd Thank you, Melissa"
6,Sun Oct 25 16:20:45 +0000 2020,"@JOyen_SD @bostonmarathon @usd Thank you, Jamie!"
7,Sun Oct 25 16:20:20 +0000 2020,@swpete85 @bostonmarathon @usd Thank you!
8,Sun Oct 25 16:19:40 +0000 2020,@HenryKennethEv1 @bostonmarathon @usd Thank you!
9,Sun Oct 25 16:19:14 +0000 2020,"@MotoMotoo @bostonmarathon @usd Thank you, MotoMotoo. Umepotea!"
10,Sun Oct 25 03:11:17 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations!!
11,Sat Oct 24 20:54:28 +0000 2020,"@usd Very moving story, great compassion by USD"
12,Sat Oct 24 20:42:25 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations
13,Sat Oct 24 19:58:59 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations 🎊🎉
14,Sat Oct 24 19:14:57 +0000 2020,@usd @RDockendorf My niece @BrookeDoty Congrats! Proud of you.
15,Sat Oct 24 18:30:44 +0000 2020,@benkip800 @bostonmarathon @usd Congrats on both!
16,Sat Oct 24 17:36:57 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations Benson!  So proud of you! Can't wait to see what is next for you!
17,Sat Oct 24 17:24:20 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations Benson!!
18,Sat Oct 24 17:08:25 +0000 2020,@benkip800 @bostonmarathon @usd Congratulations! 🍾🎉
19,Sat Oct 24 16:52:20 +0000 2020,"@usd @mlvandeweerd   👩‍🎓 Way to go, Dr.!"
20,Sat Oct 24 09:44:27 +0000 2020,@usd THANK YOU!”GO YOTES”‼️❤️🏀🐺
21,Fri Oct 23 03:30:36 +0000 2020,@McCrea99 @usd lol what? I haven’t been tagged on anything Twitter related in years 🤣
22,Fri Oct 23 02:08:08 +0000 2020,@koshiz He meant @usd obviously #goyotes
23,Wed Oct 21 02:33:40 +0000 2020,@JMyles905 @usd indeed
24,Tue Oct 20 15:29:35 +0000 2020,@SDCoyotesFB @usd @scheideggerm16 Go Yotes!
25,Tue Oct 20 05:30:51 +0000 2020,"@SamsungMobile I bought Note9 phone @USD.1160 and by April 2020 after an update, the screen turned yellow with horizontal lines. Even after registering a complaint no one responded. It is a shame that all our family members have to move to IPhone after using Samsung for 14 years."
26,Mon Oct 19 20:11:48 +0000 2020,"@LibbySkarin @usd Thank you! We do it every election year as part of my Campaigns &amp; Democracy class, this year of course looks different, but we're happy to still be hosting!"
27,Mon Oct 19 20:09:27 +0000 2020,@JuliaHellwege @usd This is so great!
28,Mon Oct 19 02:31:46 +0000 2020,@usd I miss the fall colors at USD 🍁
29,Sat Oct 17 18:51:46 +0000 2020,@UTariq5910 @USDalumni @usd Thank you Usman!!
