,created_at,full_text
0,Mon Oct 26 17:59:26 +0000 2020,@emurray1 @USouthFlorida @BN9 Sousas can last for years with the right maintenance. They should have been sending several in for rebuild each year. They could start a four year refurbishment program and get another twenty years out of them. Retire a couple of the worst and only buy when absolutely necessary.
1,Mon Oct 26 17:29:33 +0000 2020,@JuliaDavisNews @RadioFreeTom Makes all of us @USouthFlorida alumni proud.
2,Mon Oct 26 15:32:39 +0000 2020,RT @BlkinGeoscience: Images of scientists in intro geoscience textbooks are mostly older White men.  How does it affect diverse representat…
3,Mon Oct 26 15:22:16 +0000 2020,RT @BlkinGeoscience: Images of scientists in intro geoscience textbooks are mostly older White men.  How does it affect diverse representat…
4,Mon Oct 26 14:08:40 +0000 2020,"@USRepKCastor @USouthFlorida Medicare for All would make everything so much better and no longer ""for-profit"" insurance."
5,Mon Oct 26 14:04:16 +0000 2020,"I’m proud to help secure @USouthFlorida Navigators’ federal funding each year, and they have consistently earned the largest grant in the country for their good work. It was great to meet with our neighbors who work tirelessly to get ALL of our neighbors insured + thank them."
6,Mon Oct 26 12:52:36 +0000 2020,RT @siriterjesen: Delighted to 💻present social entrepreneurship 💡and markets 🎢💵 research with @diana_h (@USouthFlorida) in an IHS panel wit…
7,Mon Oct 26 12:30:15 +0000 2020,"As of 10/25, at least 32,071 (+2,705 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 7,220
@FloridaAtlantic: 6,136
@UF: 4,849
@UCF: 4,378
@FloridaState: 3,655
@UWF: 2,853
@USouthFlorida: 1,848
@FAMU_1887: 1,132

#Election2020 #VoteEarly"
8,Mon Oct 26 04:30:47 +0000 2020,RT @BlkinGeoscience: Images of scientists in intro geoscience textbooks are mostly older White men.  How does it affect diverse representat…
9,Mon Oct 26 04:21:04 +0000 2020,@HalleCollins4 @USouthFlorida Awesome!!
10,Mon Oct 26 02:28:08 +0000 2020,Images of scientists in intro geoscience textbooks are mostly older White men.  How does it affect diverse representation &amp; persistent stereotypes? Watch @USouthFlorida's Meghan Cook at #GSA2020 session T238 for more. Featuring #scientistoftheweek work by @sarahlsheffield 🙌🏿 14/
11,Sun Oct 25 14:52:30 +0000 2020,@USouthFlorida Build a stadium
