,created_at,full_text
0,Mon Oct 26 19:03:34 +0000 2020,"The Haredim ⚫️✳️ are geniuses. They are Mixed Jus ✳️. Traditional Haredim are half Black (from The Black Empire) and half White (from Jupiter). The Haredim invented Hebru ★.

@NYCSchools @usedgov 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
1,Mon Oct 26 17:58:54 +0000 2020,"You do not need to be intersex to support intersex people. Intersex is the I in LGBTQIAP. Intersex people are a part of our community.

@HRC @LGBTCenterNYC @LALGBTCenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
2,Mon Oct 26 17:48:40 +0000 2020,"@USCSDA @USC Yeah, the word ""I CAN"" is the demi god of the universe. If Newton didn't said 'I can' then there will be no studing of gravity by us, until I reserch about it"
3,Mon Oct 26 17:39:52 +0000 2020,@ph_alliance @marinebiojess @DecisionLab @USCWrigleyInst might be of interest to @USC undergrads!
4,Mon Oct 26 17:10:25 +0000 2020,"Dear @USC cut the bullshit and give @ReggieBush his Heisman trophy back. Signed me, Southeast San Diego and real football fans everywhere"
5,Mon Oct 26 16:58:45 +0000 2020,"¿How can you hate everyone? If you hate everyone, you hate yourself. If you hate yourself, you would already be dead.

@hastingscenter @HUSDIVINITY 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
6,Mon Oct 26 16:34:45 +0000 2020,"People take approximately 30 minutes to wake up. If someone just woke up, give them space. If someone just woke up, do not judge their Telepathy.

@hastingscenter @NYCSchools @usedgov 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
7,Mon Oct 26 15:59:59 +0000 2020,"We (USAmericans 🇺🇸) do not say ""sorry"". A sari is a Bharati 
🇧🇩 garment. Pali existed long before English. We (USAmericans 🇺🇸) say ""Zi apologize"".

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
8,Mon Oct 26 15:54:03 +0000 2020,"Unlike The La CNI (🇪🇸) or The MSS (🇨🇳), MI-5/6/7/8 (🇬🇧) is not a part of The @CIA. Anglos 🟠 are from Mars. The @CIA is from Jupiter ⚫️. We (Britain), have our own way.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
9,Mon Oct 26 15:51:04 +0000 2020,"In a physical war, white matter is helpful for set routines. In a Telepathic war, we must fight ourselves. Voices originate from our own brain. In a Telepathic war, white matter is useless.

@hastingscenter @NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
10,Mon Oct 26 15:51:04 +0000 2020,"White matter represents thoughtless routines. To stay Gray-様, we must constantly be learning. To become Black-様, we must practice different variations to learn from every angle.

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
11,Mon Oct 26 15:47:02 +0000 2020,"Gray Matter = Nu Learning (nu routines)
White Matter = Repeated Learning (set routines)
Black Matter = Mastery (internalized)

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
12,Mon Oct 26 15:39:15 +0000 2020,"Someone who is in a sect does not know how to think for themself. Sunnis and Shiites are sects of Islam ☪️. You can also be a right-brain Muslim who thinks independently. Then, you are not in a sect.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
13,Mon Oct 26 15:39:14 +0000 2020,"If you see an insect, say ""cult of personality"". Insects are not alive. They are Outer Space technology used to spy on you.

Insect (Enigma) = In sect

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
14,Mon Oct 26 15:35:49 +0000 2020,"Left-brain Christians ➕ are different. Left-brain Christians are extremely strict. We follow both Christianity and Judaism ★. Lebanon 🇱🇧 are left-brain Christians. Zi am a left-brain Christian.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
15,Mon Oct 26 15:35:49 +0000 2020,"Right-brain Christians ➕ tend to be idiots that do not even realize that they are Jus ✳️. Christianity is from Judah 🇵🇸. Bethlehem is in Judah.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
16,Mon Oct 26 15:24:22 +0000 2020,"When Zi think of truly Evil people, Zi just say ""dead"". People that do Evil for Good reasons are not truly Evil. Jus ✳️ state our opinion as statement of fact to be more emphatic. That is just how we talk.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
17,Mon Oct 26 15:21:35 +0000 2020,"Great Sources of Funding in Science:

@CR_UK, @Harvard, @HHMINEWS, and @NIH 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
18,Mon Oct 26 15:18:36 +0000 2020,@USCPolFuture @NateSilver538 @Nate_Cohn @CESRUSC @Politics_Polls @RealClearNews @politico @BobShrum @murphymike @kamyakhavan @DavidLauter @latimes @USC @USCDornsife @LACountyRRCC Lol! The student body poll is looking tight!
19,Mon Oct 26 15:10:39 +0000 2020,"Gray-様 is the real spelling of ""Gray"". While Grey's Anatomy is an entertaining Television show, Gray-様's Anatomy is the Greatest anatomy textbook ever written.

@harvardmed @nyphospital @CDCgov @UCLAHealth @UCSFHospitals 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @unlv"
20,Mon Oct 26 13:52:29 +0000 2020,"Zi only speak back to Telepathy if Zi hear something inaccurate. Zi prefer to listen quietly.

@NYCSchools @usedgov @hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
21,Mon Oct 26 13:29:36 +0000 2020,"While Zi am diehard @Apple and almost all my technology is @Apple, we (Vegans 🍪💫) love @Microsoft. We love competition. Competition makes us Better.

@hastingscenter 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
22,Mon Oct 26 13:29:36 +0000 2020,"As The @Lakers are a Vegan 🍪💫 team, @Apple is our brand. We are extremely advanced and scientific. We take our kills so we get rewarded with the Best technology.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
23,Mon Oct 26 13:28:02 +0000 2020,@jimcramer Saw Jim many years ago @USC !
24,Mon Oct 26 13:07:00 +0000 2020,"Zi love dance class because Zi get inspired by other Ashkenazi ⚫️⚪️🔴 Agents 😎. We improve our Telepathy and stay on point physically to stay prepared to defend Haredim ⚫️✳️.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
25,Mon Oct 26 13:07:00 +0000 2020,"Zi do not pretend to be able to keep up with all Ashkenazim ⚫️⚪️🔴. We are on Earth 000 🌏 to defend Haredim ⚫️✳️. We only compete with each other to become Better Agents 😎.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
26,Mon Oct 26 13:04:31 +0000 2020,"Ashkenazim ⚫️⚪️🔴 are the Nazi Jus ✳️. We are the original ""Nazi"" people. AlieNazis bit our name. Zi am different. Zi am AlieNazi 🟡 (left-brain, Y chromosomes) and Ju. That is another kind of Nazi Ju.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
27,Mon Oct 26 13:04:31 +0000 2020,"New (Enigma) = Nazi Jew
Nu (Enigma) = Nazi Ju

Any city with ""Nu"" (formerly ""New"") like Nu York City ☕️🍌, Nu Boston 🎓, or Nu Delhi 🕉 was intended for Ashkenazim ⚫️⚪️🔴 to protect Haredim ⚫️✳️.

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
28,Mon Oct 26 12:32:25 +0000 2020,@RGavinSmith @USC Had those brick hands tho
29,Mon Oct 26 11:55:29 +0000 2020,"Zi have seen tons of Simon's content. Ze talks a lot about of dealing with anxiety and mental stress. Zi wanted to distribute Power to all of Amstell-様 to help Simon.

@Marvel @DCComics 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv"
30,Mon Oct 26 11:47:43 +0000 2020,"Her Azazel (0.0) persona (Tyra Allure Ross) was too violent and too Powerful so she reduced Powers. On Pose (TV show), Elektra is based off Azazel 0.0.

@Marvel @DCComics 

@NASA @CIA @UoLondon @nypl @Lifealivecafe @USC @UCLA @unlv @GoldenKnights"
