,created_at,full_text
0,Mon Oct 26 02:37:17 +0000 2020,"*(Prudhomme was actually my dorm at @LSMSA, not college. I haven't the foggiest idea what my dorm was at @SouthernMiss. I was only there a year.)"
1,Sat Oct 24 22:33:34 +0000 2020,"Not the outcome we wanted today, but this @SouthernMiss alum was touched when my 22-month old walked up and touched the @USMGoldenEagles logo on the @espn telecast and said, “Dada!” “Yes son, that’s my brand.” 😅"
2,Fri Oct 23 18:22:21 +0000 2020,"Marriott Networking &amp; Internship Panels Tues., Oct 27th 2020 3:00 pm  and 6:00 pm Virtual Event with University Recruiters and property leaders of our participating Marriott internship property locations! 
@SouthernMiss students register in Handshake."
3,Fri Oct 23 17:15:53 +0000 2020,@SouthernMiss @sawyerrials KING👑
4,Fri Oct 23 16:06:28 +0000 2020,@SouthernMiss Is this a real picture!? It’s beautiful
5,Thu Oct 22 20:45:05 +0000 2020,"How to build your “Career Profile” on LinkedIn 
Fields Jackson, Jr. , Founder &amp; CEO
Racing Toward Diversity magazine will be hosting a  “Free” 1 Hour Zoom Webinar. Must register to attend Oct. 27 at 3:30 pm est  
@SouthernMiss students message me for link ASAP"
6,Wed Oct 21 15:54:52 +0000 2020,"Virtual Interviewing? Ask the recruiter!
Host Sherwin-Williams Company, Stephanie Noble
@SouthernMiss students register in Handshake
Are you currently interviewing for internships of full-time positions? Hear tips &amp; tricks on virtual interviewing from the recruiter's perspective!"
7,Wed Oct 21 15:16:28 +0000 2020,@Genneysa @SouthernMiss Congratulations 🎊
8,Wed Oct 21 11:51:30 +0000 2020,@SouthernMiss Hell yeah baybay
9,Tue Oct 20 19:22:55 +0000 2020,"RT @RustyAnderson8: Veterans Virtual Career Fair
Thursday, October 22nd 2020
10:00 am EDT - 3:00 pm EDT 
@SouthernMiss students and alumni,…"
10,Mon Oct 19 19:50:26 +0000 2020,@RustyAnderson8 @SouthernMiss Awesome
11,Mon Oct 19 17:40:46 +0000 2020,"RT @RustyAnderson8: Veterans Virtual Career Fair
Thursday, October 22nd 2020
10:00 am EDT - 3:00 pm EDT 
@SouthernMiss students and alumni,…"
12,Mon Oct 19 17:12:15 +0000 2020,"Veterans Virtual Career Fair
Thursday, October 22nd 2020
10:00 am EDT - 3:00 pm EDT 
@SouthernMiss students and alumni, register in Handshake"
13,Mon Oct 19 00:23:26 +0000 2020,@BossyBlonde24 @uofmemphis @SouthernMiss @forgttn_tomorrw Eeek! Thank you for sharing this with me! I am so proud of her!! She is already doing big things. I can’t wait to see what else she accomplishes! She is one of a kind &amp; I am honored to have been her teacher.
