,created_at,full_text
0,Mon Oct 26 19:06:47 +0000 2020,"Thanks, @UTKnoxville, for the convenient early voting location at the @UTBakerCenter. Walked from the @Vol_Sports offices and got in and out quickly and easily. #Vote"
1,Mon Oct 26 18:11:47 +0000 2020,"@KC4UTM @VolsVote @UTKnoxville @UTKStudentLife @UTKSGA @UTKDOS Thanks, Chancellor Carver!"
2,Mon Oct 26 18:06:04 +0000 2020,"You know that one meme that's like ""I know you're upset about people being mad at you for not being good at your job, have you considered being good at your job?"" That's me @DondePlowman and @UTKnoxville
@UTKSGA you're doing great sweetie"
3,Mon Oct 26 16:57:05 +0000 2020,@UTKnoxville @DondePlowman @tennalum @UTKStudentLife @UTKDOS Leading it right off a cliff 😂
4,Mon Oct 26 16:06:44 +0000 2020,@HeyDrShea @VolsVote @UTKnoxville @UTKStudentLife @UTKSGA @UTKDOS Eyeglass frames on fleek @HeyDrShea
5,Mon Oct 26 15:03:22 +0000 2020,@UTKnoxville @UTBakerCenter Key is registered Knox County registered voters.  Students on Campus must be Knox County residents to vote.
6,Mon Oct 26 14:45:55 +0000 2020,"@Bradshaw2020 @UTKnoxville Just FYI for anyone heading out there today: 

• Wife and I voted around 9am

• Things were safe, orderly and quick 

• Took 15 mins or less honestly 

• Easy as pie, barely sprinkling rain 

You owe it to yourself as a Knoxvillian to venture out this week and do your duty!"
7,Mon Oct 26 12:59:07 +0000 2020,RT @Shesochanel: It was NEVER MY FAULT THAT your actions led to you getting kicked out of @UTKnoxville . It was never my fault for speaking…
8,Mon Oct 26 12:58:46 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
9,Mon Oct 26 10:37:29 +0000 2020,RT @Shesochanel: It was NEVER MY FAULT THAT your actions led to you getting kicked out of @UTKnoxville . It was never my fault for speaking…
10,Mon Oct 26 04:14:55 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
11,Mon Oct 26 01:04:16 +0000 2020,@jacobmpollock @JRClemmons @UTKnoxville 80% of people around here decided they were just done with covid so it disappeared. 🙄🤦🏻‍♀️
12,Mon Oct 26 01:00:09 +0000 2020,"@JRClemmons @Noelle4TN @UTKnoxville Apparently, @randyboyd."
13,Mon Oct 26 00:59:34 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
14,Mon Oct 26 00:34:45 +0000 2020,@kimbi53896541 @ArcGISStoryMaps @UTKnoxville I'll be happy to share the lab and classroom materials with you but I can't share the videos because they will have my students' faces and voices in them.
15,Sun Oct 25 20:06:07 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
16,Sun Oct 25 18:49:27 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
17,Sun Oct 25 18:40:20 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
18,Sun Oct 25 17:29:47 +0000 2020,RT @tnlawvol: I tested positive for having a freakin' BLAST on Rocky Top this weekend. No weirdos gonna keep me down. Love ya @UTKnoxville…
19,Sun Oct 25 17:14:27 +0000 2020,some of us actually fucking care and want an education but @UTKnoxville prefers to choose the irresponsible party-goers and super spreaders over those who just want their god damn education. this is a disgrace how the university has let these kids slide and infect the rest of us.
20,Sun Oct 25 16:52:34 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
21,Sun Oct 25 15:59:20 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
22,Sun Oct 25 15:47:23 +0000 2020,RT @tnlawvol: I tested positive for having a freakin' BLAST on Rocky Top this weekend. No weirdos gonna keep me down. Love ya @UTKnoxville…
23,Sun Oct 25 15:47:08 +0000 2020,RT @Shesochanel: I’ve been to therapy police involved Schools have been involved parents have known I’ve done everything and even after sti…
24,Sun Oct 25 15:34:05 +0000 2020,"@Santa_Vol @UTKnoxville @Vol_Football Likewise! We know you're a busy guy, Santa. And I think we got some good pics - will sort through them when we get back home."
25,Sun Oct 25 15:29:56 +0000 2020,@tnlawvol @UTKnoxville @Vol_Football Good to meet you! Even if it was very briefly. We had a 4 hour drive back to Middle Tennessee and I was at work at 6 this morning! (NONE workshop job!)
26,Sun Oct 25 15:10:22 +0000 2020,@gtwillikers @utracefan72 @UTKnoxville @Vol_Football Thats awesome GT!
27,Sun Oct 25 15:09:15 +0000 2020,"@tnlawvol @utracefan72 @UTKnoxville @Vol_Football We decided to sit in our new “real” seats that we purchased this year. Love the location, and we met some of our new neighbors who seem like a fun group. Bama fans in front of us couldn’t have been nicer. And I had zero expectations that we would beat them. 🤷🏼‍♀️"
28,Sun Oct 25 15:03:00 +0000 2020,@tnlawvol @gtwillikers @UTKnoxville @Vol_Football Yes ma’am!!
29,Sun Oct 25 15:02:07 +0000 2020,"@utracefan72 @gtwillikers @UTKnoxville @Vol_Football Our crew had a great time too. So much fun. I actually think it says we're all pretty stable, know how to keep good company and drink a lot 🤣"
30,Sun Oct 25 14:58:08 +0000 2020,@gtwillikers @tnlawvol @UTKnoxville @Vol_Football I thoroughly enjoyed the second half of the game. Just spent the whole time talking with a lifelong friend of mine. Wouldn’t trade it for anything.
31,Sun Oct 25 14:56:09 +0000 2020,@tnlawvol @UTKnoxville @Vol_Football I don’t know what it says about my mental health when I actually still enjoyed the game yesterday. 🤷🏼‍♀️#batteredvolsyndrome
32,Sun Oct 25 14:48:30 +0000 2020,I tested positive for having a freakin' BLAST on Rocky Top this weekend. No weirdos gonna keep me down. Love ya @UTKnoxville and @Vol_Football see y'all next time! ✌🧡
33,Sun Oct 25 14:35:18 +0000 2020,RT @isaacw_74: THANK YOU GOD🙏🏾🙏🏾🙏🏾 ya boy just got accepted to @UTKnoxville  IM READY TO GET TO WORK @Vol_Football ‼️‼️‼️‼️‼️
34,Sun Oct 25 14:14:10 +0000 2020,RT @JRClemmons: Even worse than the Vols getting beat by Bama today was the decision by @UTKnoxville to allow that many people inside Neyla…
